phi,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-3,1.048904e+01,1.023680e-04,1.481600e-05,4.022400e-05,2.030400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-4,8.660326e+00,1.239840e-04,1.515200e-05,5.321600e-05,2.696000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-5,8.442428e+00,1.271840e-04,1.539200e-05,5.323200e-05,2.902400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-6,7.262078e+00,1.478560e-04,1.625600e-05,6.539200e-05,3.558400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-7,7.039637e+00,1.525280e-04,1.718400e-05,6.588800e-05,3.792000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-8,6.088629e+00,1.763520e-04,2.076800e-05,7.875200e-05,4.428800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-9,5.931489e+00,1.810240e-04,2.168000e-05,7.878400e-05,4.726400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-10,5.824917e+00,1.843360e-04,2.262400e-05,7.881600e-05,4.942400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-11,5.211125e+00,2.060480e-04,2.334400e-05,9.129600e-05,5.646400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-12,5.094812e+00,2.107520e-04,2.374400e-05,9.132800e-05,5.964800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-3,8.356228e+00,1.284960e-04,4.163200e-05,3.945600e-05,1.932800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-4,7.210580e+00,1.489120e-04,4.283200e-05,5.180800e-05,2.587200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-5,6.955728e+00,1.543680e-04,4.387200e-05,5.222400e-05,2.806400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-6,6.161299e+00,1.742720e-04,4.363200e-05,6.505600e-05,3.468800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-7,5.987586e+00,1.793280e-04,4.491200e-05,6.550400e-05,3.728000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-8,5.330754e+00,2.014240e-04,4.657600e-05,7.817600e-05,4.390400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-9,5.198611e+00,2.065440e-04,4.844800e-05,7.814400e-05,4.574400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-10,5.091333e+00,2.108960e-04,4.910400e-05,7.865600e-05,4.902400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-11,4.589896e+00,2.339360e-04,5.072000e-05,9.132800e-05,5.651200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-12,4.528875e+00,2.370880e-04,5.049600e-05,9.142400e-05,5.878400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-3,9.657341e+00,1.111840e-04,1.692800e-05,4.520000e-05,2.083200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-4,7.999626e+00,1.342240e-04,1.750400e-05,5.947200e-05,2.774400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-5,6.793770e+00,1.580480e-04,1.932800e-05,7.328000e-05,3.475200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-6,5.772806e+00,1.860000e-04,2.440000e-05,8.873600e-05,4.128000e-05,1.024000e-05,
