phi,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-3,9.391109e+00,1.143360e-04,2.580800e-05,3.993600e-05,1.990400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-4,7.962609e+00,1.348480e-04,2.636800e-05,5.276800e-05,2.636800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-5,7.741246e+00,1.387040e-04,2.688000e-05,5.296000e-05,2.854400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-6,6.759555e+00,1.588480e-04,2.804800e-05,6.552000e-05,3.480000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-7,6.569639e+00,1.634400e-04,2.883200e-05,6.592000e-05,3.699200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-8,5.765366e+00,1.862400e-04,3.102400e-05,7.843200e-05,4.403200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-9,5.597537e+00,1.918240e-04,3.233600e-05,7.849600e-05,4.745600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-10,5.505691e+00,1.950240e-04,3.355200e-05,7.872000e-05,4.886400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-11,4.926868e+00,2.179360e-04,3.521600e-05,9.140800e-05,5.553600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-12,4.806537e+00,2.233920e-04,3.704000e-05,9.137600e-05,5.939200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-3,7.382713e+00,1.454400e-04,5.848000e-05,3.945600e-05,1.926400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-4,6.498389e+00,1.652320e-04,5.926400e-05,5.174400e-05,2.547200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-5,6.327443e+00,1.696960e-04,6.008000e-05,5.216000e-05,2.812800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-6,5.617685e+00,1.911360e-04,6.054400e-05,6.512000e-05,3.465600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-7,5.509759e+00,1.948800e-04,6.120000e-05,6.550400e-05,3.712000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-8,4.927591e+00,2.179040e-04,6.352000e-05,7.804800e-05,4.403200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-9,4.807570e+00,2.233440e-04,6.508800e-05,7.804800e-05,4.710400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-10,4.733643e+00,2.268320e-04,6.603200e-05,7.792000e-05,4.873600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-11,4.306543e+00,2.493280e-04,6.747200e-05,9.089600e-05,5.608000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-12,4.249010e+00,2.527040e-04,6.756800e-05,9.084800e-05,5.873600e-05,1.024000e-05,
