phi,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-3,1.043359e+01,1.029120e-04,1.483200e-05,4.028800e-05,2.038400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-4,8.653625e+00,1.240800e-04,1.518400e-05,5.323200e-05,2.692800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-5,8.466927e+00,1.268160e-04,1.558400e-05,5.315200e-05,2.880000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-6,7.259721e+00,1.479040e-04,1.601600e-05,6.550400e-05,3.529600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-7,7.038899e+00,1.525440e-04,1.728000e-05,6.592000e-05,3.748800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-8,6.068258e+00,1.769440e-04,2.107200e-05,7.876800e-05,4.432000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-9,5.949895e+00,1.804640e-04,2.169600e-05,7.836800e-05,4.718400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-10,5.841649e+00,1.838080e-04,2.232000e-05,7.865600e-05,4.856000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-11,5.215985e+00,2.058560e-04,2.329600e-05,9.136000e-05,5.569600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-12,5.107997e+00,2.102080e-04,2.371200e-05,9.136000e-05,5.886400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-3,8.324096e+00,1.289920e-04,4.304000e-05,3.948800e-05,1.926400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-4,7.133928e+00,1.505120e-04,4.376000e-05,5.233600e-05,2.539200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-5,6.955007e+00,1.543840e-04,4.409600e-05,5.219200e-05,2.806400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-6,6.132584e+00,1.750880e-04,4.489600e-05,6.505600e-05,3.465600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-7,5.982249e+00,1.794880e-04,4.584000e-05,6.553600e-05,3.721600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-8,5.289577e+00,2.029920e-04,4.841600e-05,7.835200e-05,4.355200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-9,5.199819e+00,2.064960e-04,4.883200e-05,7.804800e-05,4.571200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-10,5.078618e+00,2.114240e-04,4.979200e-05,7.843200e-05,4.910400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-11,4.600909e+00,2.333760e-04,5.075200e-05,9.134400e-05,5.641600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-12,4.522770e+00,2.374080e-04,5.156800e-05,9.132800e-05,5.854400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-3,9.718880e+00,1.104800e-04,1.692800e-05,4.515200e-05,2.086400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-4,8.044697e+00,1.334720e-04,1.772800e-05,5.913600e-05,2.771200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-5,6.804103e+00,1.578080e-04,1.932800e-05,7.337600e-05,3.484800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-6,5.758935e+00,1.864480e-04,2.512000e-05,8.920000e-05,4.144000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-7,5.341361e+00,2.010240e-04,2.859200e-05,9.641600e-05,4.436800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-8,4.684737e+00,2.292000e-04,3.219200e-05,1.124640e-04,5.161600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-9,4.491291e+00,2.390720e-04,3.529600e-05,1.175680e-04,5.288000e-05,1.024000e-05,
