phi,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-9,1.116899e+01,3.845440e-04,8.387200e-05,2.116640e-04,5.499200e-05,1.008000e-05,
-1.000000,1024,1024,OS2-i8-fast-10,1.005715e+01,4.270560e-04,8.803200e-05,2.412000e-04,6.171200e-05,1.043200e-05,
-1.000000,1024,1024,OS2-i8-fast-11,9.822367e+00,4.372640e-04,9.164800e-05,2.418880e-04,6.580800e-05,1.209600e-05,
-1.000000,1024,1024,OS2-i8-fast-12,8.978976e+00,4.783360e-04,9.430400e-05,2.725280e-04,7.212800e-05,1.222400e-05,
-1.000000,1024,1024,OS2-i8-fast-13,8.811274e+00,4.874400e-04,9.833600e-05,2.737920e-04,7.491200e-05,1.225600e-05,
-1.000000,1024,1024,OS2-i8-fast-14,8.658370e+00,4.960480e-04,1.018080e-04,2.748960e-04,7.900800e-05,1.212800e-05,
-1.000000,1024,1024,OS2-i8-fast-15,7.976805e+00,5.384320e-04,1.058560e-04,3.041920e-04,8.603200e-05,1.251200e-05,
-1.000000,1024,1024,OS2-i8-fast-16,7.621028e+00,5.635680e-04,1.235680e-04,3.060480e-04,8.950400e-05,1.414400e-05,
-1.000000,1024,1024,OS2-i8-fast-17,7.484190e+00,5.738720e-04,1.284800e-04,3.074080e-04,9.307200e-05,1.417600e-05,
-1.000000,1024,1024,OS2-i8-fast-18,6.956810e+00,6.173760e-04,1.334880e-04,3.362720e-04,1.009440e-04,1.414400e-05,
-1.000000,1024,1024,OS2-i8-fast-19,6.836159e+00,6.282720e-04,1.380640e-04,3.396320e-04,1.035360e-04,1.430400e-05,
-1.000000,1024,1024,OS2-i8-fast-20,6.727368e+00,6.384320e-04,1.416640e-04,3.417600e-04,1.059840e-04,1.440000e-05,
-1.000000,1024,1024,OS2-i8-accu-9,1.028134e+01,4.177440e-04,1.177120e-04,2.111840e-04,5.481600e-05,1.008000e-05,
-1.000000,1024,1024,OS2-i8-accu-10,9.332016e+00,4.602400e-04,1.211040e-04,2.413920e-04,6.174400e-05,1.049600e-05,
-1.000000,1024,1024,OS2-i8-accu-11,9.146635e+00,4.695680e-04,1.242880e-04,2.423360e-04,6.491200e-05,1.209600e-05,
-1.000000,1024,1024,OS2-i8-accu-12,8.383369e+00,5.123200e-04,1.288480e-04,2.725440e-04,7.209600e-05,1.225600e-05,
-1.000000,1024,1024,OS2-i8-accu-13,8.211295e+00,5.230560e-04,1.343680e-04,2.739840e-04,7.536000e-05,1.222400e-05,
