phi,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-9,1.110660e+01,3.867040e-04,8.428800e-05,2.121440e-04,5.545600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-10,1.004173e+01,4.277120e-04,8.816000e-05,2.417760e-04,6.172800e-05,1.043200e-05,
-1.000000,1024,1024,OS2-i8-fast-11,9.816978e+00,4.375040e-04,9.049600e-05,2.426240e-04,6.587200e-05,1.203200e-05,
-1.000000,1024,1024,OS2-i8-fast-12,8.924645e+00,4.812480e-04,9.440000e-05,2.722880e-04,7.417600e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-fast-13,8.749811e+00,4.908640e-04,9.830400e-05,2.745920e-04,7.736000e-05,1.220800e-05,
-1.000000,1024,1024,OS2-i8-fast-14,8.588011e+00,5.001120e-04,1.024320e-04,2.756960e-04,8.176000e-05,1.225600e-05,
-1.000000,1024,1024,OS2-i8-fast-15,7.926400e+00,5.418560e-04,1.062240e-04,3.047360e-04,8.838400e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-fast-16,7.589140e+00,5.659360e-04,1.239360e-04,3.056640e-04,9.153600e-05,1.404800e-05,
-1.000000,1024,1024,OS2-i8-fast-17,7.434650e+00,5.776960e-04,1.287200e-04,3.076800e-04,9.540800e-05,1.433600e-05,
-1.000000,1024,1024,OS2-i8-fast-18,6.916657e+00,6.209600e-04,1.330880e-04,3.376960e-04,1.023840e-04,1.408000e-05,
-1.000000,1024,1024,OS2-i8-fast-19,6.807381e+00,6.309280e-04,1.392160e-04,3.394560e-04,1.049440e-04,1.430400e-05,
-1.000000,1024,1024,OS2-i8-fast-20,6.723156e+00,6.388320e-04,1.433120e-04,3.407200e-04,1.072000e-04,1.430400e-05,
-1.000000,1024,1024,OS2-i8-accu-9,1.023274e+01,4.197280e-04,1.192800e-04,2.116640e-04,5.464000e-05,1.020800e-05,
-1.000000,1024,1024,OS2-i8-accu-10,9.250016e+00,4.643200e-04,1.225760e-04,2.422400e-04,6.275200e-05,1.043200e-05,
-1.000000,1024,1024,OS2-i8-accu-11,9.052251e+00,4.744640e-04,1.263040e-04,2.434080e-04,6.601600e-05,1.225600e-05,
-1.000000,1024,1024,OS2-i8-accu-12,8.322032e+00,5.160960e-04,1.301760e-04,2.721920e-04,7.416000e-05,1.222400e-05,
-1.000000,1024,1024,OS2-i8-accu-13,8.185505e+00,5.247040e-04,1.327360e-04,2.745920e-04,7.691200e-05,1.209600e-05,
-1.000000,1024,1024,OS2-i8-accu-14,8.008457e+00,5.363040e-04,1.379520e-04,2.756160e-04,8.155200e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-accu-15,7.415754e+00,5.791680e-04,1.429600e-04,3.046560e-04,8.796800e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-accu-16,7.124083e+00,6.028800e-04,1.597280e-04,3.063200e-04,9.158400e-05,1.411200e-05,
-1.000000,1024,1024,OS2-i8-accu-17,6.996155e+00,6.139040e-04,1.649120e-04,3.079360e-04,9.478400e-05,1.433600e-05,
-1.000000,1024,1024,OS2-i8-accu-18,6.544333e+00,6.562880e-04,1.703200e-04,3.371520e-04,1.014720e-04,1.416000e-05,
-1.000000,1024,1024,OS2-i8-accu-19,6.427282e+00,6.682400e-04,1.761280e-04,3.391520e-04,1.045600e-04,1.430400e-05,
-1.000000,1024,1024,OS2-i8-accu-20,6.334760e+00,6.780000e-04,1.814400e-04,3.406560e-04,1.068480e-04,1.428800e-05,
-1.000000,1024,1024,OS2-f8-fast-9,7.586566e+00,5.661280e-04,1.102400e-04,3.375840e-04,8.254400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-10,7.207288e+00,5.959200e-04,1.182240e-04,3.532960e-04,8.835200e-05,1.028800e-05,
-1.000000,1024,1024,OS2-f8-fast-11,6.554720e+00,6.552480e-04,1.265120e-04,3.914400e-04,9.758400e-05,1.228800e-05,
-1.000000,1024,1024,OS2-f8-fast-12,6.304262e+00,6.812800e-04,1.337920e-04,4.051840e-04,1.031680e-04,1.224000e-05,
-1.000000,1024,1024,OS2-f8-fast-13,5.617332e+00,7.645920e-04,1.686080e-04,4.425600e-04,1.130720e-04,1.228800e-05,
-1.000000,1024,1024,OS2-f8-fast-14,5.398183e+00,7.956320e-04,1.770240e-04,4.569920e-04,1.191200e-04,1.228800e-05,
-1.000000,1024,1024,OS2-f8-fast-15,5.023589e+00,8.549600e-04,1.868000e-04,4.959200e-04,1.277600e-04,1.238400e-05,
-1.000000,1024,1024,OS2-f8-fast-16,4.845405e+00,8.864000e-04,1.971200e-04,5.088960e-04,1.341280e-04,1.433600e-05,
-1.000000,1024,1024,OS2-f8-fast-17,4.534842e+00,9.471040e-04,2.070720e-04,5.485120e-04,1.437760e-04,1.433600e-05,
-1.000000,1024,1024,OS2-f8-fast-18,4.400293e+00,9.760640e-04,2.170240e-04,5.622720e-04,1.485280e-04,1.433600e-05,
-1.000000,1024,1024,OS2-f8-fast-19,4.188741e+00,1.025360e-03,2.281280e-04,5.918080e-04,1.560000e-04,1.433600e-05,
-1.000000,1024,1024,OS2-f8-fast-20,3.951648e+00,1.086880e-03,2.378880e-04,6.294880e-04,1.677280e-04,1.628800e-05,
-1.000000,1024,1024,OS2-f8-accu-9,7.359235e+00,5.836160e-04,1.273920e-04,3.380640e-04,8.278400e-05,1.020800e-05,
-1.000000,1024,1024,OS2-f8-accu-10,6.994514e+00,6.140480e-04,1.358720e-04,3.536320e-04,8.825600e-05,1.041600e-05,
-1.000000,1024,1024,OS2-f8-accu-11,6.387366e+00,6.724160e-04,1.444800e-04,3.920480e-04,9.793600e-05,1.228800e-05,
-1.000000,1024,1024,OS2-f8-accu-12,6.118605e+00,7.019520e-04,1.513440e-04,4.056960e-04,1.051840e-04,1.225600e-05,
-1.000000,1024,1024,OS2-f8-accu-13,5.483198e+00,7.832960e-04,1.855360e-04,4.429440e-04,1.132000e-04,1.222400e-05,
-1.000000,1024,1024,OS2-f8-accu-14,5.280732e+00,8.133280e-04,1.942080e-04,4.575360e-04,1.190720e-04,1.238400e-05,
-1.000000,1024,1024,OS2-f8-accu-15,4.926958e+00,8.717280e-04,2.039200e-04,4.961760e-04,1.286560e-04,1.228800e-05,
-1.000000,1024,1024,OS2-f8-accu-16,4.757048e+00,9.028640e-04,2.138880e-04,5.095040e-04,1.344960e-04,1.430400e-05,
-1.000000,1024,1024,OS2-f8-accu-17,4.457654e+00,9.635040e-04,2.238560e-04,5.484480e-04,1.428320e-04,1.433600e-05,
-1.000000,1024,1024,OS2-f8-accu-18,4.315544e+00,9.952320e-04,2.338720e-04,5.628160e-04,1.497920e-04,1.433600e-05,
-1.000000,1024,1024,OS2-f8-accu-19,4.115404e+00,1.043632e-03,2.457760e-04,5.917920e-04,1.563520e-04,1.430400e-05,
