phi,n,k,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-9,1.239314e+01,3.465600e-04,4.491200e-05,2.127680e-04,5.529600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-10,1.110201e+01,3.868640e-04,4.728000e-05,2.421760e-04,6.256000e-05,1.028800e-05,
-1.000000,1024,1024,OS2-i8-fast-11,1.084325e+01,3.960960e-04,4.902400e-05,2.431680e-04,6.652800e-05,1.224000e-05,
-1.000000,1024,1024,OS2-i8-fast-12,9.480662e+00,4.530240e-04,6.553600e-05,2.731360e-04,7.537600e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-fast-13,9.291961e+00,4.622240e-04,6.883200e-05,2.750080e-04,7.865600e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-fast-14,9.194570e+00,4.671200e-04,7.110400e-05,2.745600e-04,8.142400e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-fast-15,8.444022e+00,5.086400e-04,7.305600e-05,3.044000e-04,8.912000e-05,1.235200e-05,
-1.000000,1024,1024,OS2-i8-fast-16,8.084188e+00,5.312800e-04,8.918400e-05,3.061280e-04,9.187200e-05,1.412800e-05,
-1.000000,1024,1024,OS2-i8-fast-17,7.940937e+00,5.408640e-04,9.259200e-05,3.075360e-04,9.569600e-05,1.430400e-05,
-1.000000,1024,1024,OS2-i8-fast-18,7.387996e+00,5.813440e-04,9.580800e-05,3.371200e-04,1.024000e-04,1.414400e-05,
-1.000000,1024,1024,OS2-i8-fast-19,7.245417e+00,5.927840e-04,1.020320e-04,3.387680e-04,1.052800e-04,1.427200e-05,
-1.000000,1024,1024,OS2-i8-fast-20,7.317907e+00,5.869120e-04,8.934400e-05,3.402080e-04,1.091840e-04,1.432000e-05,
-1.000000,1024,1024,OS2-i8-accu-9,1.078314e+01,3.983040e-04,9.771200e-05,2.115360e-04,5.510400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-10,9.724865e+00,4.416480e-04,1.010240e-04,2.416800e-04,6.345600e-05,1.043200e-05,
-1.000000,1024,1024,OS2-i8-accu-11,9.541319e+00,4.501440e-04,1.027200e-04,2.425280e-04,6.731200e-05,1.225600e-05,
-1.000000,1024,1024,OS2-i8-accu-12,8.723367e+00,4.923520e-04,1.058560e-04,2.727200e-04,7.476800e-05,1.225600e-05,
-1.000000,1024,1024,OS2-i8-accu-13,8.589110e+00,5.000480e-04,1.078720e-04,2.740640e-04,7.848000e-05,1.225600e-05,
-1.000000,1024,1024,OS2-i8-accu-14,8.443491e+00,5.086720e-04,1.115040e-04,2.748800e-04,8.208000e-05,1.225600e-05,
-1.000000,1024,1024,OS2-i8-accu-15,7.802902e+00,5.504320e-04,1.152960e-04,3.036480e-04,8.884800e-05,1.238400e-05,
