phi,m,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-3,2.680334e+01,1.602400e-04,2.384000e-05,8.742400e-05,2.041600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-4,2.150236e+01,1.997440e-04,2.705600e-05,1.158080e-04,2.718400e-05,1.014400e-05,
-1.000000,1024,1024,OS2-i8-fast-5,1.773842e+01,2.421280e-04,3.009600e-05,1.461440e-04,3.540800e-05,1.014400e-05,
-1.000000,1024,1024,OS2-i8-fast-6,1.515557e+01,2.833920e-04,3.299200e-05,1.748640e-04,4.328000e-05,1.049600e-05,
-1.000000,1024,1024,OS2-i8-fast-7,1.449122e+01,2.963840e-04,3.561600e-05,1.788800e-04,4.862400e-05,1.203200e-05,
-1.000000,1024,1024,OS2-i8-fast-8,1.254606e+01,3.423360e-04,4.257600e-05,2.091520e-04,5.552000e-05,1.206400e-05,
-1.000000,1024,1024,OS2-i8-fast-9,1.225677e+01,3.504160e-04,4.508800e-05,2.120960e-04,5.734400e-05,1.214400e-05,
-1.000000,1024,1024,OS2-i8-fast-10,1.084895e+01,3.958880e-04,4.942400e-05,2.440480e-04,6.472000e-05,1.225600e-05,
-1.000000,1024,1024,OS2-i8-fast-11,1.069848e+01,4.014560e-04,5.081600e-05,2.430880e-04,6.760000e-05,1.411200e-05,
-1.000000,1024,1024,OS2-i8-fast-12,9.538606e+00,4.502720e-04,6.035200e-05,2.734880e-04,7.502400e-05,1.417600e-05,
-1.000000,1024,1024,OS2-i8-accu-3,2.072861e+01,2.072000e-04,7.145600e-05,8.702400e-05,2.097600e-05,1.017600e-05,
-1.000000,1024,1024,OS2-i8-accu-4,1.722507e+01,2.493440e-04,7.518400e-05,1.160320e-04,2.891200e-05,1.011200e-05,
-1.000000,1024,1024,OS2-i8-accu-5,1.471444e+01,2.918880e-04,7.918400e-05,1.459680e-04,3.633600e-05,1.017600e-05,
-1.000000,1024,1024,OS2-i8-accu-6,1.267161e+01,3.389440e-04,8.750400e-05,1.743520e-04,4.400000e-05,1.043200e-05,
-1.000000,1024,1024,OS2-i8-accu-7,1.227695e+01,3.498400e-04,9.052800e-05,1.777440e-04,4.761600e-05,1.206400e-05,
-1.000000,1024,1024,OS2-i8-accu-8,1.095119e+01,3.921920e-04,9.496000e-05,2.076320e-04,5.441600e-05,1.203200e-05,
-1.000000,1024,1024,OS2-i8-accu-9,1.071599e+01,4.008000e-04,9.734400e-05,2.103040e-04,5.732800e-05,1.211200e-05,
-1.000000,1024,1024,OS2-i8-accu-10,9.702369e+00,4.426720e-04,9.971200e-05,2.408160e-04,6.446400e-05,1.212800e-05,
-1.000000,1024,1024,OS2-i8-accu-11,9.484011e+00,4.528640e-04,1.023200e-04,2.432640e-04,6.851200e-05,1.408000e-05,
-1.000000,1024,1024,OS2-i8-accu-12,8.694829e+00,4.939680e-04,1.057120e-04,2.722880e-04,7.456000e-05,1.417600e-05,
-1.000000,1024,1024,OS2-f8-fast-3,2.137225e+01,2.009600e-04,3.385600e-05,1.096160e-04,2.908800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-4,1.684777e+01,2.549280e-04,3.833600e-05,1.472000e-04,4.019200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-5,1.391290e+01,3.087040e-04,4.201600e-05,1.855520e-04,5.041600e-05,1.044800e-05,
-1.000000,1024,1024,OS2-f8-fast-6,1.158148e+01,3.708480e-04,5.382400e-05,2.235360e-04,6.012800e-05,1.228800e-05,
-1.000000,1024,1024,OS2-f8-fast-7,9.913415e+00,4.332480e-04,6.534400e-05,2.627040e-04,7.105600e-05,1.228800e-05,
-1.000000,1024,1024,OS2-f8-fast-8,8.716003e+00,4.927680e-04,7.897600e-05,2.997280e-04,7.897600e-05,1.228800e-05,
