phi,m,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-3,2.657251e+01,1.616320e-04,2.544000e-05,8.745600e-05,2.070400e-05,1.012800e-05,
-1.000000,1024,1024,OS2-i8-fast-4,2.131286e+01,2.015200e-04,2.835200e-05,1.163840e-04,2.716800e-05,1.017600e-05,
-1.000000,1024,1024,OS2-i8-fast-5,1.767884e+01,2.429440e-04,3.008000e-05,1.458720e-04,3.689600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-6,1.505105e+01,2.853600e-04,3.368000e-05,1.756960e-04,4.440000e-05,1.027200e-05,
-1.000000,1024,1024,OS2-i8-fast-7,1.446857e+01,2.968480e-04,3.633600e-05,1.776800e-04,4.902400e-05,1.219200e-05,
-1.000000,1024,1024,OS2-i8-fast-8,1.241550e+01,3.459360e-04,4.451200e-05,2.094400e-04,5.686400e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-fast-9,1.211187e+01,3.546080e-04,4.691200e-05,2.123200e-04,5.921600e-05,1.225600e-05,
-1.000000,1024,1024,OS2-i8-fast-10,1.084500e+01,3.960320e-04,5.052800e-05,2.421600e-04,6.588800e-05,1.225600e-05,
-1.000000,1024,1024,OS2-i8-fast-11,1.063279e+01,4.039360e-04,5.310400e-05,2.429600e-04,6.947200e-05,1.257600e-05,
-1.000000,1024,1024,OS2-i8-fast-12,9.475976e+00,4.532480e-04,6.187200e-05,2.734240e-04,7.667200e-05,1.424000e-05,
-1.000000,1024,1024,OS2-i8-accu-3,2.067433e+01,2.077440e-04,7.155200e-05,8.694400e-05,2.136000e-05,1.011200e-05,
-1.000000,1024,1024,OS2-i8-accu-4,1.726384e+01,2.487840e-04,7.436800e-05,1.161120e-04,2.889600e-05,1.019200e-05,
-1.000000,1024,1024,OS2-i8-accu-5,1.459364e+01,2.943040e-04,8.102400e-05,1.455200e-04,3.732800e-05,1.008000e-05,
-1.000000,1024,1024,OS2-i8-accu-6,1.269919e+01,3.382080e-04,8.528000e-05,1.753440e-04,4.585600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-7,1.223498e+01,3.510400e-04,9.123200e-05,1.771680e-04,4.828800e-05,1.222400e-05,
-1.000000,1024,1024,OS2-i8-accu-8,1.087091e+01,3.950880e-04,9.646400e-05,2.074880e-04,5.574400e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-accu-9,1.066702e+01,4.026400e-04,9.710400e-05,2.102400e-04,5.878400e-05,1.222400e-05,
-1.000000,1024,1024,OS2-i8-accu-10,9.609632e+00,4.469440e-04,1.012480e-04,2.413600e-04,6.601600e-05,1.225600e-05,
-1.000000,1024,1024,OS2-i8-accu-11,9.415154e+00,4.561760e-04,1.032960e-04,2.422560e-04,7.052800e-05,1.433600e-05,
-1.000000,1024,1024,OS2-i8-accu-12,8.593785e+00,4.997760e-04,1.069280e-04,2.731520e-04,7.678400e-05,1.432000e-05,
-1.000000,1024,1024,OS2-f8-fast-3,2.143540e+01,2.003680e-04,3.420800e-05,1.096320e-04,2.835200e-05,1.020800e-05,
-1.000000,1024,1024,OS2-f8-fast-4,1.674895e+01,2.564320e-04,4.006400e-05,1.478720e-04,3.939200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-5,1.383046e+01,3.105440e-04,4.406400e-05,1.851360e-04,5.097600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-6,1.144616e+01,3.752320e-04,5.497600e-05,2.252480e-04,6.182400e-05,1.228800e-05,
-1.000000,1024,1024,OS2-f8-fast-7,9.881302e+00,4.346560e-04,6.758400e-05,2.621280e-04,7.036800e-05,1.228800e-05,
-1.000000,1024,1024,OS2-f8-fast-8,8.654462e+00,4.962720e-04,8.041600e-05,2.999520e-04,7.988800e-05,1.228800e-05,
-1.000000,1024,1024,OS2-f8-fast-9,7.705249e+00,5.574080e-04,9.102400e-05,3.395200e-04,8.987200e-05,1.241600e-05,
-1.000000,1024,1024,OS2-f8-fast-10,7.185680e+00,5.977120e-04,1.046560e-04,3.559840e-04,9.750400e-05,1.433600e-05,
-1.000000,1024,1024,OS2-f8-fast-11,6.256362e+00,6.864960e-04,1.432160e-04,3.934240e-04,1.086720e-04,1.433600e-05,
-1.000000,1024,1024,OS2-f8-fast-12,5.832004e+00,7.364480e-04,1.696800e-04,4.074880e-04,1.170400e-04,1.443200e-05,
-1.000000,1024,1024,OS2-f8-accu-3,1.859744e+01,2.309440e-04,6.368000e-05,1.097600e-04,2.905600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-4,1.504346e+01,2.855040e-04,6.812800e-05,1.479840e-04,4.009600e-05,1.024000e-05,
