phi,m,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-3,2.573193e+01,1.669120e-04,3.171200e-05,8.704000e-05,2.048000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-4,2.005644e+01,2.141440e-04,4.118400e-05,1.155520e-04,2.760000e-05,1.020800e-05,
-1.000000,1024,1024,OS2-i8-fast-5,1.658340e+01,2.589920e-04,4.624000e-05,1.454880e-04,3.702400e-05,1.020800e-05,
-1.000000,1024,1024,OS2-i8-fast-6,1.423910e+01,3.016320e-04,4.963200e-05,1.756480e-04,4.465600e-05,1.025600e-05,
-1.000000,1024,1024,OS2-i8-fast-7,1.364487e+01,3.147680e-04,5.225600e-05,1.796960e-04,4.931200e-05,1.211200e-05,
-1.000000,1024,1024,OS2-i8-fast-8,1.199551e+01,3.580480e-04,5.729600e-05,2.101120e-04,5.553600e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-fast-9,1.169602e+01,3.672160e-04,6.027200e-05,2.131040e-04,5.832000e-05,1.225600e-05,
-1.000000,1024,1024,OS2-i8-fast-10,1.053018e+01,4.078720e-04,6.344000e-05,2.418400e-04,6.592000e-05,1.225600e-05,
-1.000000,1024,1024,OS2-i8-fast-11,1.025267e+01,4.189120e-04,6.584000e-05,2.434240e-04,6.971200e-05,1.417600e-05,
-1.000000,1024,1024,OS2-i8-fast-12,9.264062e+00,4.636160e-04,7.438400e-05,2.720960e-04,7.584000e-05,1.428800e-05,
-1.000000,1024,1024,OS2-i8-accu-3,1.946877e+01,2.206080e-04,8.310400e-05,8.652800e-05,2.219200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-4,1.661933e+01,2.584320e-04,8.246400e-05,1.157600e-04,3.075200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-5,1.406526e+01,3.053600e-04,9.198400e-05,1.446880e-04,3.819200e-05,1.020800e-05,
