phi,m,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-3,2.345439e+01,1.831200e-04,4.587200e-05,8.764800e-05,2.144000e-05,1.004800e-05,
-1.000000,1024,1024,OS2-i8-fast-4,1.878090e+01,2.286880e-04,5.299200e-05,1.173600e-04,2.880000e-05,1.020800e-05,
-1.000000,1024,1024,OS2-i8-fast-5,1.584157e+01,2.711200e-04,5.830400e-05,1.466880e-04,3.633600e-05,1.017600e-05,
-1.000000,1024,1024,OS2-i8-fast-6,1.368312e+01,3.138880e-04,6.252800e-05,1.768960e-04,4.310400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-7,1.317992e+01,3.258720e-04,6.619200e-05,1.776320e-04,4.836800e-05,1.217600e-05,
-1.000000,1024,1024,OS2-i8-fast-8,1.152628e+01,3.726240e-04,7.364800e-05,2.090080e-04,5.459200e-05,1.225600e-05,
-1.000000,1024,1024,OS2-i8-fast-9,1.118807e+01,3.838880e-04,7.804800e-05,2.116160e-04,5.852800e-05,1.225600e-05,
-1.000000,1024,1024,OS2-i8-fast-10,1.007262e+01,4.264000e-04,8.214400e-05,2.416640e-04,6.544000e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-fast-11,9.842535e+00,4.363680e-04,8.534400e-05,2.424960e-04,6.897600e-05,1.419200e-05,
-1.000000,1024,1024,OS2-i8-fast-12,8.984084e+00,4.780640e-04,8.825600e-05,2.732000e-04,7.539200e-05,1.427200e-05,
-1.000000,1024,1024,OS2-i8-accu-3,1.909757e+01,2.248960e-04,8.748800e-05,8.753600e-05,2.156800e-05,1.008000e-05,
-1.000000,1024,1024,OS2-i8-accu-4,1.620987e+01,2.649600e-04,8.932800e-05,1.170240e-04,2.896000e-05,1.008000e-05,
-1.000000,1024,1024,OS2-i8-accu-5,1.407189e+01,3.052160e-04,9.216000e-05,1.462080e-04,3.638400e-05,1.014400e-05,
-1.000000,1024,1024,OS2-i8-accu-6,1.236631e+01,3.473120e-04,9.612800e-05,1.759360e-04,4.345600e-05,1.024000e-05,
