phi,m,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-3,2.381647e+01,1.803360e-04,4.425600e-05,8.649600e-05,2.153600e-05,1.017600e-05,
-1.000000,1024,1024,OS2-i8-fast-4,1.881777e+01,2.282400e-04,5.324800e-05,1.162720e-04,2.876800e-05,1.014400e-05,
-1.000000,1024,1024,OS2-i8-fast-5,1.574494e+01,2.727840e-04,6.049600e-05,1.456640e-04,3.606400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-6,1.355872e+01,3.167680e-04,6.524800e-05,1.760160e-04,4.363200e-05,1.030400e-05,
-1.000000,1024,1024,OS2-i8-fast-7,1.299552e+01,3.304960e-04,6.950400e-05,1.804640e-04,4.652800e-05,1.198400e-05,
-1.000000,1024,1024,OS2-i8-fast-8,1.149469e+01,3.736480e-04,7.456000e-05,2.090880e-04,5.420800e-05,1.225600e-05,
-1.000000,1024,1024,OS2-i8-fast-9,1.114441e+01,3.853920e-04,7.833600e-05,2.125120e-04,5.782400e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-fast-10,1.007338e+01,4.263680e-04,8.203200e-05,2.415040e-04,6.520000e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-fast-11,9.810879e+00,4.377760e-04,8.577600e-05,2.435840e-04,6.859200e-05,1.401600e-05,
-1.000000,1024,1024,OS2-i8-fast-12,8.972973e+00,4.786560e-04,8.860800e-05,2.732000e-04,7.537600e-05,1.427200e-05,
-1.000000,1024,1024,OS2-i8-accu-3,1.867897e+01,2.299360e-04,9.288000e-05,8.652800e-05,2.153600e-05,1.012800e-05,
-1.000000,1024,1024,OS2-i8-accu-4,1.584625e+01,2.710400e-04,9.606400e-05,1.162400e-04,2.886400e-05,1.014400e-05,
-1.000000,1024,1024,OS2-i8-accu-5,1.390641e+01,3.088480e-04,9.592000e-05,1.456320e-04,3.624000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-6,1.206343e+01,3.560320e-04,1.028800e-04,1.752960e-04,4.497600e-05,1.049600e-05,
-1.000000,1024,1024,OS2-i8-accu-7,1.163620e+01,3.691040e-04,1.075520e-04,1.779840e-04,4.803200e-05,1.222400e-05,
-1.000000,1024,1024,OS2-i8-accu-8,1.046654e+01,4.103520e-04,1.110400e-04,2.075040e-04,5.534400e-05,1.225600e-05,
-1.000000,1024,1024,OS2-i8-accu-9,1.016955e+01,4.223360e-04,1.151200e-04,2.113280e-04,5.880000e-05,1.225600e-05,
-1.000000,1024,1024,OS2-i8-accu-10,9.256395e+00,4.640000e-04,1.184800e-04,2.422240e-04,6.521600e-05,1.225600e-05,
-1.000000,1024,1024,OS2-i8-accu-11,9.058972e+00,4.741120e-04,1.222720e-04,2.435200e-04,6.824000e-05,1.401600e-05,
-1.000000,1024,1024,OS2-i8-accu-12,8.311725e+00,5.167360e-04,1.260960e-04,2.737280e-04,7.532800e-05,1.408000e-05,
-1.000000,1024,1024,OS2-f8-fast-3,1.867117e+01,2.300320e-04,6.324800e-05,1.098880e-04,2.881600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-4,1.513421e+01,2.837920e-04,6.728000e-05,1.484800e-04,3.852800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-5,1.271844e+01,3.376960e-04,7.113600e-05,1.864960e-04,4.937600e-05,1.027200e-05,
-1.000000,1024,1024,OS2-f8-fast-6,1.096998e+01,3.915200e-04,7.667200e-05,2.237920e-04,5.808000e-05,1.222400e-05,
-1.000000,1024,1024,OS2-f8-fast-7,9.541319e+00,4.501440e-04,8.492800e-05,2.629280e-04,6.809600e-05,1.228800e-05,
