phi,m,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-3,2.316095e+01,1.854400e-04,4.859200e-05,8.652800e-05,2.140800e-05,1.022400e-05,
-1.000000,1024,1024,OS2-i8-fast-4,1.863488e+01,2.304800e-04,5.520000e-05,1.171840e-04,2.880000e-05,1.014400e-05,
-1.000000,1024,1024,OS2-i8-fast-5,1.571360e+01,2.733280e-04,6.292800e-05,1.448320e-04,3.500800e-05,1.017600e-05,
-1.000000,1024,1024,OS2-i8-fast-6,1.355461e+01,3.168640e-04,6.702400e-05,1.753920e-04,4.336000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-7,1.323712e+01,3.244640e-04,6.873600e-05,1.773920e-04,4.524800e-05,1.212800e-05,
-1.000000,1024,1024,OS2-i8-fast-8,1.159749e+01,3.703360e-04,7.380800e-05,2.086880e-04,5.193600e-05,1.222400e-05,
-1.000000,1024,1024,OS2-i8-fast-9,1.122879e+01,3.824960e-04,7.814400e-05,2.120640e-04,5.601600e-05,1.219200e-05,
-1.000000,1024,1024,OS2-i8-fast-10,1.010485e+01,4.250400e-04,8.236800e-05,2.417760e-04,6.388800e-05,1.216000e-05,
-1.000000,1024,1024,OS2-i8-fast-11,9.858802e+00,4.356480e-04,8.536000e-05,2.432320e-04,6.686400e-05,1.414400e-05,
-1.000000,1024,1024,OS2-i8-fast-12,8.992210e+00,4.776320e-04,8.872000e-05,2.728640e-04,7.441600e-05,1.420800e-05,
-1.000000,1024,1024,OS2-i8-accu-3,1.865171e+01,2.302720e-04,9.342400e-05,8.672000e-05,2.140800e-05,1.022400e-05,
-1.000000,1024,1024,OS2-i8-accu-4,1.572465e+01,2.731360e-04,9.788800e-05,1.165600e-04,2.873600e-05,1.017600e-05,
-1.000000,1024,1024,OS2-i8-accu-5,1.378147e+01,3.116480e-04,9.974400e-05,1.452320e-04,3.555200e-05,1.017600e-05,
-1.000000,1024,1024,OS2-i8-accu-6,1.227807e+01,3.498080e-04,9.913600e-05,1.752160e-04,4.326400e-05,1.017600e-05,
-1.000000,1024,1024,OS2-i8-accu-7,1.193630e+01,3.598240e-04,1.019520e-04,1.781120e-04,4.580800e-05,1.049600e-05,
-1.000000,1024,1024,OS2-i8-accu-8,1.051533e+01,4.084480e-04,1.110400e-04,2.090080e-04,5.238400e-05,1.219200e-05,
-1.000000,1024,1024,OS2-i8-accu-9,1.021211e+01,4.205760e-04,1.148160e-04,2.122560e-04,5.622400e-05,1.209600e-05,
-1.000000,1024,1024,OS2-i8-accu-10,9.269180e+00,4.633600e-04,1.202720e-04,2.409760e-04,6.430400e-05,1.216000e-05,
-1.000000,1024,1024,OS2-i8-accu-11,9.081344e+00,4.729440e-04,1.226400e-04,2.424480e-04,6.652800e-05,1.408000e-05,
-1.000000,1024,1024,OS2-i8-accu-12,8.332364e+00,5.154560e-04,1.265440e-04,2.726400e-04,7.425600e-05,1.424000e-05,
-1.000000,1024,1024,OS2-f8-fast-3,1.879668e+01,2.284960e-04,6.262400e-05,1.093600e-04,2.859200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-4,1.520967e+01,2.823840e-04,6.684800e-05,1.483520e-04,3.814400e-05,1.003200e-05,
-1.000000,1024,1024,OS2-f8-fast-5,1.278325e+01,3.359840e-04,7.097600e-05,1.865920e-04,4.785600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-6,1.100416e+01,3.903040e-04,7.577600e-05,2.246400e-04,5.790400e-05,1.126400e-05,
-1.000000,1024,1024,OS2-f8-fast-7,9.584927e+00,4.480960e-04,8.377600e-05,2.634240e-04,6.681600e-05,1.228800e-05,
-1.000000,1024,1024,OS2-f8-fast-8,8.465592e+00,5.073440e-04,9.256000e-05,3.016160e-04,7.819200e-05,1.228800e-05,
-1.000000,1024,1024,OS2-f8-fast-9,7.600528e+00,5.650880e-04,1.005760e-04,3.399520e-04,8.628800e-05,1.414400e-05,
-1.000000,1024,1024,OS2-f8-fast-10,7.131654e+00,6.022400e-04,1.085120e-04,3.547360e-04,9.968000e-05,1.433600e-05,
-1.000000,1024,1024,OS2-f8-fast-11,6.510367e+00,6.597120e-04,1.167680e-04,3.930560e-04,1.098400e-04,1.433600e-05,
-1.000000,1024,1024,OS2-f8-fast-12,6.232250e+00,6.891520e-04,1.253280e-04,4.062240e-04,1.164800e-04,1.433600e-05,
-1.000000,1024,1024,OS2-f8-accu-3,1.762776e+01,2.436480e-04,7.556800e-05,1.099200e-04,2.932800e-05,1.020800e-05,
-1.000000,1024,1024,OS2-f8-accu-4,1.442116e+01,2.978240e-04,8.011200e-05,1.488640e-04,3.897600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-5,1.216401e+01,3.530880e-04,8.518400e-05,1.856640e-04,5.046400e-05,1.048000e-05,
-1.000000,1024,1024,OS2-f8-accu-6,1.048248e+01,4.097280e-04,9.067200e-05,2.244160e-04,6.116800e-05,1.228800e-05,
-1.000000,1024,1024,OS2-f8-accu-7,9.174144e+00,4.681600e-04,9.852800e-05,2.636320e-04,7.145600e-05,1.228800e-05,
-1.000000,1024,1024,OS2-f8-accu-8,8.207027e+00,5.233280e-04,1.076480e-04,3.013280e-04,7.849600e-05,1.228800e-05,
-1.000000,1024,1024,OS2-f8-accu-9,7.373385e+00,5.824960e-04,1.149120e-04,3.383520e-04,9.128000e-05,1.251200e-05,
-1.000000,1024,1024,OS2-f8-accu-10,6.964752e+00,6.166720e-04,1.244480e-04,3.553120e-04,9.777600e-05,1.433600e-05,
-1.000000,1024,1024,OS2-f8-accu-11,6.370692e+00,6.741760e-04,1.318880e-04,3.928160e-04,1.079360e-04,1.433600e-05,
-1.000000,1024,1024,OS2-f8-accu-12,6.078839e+00,7.065440e-04,1.404160e-04,4.075680e-04,1.153120e-04,1.638400e-05,
-1.000000,1024,1024,BF16x9,3.721551e+01,1.154080e-04,,,,,
-1.000000,1024,1024,CTRMM,3.720004e+01,1.154560e-04,,,,,
-1.000000,2048,2048,OS2-i8-fast-3,1.085465e+02,3.165440e-04,1.234880e-04,1.161600e-04,3.540800e-05,2.275200e-05,
-1.000000,2048,2048,OS2-i8-fast-4,9.051564e+01,3.796000e-04,1.332480e-04,1.563520e-04,4.680000e-05,2.435200e-05,
-1.000000,2048,2048,OS2-i8-fast-5,7.790900e+01,4.410240e-04,1.425280e-04,1.953120e-04,5.804800e-05,2.454400e-05,
-1.000000,2048,2048,OS2-i8-fast-6,6.806388e+01,5.048160e-04,1.521600e-04,2.342400e-04,7.024000e-05,2.652800e-05,
-1.000000,2048,2048,OS2-i8-fast-7,6.243774e+01,5.503040e-04,1.611840e-04,2.554080e-04,8.268800e-05,2.867200e-05,
-1.000000,2048,2048,OS2-i8-fast-8,5.539320e+01,6.202880e-04,1.760000e-04,2.933920e-04,9.670400e-05,3.072000e-05,
-1.000000,2048,2048,OS2-i8-fast-9,5.189666e+01,6.620800e-04,1.879200e-04,3.111520e-04,1.068960e-04,3.248000e-05,
-1.000000,2048,2048,OS2-i8-fast-10,4.732016e+01,7.261120e-04,1.994720e-04,3.501760e-04,1.169760e-04,3.300800e-05,
-1.000000,2048,2048,OS2-i8-fast-11,4.463881e+01,7.697280e-04,2.110560e-04,3.674560e-04,1.285440e-04,3.664000e-05,
-1.000000,2048,2048,OS2-i8-fast-12,4.111905e+01,8.356160e-04,2.216640e-04,4.066240e-04,1.414560e-04,3.891200e-05,
-1.000000,2048,2048,OS2-i8-accu-3,9.161620e+01,3.750400e-04,1.812960e-04,1.169760e-04,3.484800e-05,2.272000e-05,
-1.000000,2048,2048,OS2-i8-accu-4,7.844116e+01,4.380320e-04,1.902400e-04,1.563840e-04,4.676800e-05,2.435200e-05,
-1.000000,2048,2048,OS2-i8-accu-5,6.906425e+01,4.975040e-04,1.999840e-04,1.953280e-04,5.665600e-05,2.454400e-05,
-1.000000,2048,2048,OS2-i8-accu-6,6.147612e+01,5.589120e-04,2.048640e-04,2.350720e-04,7.065600e-05,2.641600e-05,
-1.000000,2048,2048,OS2-i8-accu-7,5.699872e+01,6.028160e-04,2.137440e-04,2.536800e-04,8.404800e-05,2.867200e-05,
-1.000000,2048,2048,OS2-i8-accu-8,5.108920e+01,6.725440e-04,2.300480e-04,2.945920e-04,9.489600e-05,2.896000e-05,
-1.000000,2048,2048,OS2-i8-accu-9,4.820714e+01,7.127520e-04,2.395680e-04,3.105280e-04,1.062560e-04,3.248000e-05,
-1.000000,2048,2048,OS2-i8-accu-10,4.404462e+01,7.801120e-04,2.523040e-04,3.494240e-04,1.179200e-04,3.304000e-05,
-1.000000,2048,2048,OS2-i8-accu-11,4.163565e+01,8.252480e-04,2.641440e-04,3.685760e-04,1.287200e-04,3.665600e-05,
-1.000000,2048,2048,OS2-i8-accu-12,3.864535e+01,8.891040e-04,2.756160e-04,4.068000e-04,1.409440e-04,3.891200e-05,
-1.000000,2048,2048,OS2-f8-fast-3,6.168803e+01,5.569920e-04,1.452480e-04,2.788480e-04,9.190400e-05,2.275200e-05,
-1.000000,2048,2048,OS2-f8-fast-4,4.906179e+01,7.003360e-04,1.615520e-04,3.717440e-04,1.236800e-04,2.457600e-05,
-1.000000,2048,2048,OS2-f8-fast-5,4.098564e+01,8.383360e-04,1.772800e-04,4.625440e-04,1.518400e-04,2.662400e-05,
-1.000000,2048,2048,OS2-f8-fast-6,3.488667e+01,9.848960e-04,1.954880e-04,5.553280e-04,1.869760e-04,2.662400e-05,
-1.000000,2048,2048,OS2-f8-fast-7,3.006796e+01,1.142736e-03,2.231840e-04,6.485920e-04,2.195200e-04,2.867200e-05,
