phi,m,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-3,2.337066e+01,1.837760e-04,4.736000e-05,8.652800e-05,2.147200e-05,1.020800e-05,
-1.000000,1024,1024,OS2-i8-fast-4,1.866209e+01,2.301440e-04,5.508800e-05,1.165120e-04,3.006400e-05,1.014400e-05,
-1.000000,1024,1024,OS2-i8-fast-5,1.557140e+01,2.758240e-04,6.211200e-05,1.459040e-04,3.790400e-05,1.020800e-05,
-1.000000,1024,1024,OS2-i8-fast-6,1.347771e+01,3.186720e-04,6.635200e-05,1.753280e-04,4.593600e-05,1.025600e-05,
-1.000000,1024,1024,OS2-i8-fast-7,1.307209e+01,3.285600e-04,6.966400e-05,1.773760e-04,4.790400e-05,1.222400e-05,
-1.000000,1024,1024,OS2-i8-fast-8,1.150849e+01,3.732000e-04,7.456000e-05,2.089920e-04,5.504000e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-fast-9,1.119881e+01,3.835200e-04,7.812800e-05,2.109920e-04,5.862400e-05,1.225600e-05,
-1.000000,1024,1024,OS2-i8-fast-10,1.008246e+01,4.259840e-04,8.177600e-05,2.415840e-04,6.574400e-05,1.227200e-05,
-1.000000,1024,1024,OS2-i8-fast-11,9.830280e+00,4.369120e-04,8.508800e-05,2.434880e-04,6.864000e-05,1.403200e-05,
-1.000000,1024,1024,OS2-i8-fast-12,8.966379e+00,4.790080e-04,8.854400e-05,2.738560e-04,7.552000e-05,1.411200e-05,
-1.000000,1024,1024,OS2-i8-accu-3,1.850258e+01,2.321280e-04,9.510400e-05,8.723200e-05,2.169600e-05,1.020800e-05,
-1.000000,1024,1024,OS2-i8-accu-4,1.572465e+01,2.731360e-04,9.777600e-05,1.162720e-04,2.960000e-05,1.017600e-05,
-1.000000,1024,1024,OS2-i8-accu-5,1.366779e+01,3.142400e-04,1.006720e-04,1.454880e-04,3.744000e-05,1.020800e-05,
-1.000000,1024,1024,OS2-i8-accu-6,1.207428e+01,3.557120e-04,1.034240e-04,1.750240e-04,4.542400e-05,1.027200e-05,
-1.000000,1024,1024,OS2-i8-accu-7,1.170520e+01,3.669280e-04,1.058560e-04,1.781920e-04,4.819200e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-accu-8,1.048207e+01,4.097440e-04,1.109760e-04,2.080960e-04,5.550400e-05,1.225600e-05,
-1.000000,1024,1024,OS2-i8-accu-9,1.018228e+01,4.218080e-04,1.145440e-04,2.123200e-04,5.846400e-05,1.225600e-05,
-1.000000,1024,1024,OS2-i8-accu-10,9.243327e+00,4.646560e-04,1.193920e-04,2.424160e-04,6.507200e-05,1.225600e-05,
-1.000000,1024,1024,OS2-i8-accu-11,9.060807e+00,4.740160e-04,1.219520e-04,2.437120e-04,6.884800e-05,1.404800e-05,
-1.000000,1024,1024,OS2-i8-accu-12,8.305295e+00,5.171360e-04,1.267680e-04,2.733920e-04,7.524800e-05,1.404800e-05,
-1.000000,1024,1024,OS2-f8-fast-3,1.876646e+01,2.288640e-04,6.252800e-05,1.092320e-04,2.868800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-4,1.525288e+01,2.815840e-04,6.646400e-05,1.480000e-04,3.816000e-05,1.022400e-05,
-1.000000,1024,1024,OS2-f8-fast-5,1.274380e+01,3.370240e-04,7.094400e-05,1.865760e-04,4.875200e-05,1.040000e-05,
-1.000000,1024,1024,OS2-f8-fast-6,1.098704e+01,3.909120e-04,7.566400e-05,2.245440e-04,5.894400e-05,1.200000e-05,
-1.000000,1024,1024,OS2-f8-fast-7,9.558986e+00,4.493120e-04,8.358400e-05,2.631200e-04,6.840000e-05,1.228800e-05,
