phi,m,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-9,5.591474e+00,1.920320e-04,3.376000e-05,7.872000e-05,4.571200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-10,5.500276e+00,1.952160e-04,3.496000e-05,7.822400e-05,4.795200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-11,4.885619e+00,2.197760e-04,3.700800e-05,9.174400e-05,5.547200e-05,1.043200e-05,
-1.000000,1024,1024,OS2-i8-fast-12,4.801378e+00,2.236320e-04,3.833600e-05,9.145600e-05,5.633600e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-fast-13,4.735982e+00,2.267200e-04,3.915200e-05,9.139200e-05,5.747200e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-fast-14,4.636191e+00,2.316000e-04,4.115200e-05,9.126400e-05,5.964800e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-fast-15,4.186455e+00,2.564800e-04,4.316800e-05,1.046240e-04,6.822400e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-fast-16,4.043190e+00,2.655680e-04,4.969600e-05,1.040640e-04,6.996800e-05,1.235200e-05,
-1.000000,1024,1024,OS2-i8-fast-17,3.893529e+00,2.757760e-04,5.220800e-05,1.076480e-04,7.192000e-05,1.433600e-05,
-1.000000,1024,1024,OS2-i8-fast-18,3.826702e+00,2.805920e-04,5.318400e-05,1.074080e-04,7.539200e-05,1.433600e-05,
-1.000000,1024,1024,OS2-i8-fast-19,3.768891e+00,2.848960e-04,5.385600e-05,1.075840e-04,7.740800e-05,1.433600e-05,
-1.000000,1024,1024,OS2-i8-fast-20,3.502368e+00,3.065760e-04,5.505600e-05,1.210080e-04,8.427200e-05,1.433600e-05,
-1.000000,1024,1024,OS2-i8-accu-9,4.949031e+00,2.169600e-04,5.908800e-05,7.846400e-05,4.556800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-10,4.861904e+00,2.208480e-04,6.107200e-05,7.817600e-05,4.726400e-05,1.024000e-05,
