phi,m,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-9,5.845211e+00,1.836960e-04,2.649600e-05,7.868800e-05,4.518400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-10,5.695397e+00,1.885280e-04,2.828800e-05,7.881600e-05,4.748800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-11,5.065202e+00,2.119840e-04,2.993600e-05,9.139200e-05,5.432000e-05,1.049600e-05,
-1.000000,1024,1024,OS2-i8-fast-12,4.970291e+00,2.160320e-04,3.142400e-05,9.139200e-05,5.542400e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-fast-13,4.857681e+00,2.210400e-04,3.241600e-05,9.147200e-05,5.784000e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-fast-14,4.792121e+00,2.240640e-04,3.377600e-05,9.145600e-05,5.952000e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-fast-15,4.346148e+00,2.470560e-04,3.516800e-05,1.046560e-04,6.667200e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-fast-16,4.214587e+00,2.547680e-04,4.048000e-05,1.046080e-04,6.787200e-05,1.235200e-05,
-1.000000,1024,1024,OS2-i8-fast-17,4.079070e+00,2.632320e-04,4.201600e-05,1.069120e-04,7.049600e-05,1.433600e-05,
-1.000000,1024,1024,OS2-i8-fast-18,3.979887e+00,2.697920e-04,4.406400e-05,1.074560e-04,7.329600e-05,1.433600e-05,
-1.000000,1024,1024,OS2-i8-fast-19,3.886314e+00,2.762880e-04,4.574400e-05,1.079040e-04,7.656000e-05,1.433600e-05,
-1.000000,1024,1024,OS2-i8-fast-20,3.592359e+00,2.988960e-04,4.652800e-05,1.216000e-04,8.411200e-05,1.433600e-05,
-1.000000,1024,1024,OS2-i8-accu-9,5.116565e+00,2.098560e-04,5.267200e-05,7.811200e-05,4.550400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-10,5.018236e+00,2.139680e-04,5.396800e-05,7.824000e-05,4.744000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-11,4.523380e+00,2.373760e-04,5.502400e-05,9.134400e-05,5.443200e-05,1.142400e-05,
-1.000000,1024,1024,OS2-i8-accu-12,4.454030e+00,2.410720e-04,5.566400e-05,9.139200e-05,5.616000e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-accu-13,4.385627e+00,2.448320e-04,5.744000e-05,9.140800e-05,5.732800e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-accu-14,4.317626e+00,2.486880e-04,5.732800e-05,9.139200e-05,5.984000e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-accu-15,3.953161e+00,2.716160e-04,5.902400e-05,1.047040e-04,6.684800e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-accu-16,3.830633e+00,2.803040e-04,6.593600e-05,1.048320e-04,6.772800e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-accu-17,3.722480e+00,2.884480e-04,6.771200e-05,1.070720e-04,6.995200e-05,1.260800e-05,
-1.000000,1024,1024,OS2-i8-accu-18,3.633595e+00,2.955040e-04,6.944000e-05,1.070080e-04,7.393600e-05,1.433600e-05,
-1.000000,1024,1024,OS2-i8-accu-19,3.562987e+00,3.013600e-04,7.057600e-05,1.078720e-04,7.670400e-05,1.433600e-05,
