phi,m,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-9,5.837076e+00,1.839520e-04,2.683200e-05,7.840000e-05,4.518400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-10,5.695397e+00,1.885280e-04,2.787200e-05,7.868800e-05,4.764800e-05,1.020800e-05,
-1.000000,1024,1024,OS2-i8-fast-11,5.101008e+00,2.104960e-04,2.963200e-05,9.136000e-05,5.446400e-05,1.040000e-05,
-1.000000,1024,1024,OS2-i8-fast-12,4.984318e+00,2.154240e-04,3.137600e-05,9.139200e-05,5.569600e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-fast-13,4.872141e+00,2.203840e-04,3.192000e-05,9.139200e-05,5.854400e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-fast-14,4.772356e+00,2.249920e-04,3.444800e-05,9.121600e-05,6.044800e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-fast-15,4.314573e+00,2.488640e-04,3.617600e-05,1.046400e-04,6.856000e-05,1.225600e-05,
-1.000000,1024,1024,OS2-i8-fast-16,4.148925e+00,2.588000e-04,4.425600e-05,1.039680e-04,6.984000e-05,1.225600e-05,
-1.000000,1024,1024,OS2-i8-fast-17,4.003153e+00,2.682240e-04,4.651200e-05,1.063360e-04,7.244800e-05,1.353600e-05,
-1.000000,1024,1024,OS2-i8-fast-18,3.916479e+00,2.741600e-04,4.832000e-05,1.066080e-04,7.504000e-05,1.433600e-05,
-1.000000,1024,1024,OS2-i8-fast-19,3.835231e+00,2.799680e-04,4.920000e-05,1.081440e-04,7.699200e-05,1.433600e-05,
-1.000000,1024,1024,OS2-i8-fast-20,3.561853e+00,3.014560e-04,5.043200e-05,1.208960e-04,8.440000e-05,1.433600e-05,
-1.000000,1024,1024,OS2-i8-accu-9,5.071710e+00,2.117120e-04,5.427200e-05,7.868800e-05,4.547200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-10,5.014861e+00,2.141120e-04,5.401600e-05,7.827200e-05,4.812800e-05,1.020800e-05,
-1.000000,1024,1024,OS2-i8-accu-11,4.540826e+00,2.364640e-04,5.518400e-05,9.129600e-05,5.467200e-05,1.040000e-05,
-1.000000,1024,1024,OS2-i8-accu-12,4.454325e+00,2.410560e-04,5.601600e-05,9.136000e-05,5.619200e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-accu-13,4.381332e+00,2.450720e-04,5.633600e-05,9.148800e-05,5.854400e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-accu-14,4.301850e+00,2.496000e-04,5.872000e-05,9.126400e-05,6.056000e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-accu-15,3.938082e+00,2.726560e-04,5.892800e-05,1.045920e-04,6.865600e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-accu-16,3.800264e+00,2.825440e-04,6.729600e-05,1.041920e-04,6.940800e-05,1.228800e-05,
-1.000000,1024,1024,OS2-i8-accu-17,3.703989e+00,2.898880e-04,6.766400e-05,1.064160e-04,7.244800e-05,1.433600e-05,
-1.000000,1024,1024,OS2-i8-accu-18,3.633201e+00,2.955360e-04,6.984000e-05,1.064320e-04,7.427200e-05,1.433600e-05,
-1.000000,1024,1024,OS2-i8-accu-19,3.581432e+00,2.998080e-04,7.065600e-05,1.067520e-04,7.692800e-05,1.433600e-05,
-1.000000,1024,1024,OS2-i8-accu-20,3.328648e+00,3.225760e-04,7.273600e-05,1.198240e-04,8.300800e-05,1.433600e-05,
-1.000000,1024,1024,OS2-f8-fast-9,4.232396e+00,2.536960e-04,4.222400e-05,1.174880e-04,5.822400e-05,1.203200e-05,
-1.000000,1024,1024,OS2-f8-fast-10,3.794892e+00,2.829440e-04,4.579200e-05,1.348480e-04,6.528000e-05,1.222400e-05,
-1.000000,1024,1024,OS2-f8-fast-11,3.612860e+00,2.972000e-04,5.057600e-05,1.387360e-04,7.027200e-05,1.225600e-05,
-1.000000,1024,1024,OS2-f8-fast-12,3.299679e+00,3.254080e-04,5.395200e-05,1.560800e-04,7.705600e-05,1.222400e-05,
-1.000000,1024,1024,OS2-f8-fast-13,2.978380e+00,3.605120e-04,7.363200e-05,1.661760e-04,8.065600e-05,1.228800e-05,
-1.000000,1024,1024,OS2-f8-fast-14,2.877862e+00,3.731040e-04,7.740800e-05,1.701440e-04,8.294400e-05,1.404800e-05,
-1.000000,1024,1024,OS2-f8-fast-15,2.661994e+00,4.033600e-04,8.276800e-05,1.866080e-04,9.056000e-05,1.427200e-05,
-1.000000,1024,1024,OS2-f8-fast-16,2.465515e+00,4.355040e-04,1.146080e-04,1.813440e-04,9.297600e-05,1.632000e-05,
-1.000000,1024,1024,OS2-f8-fast-17,2.400775e+00,4.472480e-04,1.194240e-04,1.852480e-04,9.590400e-05,1.632000e-05,
-1.000000,1024,1024,OS2-f8-fast-18,2.260623e+00,4.749760e-04,1.237440e-04,2.008480e-04,1.023680e-04,1.625600e-05,
-1.000000,1024,1024,OS2-f8-fast-19,2.156524e+00,4.979040e-04,1.291040e-04,2.152000e-04,1.041280e-04,1.635200e-05,
-1.000000,1024,1024,OS2-f8-fast-20,2.087822e+00,5.142880e-04,1.339040e-04,2.192160e-04,1.098240e-04,1.814400e-05,
-1.000000,1024,1024,OS2-f8-accu-9,3.942015e+00,2.723840e-04,6.124800e-05,1.171680e-04,5.865600e-05,1.200000e-05,
