phi,m,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-3,9.882030e+00,1.086560e-04,2.182400e-05,3.977600e-05,1.945600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-4,8.293236e+00,1.294720e-04,2.256000e-05,5.254400e-05,2.603200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-5,8.088329e+00,1.327520e-04,2.363200e-05,5.212800e-05,2.768000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-6,6.985413e+00,1.537120e-04,2.412800e-05,6.486400e-05,3.396800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-7,6.753433e+00,1.589920e-04,2.436800e-05,6.595200e-05,3.694400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-8,5.898125e+00,1.820480e-04,2.780800e-05,7.856000e-05,4.347200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-9,5.783751e+00,1.856480e-04,2.848000e-05,7.856000e-05,4.552000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-10,5.630883e+00,1.906880e-04,3.027200e-05,7.884800e-05,4.800000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-11,5.070177e+00,2.117760e-04,3.065600e-05,9.132800e-05,5.532800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-12,4.972500e+00,2.159360e-04,3.228800e-05,9.145600e-05,5.648000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-3,7.816991e+00,1.373600e-04,5.121600e-05,3.924800e-05,1.904000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-4,6.793770e+00,1.580480e-04,5.241600e-05,5.166400e-05,2.528000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-5,6.613665e+00,1.623520e-04,5.230400e-05,5.219200e-05,2.809600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-6,5.827446e+00,1.842560e-04,5.425600e-05,6.480000e-05,3.448000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-7,5.716744e+00,1.878240e-04,5.372800e-05,6.539200e-05,3.697600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-8,5.087859e+00,2.110400e-04,5.675200e-05,7.809600e-05,4.360000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-9,5.001779e+00,2.146720e-04,5.742400e-05,7.811200e-05,4.577600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-10,4.911722e+00,2.186080e-04,5.849600e-05,7.827200e-05,4.771200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-11,4.460246e+00,2.407360e-04,6.000000e-05,9.126400e-05,5.465600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-12,4.396833e+00,2.442080e-04,6.019200e-05,9.139200e-05,5.667200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-3,9.029718e+00,1.189120e-04,2.264000e-05,4.624000e-05,2.188800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-4,7.557305e+00,1.420800e-04,2.403200e-05,5.977600e-05,2.896000e-05,1.022400e-05,
-1.000000,1024,1024,OS2-f8-fast-5,6.461473e+00,1.661760e-04,2.627200e-05,7.364800e-05,3.593600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-6,5.474699e+00,1.961280e-04,3.081600e-05,9.000000e-05,4.428800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-7,5.131039e+00,2.092640e-04,3.558400e-05,9.492800e-05,4.672000e-05,1.014400e-05,
-1.000000,1024,1024,OS2-f8-fast-8,4.532239e+00,2.369120e-04,3.860800e-05,1.123840e-04,5.316800e-05,1.011200e-05,
-1.000000,1024,1024,OS2-f8-fast-9,4.280721e+00,2.508320e-04,4.116800e-05,1.174880e-04,5.833600e-05,1.017600e-05,
-1.000000,1024,1024,OS2-f8-fast-10,3.839619e+00,2.796480e-04,4.411200e-05,1.328640e-04,6.606400e-05,1.219200e-05,
-1.000000,1024,1024,OS2-f8-fast-11,3.687705e+00,2.911680e-04,4.736000e-05,1.372000e-04,6.908800e-05,1.225600e-05,
-1.000000,1024,1024,OS2-f8-fast-12,3.368412e+00,3.187680e-04,4.958400e-05,1.550080e-04,7.550400e-05,1.225600e-05,
-1.000000,1024,1024,OS2-f8-accu-3,7.631210e+00,1.407040e-04,4.544000e-05,4.515200e-05,2.176000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-4,6.540187e+00,1.641760e-04,4.710400e-05,5.888000e-05,2.870400e-05,1.020800e-05,
-1.000000,1024,1024,OS2-f8-accu-5,5.671331e+00,1.893280e-04,4.910400e-05,7.382400e-05,3.596800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-6,4.946113e+00,2.170880e-04,5.211200e-05,8.948800e-05,4.433600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-7,4.680163e+00,2.294240e-04,5.432000e-05,9.526400e-05,4.761600e-05,1.011200e-05,
-1.000000,1024,1024,OS2-f8-accu-8,4.184888e+00,2.565760e-04,5.763200e-05,1.126880e-04,5.328000e-05,1.016000e-05,
-1.000000,1024,1024,OS2-f8-accu-9,3.980124e+00,2.697760e-04,6.080000e-05,1.172480e-04,5.788800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-10,3.602580e+00,2.980480e-04,6.313600e-05,1.332960e-04,6.556800e-05,1.219200e-05,
-1.000000,1024,1024,OS2-f8-accu-11,3.451037e+00,3.111360e-04,6.593600e-05,1.379200e-04,6.956800e-05,1.200000e-05,
-1.000000,1024,1024,OS2-f8-accu-12,3.163423e+00,3.394240e-04,6.851200e-05,1.548480e-04,7.755200e-05,1.227200e-05,
-1.000000,1024,1024,BF16x9,1.789570e+01,6.000000e-05,,,,,
-1.000000,1024,1024,STRMM,1.788616e+01,6.003200e-05,,,,,
