phi,m,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-3,1.033876e+01,1.038560e-04,1.598400e-05,3.993600e-05,1.985600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-4,8.559804e+00,1.254400e-04,1.750400e-05,5.297600e-05,2.665600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-5,8.384415e+00,1.280640e-04,1.750400e-05,5.320000e-05,2.809600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-6,7.256582e+00,1.479680e-04,1.785600e-05,6.547200e-05,3.433600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-7,6.988323e+00,1.536480e-04,1.942400e-05,6.588800e-05,3.692800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-8,6.095818e+00,1.761440e-04,2.203200e-05,7.862400e-05,4.345600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-9,5.950423e+00,1.804480e-04,2.342400e-05,7.875200e-05,4.524800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-10,5.839108e+00,1.838880e-04,2.392000e-05,7.881600e-05,4.742400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-11,5.211125e+00,2.060480e-04,2.569600e-05,9.147200e-05,5.443200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-12,5.110720e+00,2.100960e-04,2.758400e-05,9.140800e-05,5.584000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-3,8.182013e+00,1.312320e-04,4.547200e-05,3.945600e-05,1.905600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-4,7.099965e+00,1.512320e-04,4.556800e-05,5.147200e-05,2.483200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-5,6.886492e+00,1.559200e-04,4.617600e-05,5.219200e-05,2.806400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-6,6.047478e+00,1.775520e-04,4.713600e-05,6.502400e-05,3.465600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-7,5.873861e+00,1.828000e-04,4.889600e-05,6.553600e-05,3.720000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-8,5.240423e+00,2.048960e-04,5.083200e-05,7.819200e-05,4.348800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-9,5.140079e+00,2.088960e-04,5.209600e-05,7.808000e-05,4.561600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-10,5.032159e+00,2.133760e-04,5.296000e-05,7.857600e-05,4.772800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-11,4.557478e+00,2.356000e-04,5.475200e-05,9.128000e-05,5.460800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-12,4.496105e+00,2.388160e-04,5.563200e-05,9.132800e-05,5.574400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-3,9.509545e+00,1.129120e-04,1.856000e-05,4.614400e-05,2.086400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-fast-4,7.889592e+00,1.360960e-04,1.958400e-05,5.985600e-05,2.776000e-05,1.017600e-05,
-1.000000,1024,1024,OS2-f8-fast-5,6.664237e+00,1.611200e-04,2.166400e-05,7.504000e-05,3.494400e-05,1.017600e-05,
-1.000000,1024,1024,OS2-f8-fast-6,5.614395e+00,1.912480e-04,2.742400e-05,9.022400e-05,4.243200e-05,1.019200e-05,
-1.000000,1024,1024,OS2-f8-fast-7,5.190569e+00,2.068640e-04,3.142400e-05,9.758400e-05,4.678400e-05,1.017600e-05,
-1.000000,1024,1024,OS2-f8-fast-8,4.570515e+00,2.349280e-04,3.624000e-05,1.123360e-04,5.379200e-05,1.008000e-05,
-1.000000,1024,1024,OS2-f8-fast-9,4.317904e+00,2.486720e-04,3.996800e-05,1.175040e-04,5.731200e-05,1.008000e-05,
-1.000000,1024,1024,OS2-f8-fast-10,3.836765e+00,2.798560e-04,4.393600e-05,1.345280e-04,6.472000e-05,1.216000e-05,
-1.000000,1024,1024,OS2-f8-fast-11,3.694812e+00,2.906080e-04,4.724800e-05,1.372480e-04,6.857600e-05,1.209600e-05,
-1.000000,1024,1024,OS2-f8-fast-12,3.372644e+00,3.183680e-04,5.033600e-05,1.529600e-04,7.681600e-05,1.212800e-05,
-1.000000,1024,1024,OS2-f8-accu-3,7.923125e+00,1.355200e-04,4.092800e-05,4.454400e-05,2.166400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-f8-accu-4,6.725683e+00,1.596480e-04,4.291200e-05,5.876800e-05,2.875200e-05,1.020800e-05,
-1.000000,1024,1024,OS2-f8-accu-5,5.789239e+00,1.854720e-04,4.448000e-05,7.526400e-05,3.580800e-05,1.017600e-05,
-1.000000,1024,1024,OS2-f8-accu-6,4.994334e+00,2.149920e-04,4.934400e-05,9.078400e-05,4.390400e-05,1.020800e-05,
-1.000000,1024,1024,OS2-f8-accu-7,4.720325e+00,2.274720e-04,5.169600e-05,9.720000e-05,4.665600e-05,1.008000e-05,
-1.000000,1024,1024,OS2-f8-accu-8,4.209828e+00,2.550560e-04,5.617600e-05,1.118400e-04,5.400000e-05,1.008000e-05,
-1.000000,1024,1024,OS2-f8-accu-9,4.021625e+00,2.669920e-04,5.825600e-05,1.170400e-04,5.731200e-05,1.020800e-05,
-1.000000,1024,1024,OS2-f8-accu-10,3.590053e+00,2.990880e-04,6.241600e-05,1.337280e-04,6.537600e-05,1.212800e-05,
-1.000000,1024,1024,OS2-f8-accu-11,3.463505e+00,3.100160e-04,6.542400e-05,1.372480e-04,6.905600e-05,1.212800e-05,
-1.000000,1024,1024,OS2-f8-accu-12,3.202064e+00,3.353280e-04,6.747200e-05,1.529120e-04,7.620800e-05,1.216000e-05,
-1.000000,1024,1024,BF16x9,1.616302e+01,6.643200e-05,,,,,
-1.000000,1024,1024,STRMM,1.618641e+01,6.633600e-05,,,,,
-1.000000,2048,2048,OS2-i8-fast-3,5.852092e+01,1.467840e-04,3.675200e-05,4.542400e-05,2.470400e-05,2.252800e-05,
-1.000000,2048,2048,OS2-i8-fast-4,4.897117e+01,1.754080e-04,3.948800e-05,6.188800e-05,3.350400e-05,2.252800e-05,
-1.000000,2048,2048,OS2-i8-fast-5,4.468339e+01,1.922400e-04,4.201600e-05,7.064000e-05,3.790400e-05,2.259200e-05,
-1.000000,2048,2048,OS2-i8-fast-6,3.858772e+01,2.226080e-04,4.422400e-05,8.849600e-05,4.726400e-05,2.256000e-05,
-1.000000,2048,2048,OS2-i8-fast-7,3.635120e+01,2.363040e-04,4.715200e-05,9.340800e-05,5.163200e-05,2.272000e-05,
