phi,m,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-3,9.831360e+00,1.092160e-04,2.147200e-05,3.984000e-05,1.984000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-4,8.262603e+00,1.299520e-04,2.201600e-05,5.265600e-05,2.619200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-5,8.085405e+00,1.328000e-04,2.315200e-05,5.241600e-05,2.764800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-6,6.997066e+00,1.534560e-04,2.433600e-05,6.436800e-05,3.377600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-7,6.719622e+00,1.597920e-04,2.579200e-05,6.587200e-05,3.699200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-8,5.860013e+00,1.832320e-04,2.904000e-05,7.833600e-05,4.350400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-9,5.735800e+00,1.872000e-04,2.980800e-05,7.825600e-05,4.558400e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-10,5.607827e+00,1.914720e-04,3.142400e-05,7.848000e-05,4.819200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-11,5.011864e+00,2.142400e-04,3.270400e-05,9.126400e-05,5.528000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-fast-12,4.914240e+00,2.184960e-04,3.422400e-05,9.145600e-05,5.672000e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-3,7.721651e+00,1.390560e-04,5.219200e-05,3.947200e-05,1.905600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-4,6.803413e+00,1.578240e-04,5.216000e-05,5.171200e-05,2.547200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-5,6.572213e+00,1.633760e-04,5.342400e-05,5.219200e-05,2.809600e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-6,5.813815e+00,1.846880e-04,5.366400e-05,6.508800e-05,3.460800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-7,5.650797e+00,1.900160e-04,5.593600e-05,6.550400e-05,3.708800e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-8,5.031404e+00,2.134080e-04,5.809600e-05,7.804800e-05,4.403200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-9,4.964408e+00,2.162880e-04,5.840000e-05,7.809600e-05,4.611200e-05,1.024000e-05,
-1.000000,1024,1024,OS2-i8-accu-10,4.865076e+00,2.207040e-04,6.022400e-05,7.808000e-05,4.804800e-05,1.024000e-05,
