phi,m,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-9,1.199765e+01,3.579840e-04,4.875200e-05,2.131680e-04,5.740800e-05,1.420800e-05,
-1.000000,1024,1024,OS2-i8-fast-10,1.075075e+01,3.995040e-04,5.257600e-05,2.434240e-04,6.448000e-05,1.420800e-05,
-1.000000,1024,1024,OS2-i8-fast-11,1.048003e+01,4.098240e-04,5.499200e-05,2.442240e-04,6.870400e-05,1.622400e-05,
-1.000000,1024,1024,OS2-i8-fast-12,9.350220e+00,4.593440e-04,6.566400e-05,2.753600e-04,7.524800e-05,1.625600e-05,
-1.000000,1024,1024,OS2-i8-fast-13,9.171950e+00,4.682720e-04,7.012800e-05,2.747040e-04,7.923200e-05,1.622400e-05,
-1.000000,1024,1024,OS2-i8-fast-14,8.955311e+00,4.796000e-04,7.552000e-05,2.764000e-04,8.206400e-05,1.638400e-05,
-1.000000,1024,1024,OS2-i8-fast-15,8.219844e+00,5.225120e-04,7.948800e-05,3.053440e-04,8.958400e-05,1.824000e-05,
-1.000000,1024,1024,OS2-i8-fast-16,7.745937e+00,5.544800e-04,1.057760e-04,3.076320e-04,9.214400e-05,1.824000e-05,
-1.000000,1024,1024,OS2-i8-fast-17,7.572227e+00,5.672000e-04,1.114560e-04,3.080640e-04,9.518400e-05,2.025600e-05,
-1.000000,1024,1024,OS2-i8-fast-18,7.018287e+00,6.119680e-04,1.172000e-04,3.380480e-04,1.029760e-04,2.038400e-05,
-1.000000,1024,1024,OS2-i8-fast-19,6.894451e+00,6.229600e-04,1.241600e-04,3.392000e-04,1.058400e-04,2.035200e-05,
-1.000000,1024,1024,OS2-i8-fast-20,6.877318e+00,6.245120e-04,1.208000e-04,3.398240e-04,1.096800e-04,2.035200e-05,
-1.000000,1024,1024,OS2-i8-accu-9,1.057499e+01,4.061440e-04,9.923200e-05,2.109440e-04,5.720000e-05,1.417600e-05,
-1.000000,1024,1024,OS2-i8-accu-10,9.574329e+00,4.485920e-04,1.021280e-04,2.417440e-04,6.419200e-05,1.420800e-05,
-1.000000,1024,1024,OS2-i8-accu-11,9.382247e+00,4.577760e-04,1.042400e-04,2.425600e-04,6.817600e-05,1.619200e-05,
-1.000000,1024,1024,OS2-i8-accu-12,8.594335e+00,4.997440e-04,1.083520e-04,2.727040e-04,7.406400e-05,1.624000e-05,
-1.000000,1024,1024,OS2-i8-accu-13,8.461056e+00,5.076160e-04,1.106080e-04,2.748000e-04,7.792000e-05,1.625600e-05,
