phi,m,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-9,1.152430e+01,3.726880e-04,6.460800e-05,2.127520e-04,5.790400e-05,1.411200e-05,
-1.000000,1024,1024,OS2-i8-fast-10,1.032563e+01,4.159520e-04,6.768000e-05,2.437440e-04,6.505600e-05,1.427200e-05,
-1.000000,1024,1024,OS2-i8-fast-11,1.008928e+01,4.256960e-04,6.992000e-05,2.437440e-04,7.014400e-05,1.635200e-05,
-1.000000,1024,1024,OS2-i8-fast-12,9.047065e+00,4.747360e-04,8.060800e-05,2.747360e-04,7.606400e-05,1.625600e-05,
-1.000000,1024,1024,OS2-i8-fast-13,8.904513e+00,4.823360e-04,8.364800e-05,2.748800e-04,7.987200e-05,1.632000e-05,
-1.000000,1024,1024,OS2-i8-fast-14,8.727054e+00,4.921440e-04,8.696000e-05,2.762080e-04,8.254400e-05,1.811200e-05,
-1.000000,1024,1024,OS2-i8-fast-15,8.049522e+00,5.335680e-04,8.964800e-05,3.060640e-04,9.049600e-05,1.836800e-05,
-1.000000,1024,1024,OS2-i8-fast-16,7.688256e+00,5.586400e-04,1.094080e-04,3.069920e-04,9.408000e-05,1.836800e-05,
-1.000000,1024,1024,OS2-i8-fast-17,7.541804e+00,5.694880e-04,1.145600e-04,3.084320e-04,9.646400e-05,2.016000e-05,
-1.000000,1024,1024,OS2-i8-fast-18,6.989961e+00,6.144480e-04,1.194400e-04,3.385760e-04,1.039680e-04,2.022400e-05,
-1.000000,1024,1024,OS2-i8-fast-19,6.848717e+00,6.271200e-04,1.263360e-04,3.390400e-04,1.092480e-04,2.044800e-05,
-1.000000,1024,1024,OS2-i8-fast-20,6.827465e+00,6.290720e-04,1.230560e-04,3.412960e-04,1.101440e-04,2.048000e-05,
-1.000000,1024,1024,OS2-i8-accu-9,1.027150e+01,4.181440e-04,1.102400e-04,2.114560e-04,5.835200e-05,1.427200e-05,
-1.000000,1024,1024,OS2-i8-accu-10,9.300976e+00,4.617760e-04,1.158080e-04,2.415680e-04,6.504000e-05,1.424000e-05,
-1.000000,1024,1024,OS2-i8-accu-11,9.058972e+00,4.741120e-04,1.195360e-04,2.431200e-04,6.912000e-05,1.632000e-05,
-1.000000,1024,1024,OS2-i8-accu-12,8.345836e+00,5.146240e-04,1.213280e-04,2.730080e-04,7.688000e-05,1.632000e-05,
-1.000000,1024,1024,OS2-i8-accu-13,8.210793e+00,5.230880e-04,1.243520e-04,2.753120e-04,7.968000e-05,1.632000e-05,
-1.000000,1024,1024,OS2-i8-accu-14,8.071062e+00,5.321440e-04,1.264800e-04,2.759200e-04,8.286400e-05,1.811200e-05,
-1.000000,1024,1024,OS2-i8-accu-15,7.432385e+00,5.778720e-04,1.325280e-04,3.056160e-04,9.081600e-05,1.840000e-05,
-1.000000,1024,1024,OS2-i8-accu-16,7.125596e+00,6.027520e-04,1.533280e-04,3.067520e-04,9.310400e-05,1.836800e-05,
-1.000000,1024,1024,OS2-i8-accu-17,7.000534e+00,6.135200e-04,1.579680e-04,3.074400e-04,9.737600e-05,1.872000e-05,
-1.000000,1024,1024,OS2-i8-accu-18,6.502010e+00,6.605600e-04,1.644960e-04,3.385440e-04,1.043200e-04,2.025600e-05,
-1.000000,1024,1024,OS2-i8-accu-19,6.402754e+00,6.708000e-04,1.694720e-04,3.403040e-04,1.076000e-04,2.040000e-05,
-1.000000,1024,1024,OS2-i8-accu-20,6.293767e+00,6.824160e-04,1.756640e-04,3.411680e-04,1.112640e-04,2.044800e-05,
-1.000000,1024,1024,OS2-f8-fast-9,7.673970e+00,5.596800e-04,9.176000e-05,3.393120e-04,9.030400e-05,1.430400e-05,
-1.000000,1024,1024,OS2-f8-fast-10,7.265420e+00,5.911520e-04,9.822400e-05,3.559520e-04,9.788800e-05,1.433600e-05,
-1.000000,1024,1024,OS2-f8-fast-11,6.314940e+00,6.801280e-04,1.351040e-04,3.934880e-04,1.086880e-04,1.635200e-05,
-1.000000,1024,1024,OS2-f8-fast-12,6.020217e+00,7.134240e-04,1.468480e-04,4.068160e-04,1.160000e-04,1.660800e-05,
-1.000000,1024,1024,OS2-f8-fast-13,5.339449e+00,8.043840e-04,1.863360e-04,4.454080e-04,1.269920e-04,1.827200e-05,
-1.000000,1024,1024,OS2-f8-fast-14,5.117150e+00,8.393280e-04,1.986720e-04,4.592320e-04,1.338240e-04,1.840000e-05,
-1.000000,1024,1024,OS2-f8-fast-15,4.761689e+00,9.019840e-04,2.126720e-04,4.973920e-04,1.437920e-04,1.843200e-05,
-1.000000,1024,1024,OS2-f8-fast-16,4.567559e+00,9.403200e-04,2.251040e-04,5.109440e-04,1.531680e-04,2.046400e-05,
-1.000000,1024,1024,OS2-f8-fast-17,4.274654e+00,1.004752e-03,2.376160e-04,5.498400e-04,1.639840e-04,2.048000e-05,
-1.000000,1024,1024,OS2-f8-fast-18,4.079380e+00,1.052848e-03,2.638400e-04,5.631200e-04,1.699520e-04,2.252800e-05,
-1.000000,1024,1024,OS2-f8-fast-19,3.742043e+00,1.147760e-03,3.133120e-04,5.910880e-04,1.875200e-04,2.249600e-05,
-1.000000,1024,1024,OS2-f8-fast-20,3.465785e+00,1.239248e-03,3.492160e-04,6.294880e-04,2.012320e-04,2.457600e-05,
-1.000000,1024,1024,OS2-f8-accu-9,7.266599e+00,5.910560e-04,1.212160e-04,3.402240e-04,9.097600e-05,1.433600e-05,
-1.000000,1024,1024,OS2-f8-accu-10,6.882960e+00,6.240000e-04,1.302560e-04,3.563360e-04,9.784000e-05,1.433600e-05,
-1.000000,1024,1024,OS2-f8-accu-11,6.272149e+00,6.847680e-04,1.392000e-04,3.934720e-04,1.086880e-04,1.636800e-05,
-1.000000,1024,1024,OS2-f8-accu-12,5.988387e+00,7.172160e-04,1.478080e-04,4.074240e-04,1.163840e-04,1.670400e-05,
-1.000000,1024,1024,OS2-f8-accu-13,5.378713e+00,7.985120e-04,1.800640e-04,4.454560e-04,1.258880e-04,1.840000e-05,
-1.000000,1024,1024,OS2-f8-accu-14,5.173363e+00,8.302080e-04,1.893120e-04,4.584640e-04,1.340800e-04,1.843200e-05,
-1.000000,1024,1024,OS2-f8-accu-15,4.813345e+00,8.923040e-04,2.014880e-04,4.973440e-04,1.436800e-04,1.843200e-05,
-1.000000,1024,1024,OS2-f8-accu-16,4.623574e+00,9.289280e-04,2.135200e-04,5.113760e-04,1.518240e-04,2.044800e-05,
-1.000000,1024,1024,OS2-f8-accu-17,4.335268e+00,9.907040e-04,2.246880e-04,5.498880e-04,1.624160e-04,2.048000e-05,
-1.000000,1024,1024,OS2-f8-accu-18,4.161790e+00,1.032000e-03,2.384000e-04,5.644480e-04,1.738720e-04,2.249600e-05,
-1.000000,1024,1024,OS2-f8-accu-19,3.993446e+00,1.075504e-03,2.424320e-04,5.921280e-04,1.837280e-04,2.252800e-05,
-1.000000,1024,1024,OS2-f8-accu-20,3.716913e+00,1.155520e-03,2.730080e-04,6.299680e-04,1.936480e-04,2.272000e-05,
-1.000000,1024,1024,OS1-6,2.786624e+01,1.541280e-04,,,,,
-1.000000,1024,1024,OS1-7,2.786624e+01,1.541280e-04,,,,,
-1.000000,1024,1024,OS1-8,2.789230e+01,1.539840e-04,,,,,
-1.000000,1024,1024,OS1-9,2.803796e+01,1.531840e-04,,,,,
-1.000000,1024,1024,ZTRMM,2.800286e+01,1.533760e-04,,,,,
-1.000000,2048,2048,OS2-i8-fast-9,5.311347e+01,6.469120e-04,1.674880e-04,3.117280e-04,1.063520e-04,3.686400e-05,
-1.000000,2048,2048,OS2-i8-fast-10,4.840273e+01,7.098720e-04,1.762560e-04,3.503360e-04,1.167680e-04,4.076800e-05,
-1.000000,2048,2048,OS2-i8-fast-11,4.551104e+01,7.549760e-04,1.852160e-04,3.697600e-04,1.289280e-04,4.489600e-05,
-1.000000,2048,2048,OS2-i8-fast-12,4.094032e+01,8.392640e-04,2.193920e-04,4.061440e-04,1.412640e-04,4.489600e-05,
-1.000000,2048,2048,OS2-i8-fast-13,3.890298e+01,8.832160e-04,2.291200e-04,4.259200e-04,1.525280e-04,4.692800e-05,
-1.000000,2048,2048,OS2-i8-fast-14,3.707608e+01,9.267360e-04,2.399520e-04,4.424000e-04,1.658240e-04,4.915200e-05,
-1.000000,2048,2048,OS2-i8-fast-15,3.460892e+01,9.928000e-04,2.505600e-04,4.826560e-04,1.785760e-04,5.120000e-05,
-1.000000,2048,2048,OS2-i8-fast-16,3.182259e+01,1.079728e-03,3.062400e-04,4.988320e-04,1.901600e-04,5.324800e-05,
-1.000000,2048,2048,OS2-i8-fast-17,3.046508e+01,1.127840e-03,3.213120e-04,5.161440e-04,2.020480e-04,5.728000e-05,
-1.000000,2048,2048,OS2-i8-fast-18,2.873811e+01,1.195616e-03,3.343680e-04,5.564640e-04,2.138880e-04,5.748800e-05,
-1.000000,2048,2048,OS2-i8-fast-19,2.756400e+01,1.246544e-03,3.537920e-04,5.714080e-04,2.268160e-04,6.124800e-05,
-1.000000,2048,2048,OS2-i8-fast-20,2.723781e+01,1.261472e-03,3.362080e-04,5.860480e-04,2.417440e-04,6.348800e-05,
-1.000000,2048,2048,OS2-i8-accu-9,4.780791e+01,7.187040e-04,2.415040e-04,3.090080e-04,1.060960e-04,3.686400e-05,
-1.000000,2048,2048,OS2-i8-accu-10,4.396437e+01,7.815360e-04,2.500160e-04,3.485440e-04,1.160160e-04,4.076800e-05,
-1.000000,2048,2048,OS2-i8-accu-11,4.150449e+01,8.278560e-04,2.603040e-04,3.680000e-04,1.287040e-04,4.502400e-05,
-1.000000,2048,2048,OS2-i8-accu-12,3.865718e+01,8.888320e-04,2.700800e-04,4.059680e-04,1.401120e-04,4.489600e-05,
-1.000000,2048,2048,OS2-i8-accu-13,3.689010e+01,9.314080e-04,2.799840e-04,4.234240e-04,1.526720e-04,4.694400e-05,
-1.000000,2048,2048,OS2-i8-accu-14,3.525030e+01,9.747360e-04,2.885120e-04,4.412800e-04,1.663200e-04,4.897600e-05,
-1.000000,2048,2048,OS2-i8-accu-15,3.299304e+01,1.041424e-03,3.007680e-04,4.812320e-04,1.784800e-04,5.120000e-05,
-1.000000,2048,2048,OS2-i8-accu-16,3.030002e+01,1.133984e-03,3.626880e-04,4.945280e-04,1.916320e-04,5.324800e-05,
-1.000000,2048,2048,OS2-i8-accu-17,2.907545e+01,1.181744e-03,3.775840e-04,5.132320e-04,2.018880e-04,5.721600e-05,
-1.000000,2048,2048,OS2-i8-accu-18,2.746143e+01,1.251200e-03,3.933280e-04,5.524320e-04,2.136640e-04,5.758400e-05,
-1.000000,2048,2048,OS2-i8-accu-19,2.641561e+01,1.300736e-03,4.076320e-04,5.708160e-04,2.267840e-04,6.124800e-05,
-1.000000,2048,2048,OS2-i8-accu-20,2.549911e+01,1.347488e-03,4.212640e-04,5.874880e-04,2.399840e-04,6.348800e-05,
-1.000000,2048,2048,OS2-f8-fast-9,2.366608e+01,1.451856e-03,2.702080e-04,8.408320e-04,2.800480e-04,3.683200e-05,
-1.000000,2048,2048,OS2-f8-fast-10,2.191220e+01,1.568064e-03,2.981440e-04,8.911040e-04,3.145600e-04,3.891200e-05,
-1.000000,2048,2048,OS2-f8-fast-11,1.882684e+01,1.825040e-03,4.240320e-04,9.874880e-04,3.438720e-04,4.300800e-05,
-1.000000,2048,2048,OS2-f8-fast-12,1.763847e+01,1.948000e-03,4.653440e-04,1.036544e-03,3.733600e-04,4.505600e-05,
-1.000000,2048,2048,OS2-f8-fast-13,1.563671e+01,2.197376e-03,5.881920e-04,1.130576e-03,4.033760e-04,4.710400e-05,
-1.000000,2048,2048,OS2-f8-fast-14,1.479748e+01,2.322000e-03,6.246400e-04,1.182384e-03,4.366400e-04,4.915200e-05,
-1.000000,2048,2048,OS2-f8-fast-15,1.380220e+01,2.489440e-03,6.696000e-04,1.275312e-03,4.644480e-04,5.120000e-05,
-1.000000,2048,2048,OS2-f8-fast-16,1.316392e+01,2.610144e-03,7.072160e-04,1.323520e-03,4.958880e-04,5.529600e-05,
-1.000000,2048,2048,OS2-f8-fast-17,1.237586e+01,2.776352e-03,7.380000e-04,1.420112e-03,5.263360e-04,5.734400e-05,
-1.000000,2048,2048,OS2-f8-fast-18,1.171351e+01,2.933344e-03,8.245920e-04,1.463696e-03,5.505120e-04,5.939200e-05,
-1.000000,2048,2048,OS2-f8-fast-19,1.056089e+01,3.253488e-03,1.005472e-03,1.561088e-03,5.904640e-04,6.164800e-05,
-1.000000,2048,2048,OS2-f8-fast-20,9.691379e+00,3.545392e-03,1.176928e-03,1.647040e-03,6.186880e-04,6.553600e-05,
-1.000000,2048,2048,OS2-f8-accu-9,2.250465e+01,1.526784e-03,3.454240e-04,8.390240e-04,2.805760e-04,3.510400e-05,
-1.000000,2048,2048,OS2-f8-accu-10,2.093186e+01,1.641504e-03,3.748320e-04,8.904800e-04,3.114400e-04,3.891200e-05,
-1.000000,2048,2048,OS2-f8-accu-11,1.906011e+01,1.802704e-03,4.037920e-04,9.856640e-04,3.443040e-04,4.300800e-05,
-1.000000,2048,2048,OS2-f8-accu-12,1.792677e+01,1.916672e-03,4.343360e-04,1.035472e-03,3.734240e-04,4.505600e-05,
-1.000000,2048,2048,OS2-f8-accu-13,1.585924e+01,2.166544e-03,5.562720e-04,1.128864e-03,4.062080e-04,4.710400e-05,
-1.000000,2048,2048,OS2-f8-accu-14,1.503103e+01,2.285920e-03,5.905440e-04,1.180064e-03,4.352800e-04,4.915200e-05,
