phi,m,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-9,1.196077e+01,3.590880e-04,4.897600e-05,2.132160e-04,5.849600e-05,1.419200e-05,
-1.000000,1024,1024,OS2-i8-fast-10,1.073484e+01,4.000960e-04,5.187200e-05,2.431040e-04,6.636800e-05,1.427200e-05,
-1.000000,1024,1024,OS2-i8-fast-11,1.046002e+01,4.106080e-04,5.518400e-05,2.450080e-04,6.905600e-05,1.635200e-05,
-1.000000,1024,1024,OS2-i8-fast-12,9.324885e+00,4.605920e-04,6.689600e-05,2.749920e-04,7.697600e-05,1.632000e-05,
-1.000000,1024,1024,OS2-i8-fast-13,9.152249e+00,4.692800e-04,6.979200e-05,2.760320e-04,7.964800e-05,1.632000e-05,
-1.000000,1024,1024,OS2-i8-fast-14,8.935339e+00,4.806720e-04,7.491200e-05,2.768000e-04,8.352000e-05,1.657600e-05,
-1.000000,1024,1024,OS2-i8-fast-15,8.174040e+00,5.254400e-04,7.937600e-05,3.066880e-04,9.177600e-05,1.840000e-05,
-1.000000,1024,1024,OS2-i8-fast-16,7.705028e+00,5.574240e-04,1.062560e-04,3.081120e-04,9.435200e-05,1.840000e-05,
-1.000000,1024,1024,OS2-i8-fast-17,7.583780e+00,5.663360e-04,1.110560e-04,3.079840e-04,9.745600e-05,1.852800e-05,
-1.000000,1024,1024,OS2-i8-fast-18,7.002725e+00,6.133280e-04,1.175680e-04,3.374080e-04,1.055040e-04,2.043200e-05,
-1.000000,1024,1024,OS2-i8-fast-19,6.859042e+00,6.261760e-04,1.248800e-04,3.397760e-04,1.081600e-04,2.025600e-05,
-1.000000,1024,1024,OS2-i8-fast-20,6.838945e+00,6.280160e-04,1.197120e-04,3.404160e-04,1.134560e-04,2.044800e-05,
-1.000000,1024,1024,OS2-i8-accu-9,1.054259e+01,4.073920e-04,9.974400e-05,2.109920e-04,5.824000e-05,1.427200e-05,
-1.000000,1024,1024,OS2-i8-accu-10,9.563754e+00,4.490880e-04,1.028800e-04,2.408480e-04,6.590400e-05,1.427200e-05,
-1.000000,1024,1024,OS2-i8-accu-11,9.325209e+00,4.605760e-04,1.046400e-04,2.434400e-04,6.990400e-05,1.636800e-05,
-1.000000,1024,1024,OS2-i8-accu-12,8.567727e+00,5.012960e-04,1.085760e-04,2.729280e-04,7.668800e-05,1.635200e-05,
-1.000000,1024,1024,OS2-i8-accu-13,8.424412e+00,5.098240e-04,1.109280e-04,2.747200e-04,7.971200e-05,1.632000e-05,
-1.000000,1024,1024,OS2-i8-accu-14,8.247119e+00,5.207840e-04,1.153760e-04,2.759200e-04,8.310400e-05,1.656000e-05,
-1.000000,1024,1024,OS2-i8-accu-15,7.643379e+00,5.619200e-04,1.166880e-04,3.059040e-04,9.110400e-05,1.840000e-05,
-1.000000,1024,1024,OS2-i8-accu-16,7.369337e+00,5.828160e-04,1.324000e-04,3.068640e-04,9.513600e-05,1.840000e-05,
-1.000000,1024,1024,OS2-i8-accu-17,7.230390e+00,5.940160e-04,1.366400e-04,3.082560e-04,9.827200e-05,1.856000e-05,
-1.000000,1024,1024,OS2-i8-accu-18,6.740376e+00,6.372000e-04,1.402880e-04,3.383040e-04,1.056320e-04,2.022400e-05,
-1.000000,1024,1024,OS2-i8-accu-19,6.654160e+00,6.454560e-04,1.435040e-04,3.400640e-04,1.079200e-04,2.038400e-05,
-1.000000,1024,1024,OS2-i8-accu-20,6.557122e+00,6.550080e-04,1.465280e-04,3.428640e-04,1.104160e-04,2.044800e-05,
-1.000000,1024,1024,OS2-f8-fast-9,7.630993e+00,5.628320e-04,9.396800e-05,3.381920e-04,9.166400e-05,1.433600e-05,
-1.000000,1024,1024,OS2-f8-fast-10,7.189914e+00,5.973600e-04,1.050240e-04,3.536160e-04,9.977600e-05,1.430400e-05,
-1.000000,1024,1024,OS2-f8-fast-11,6.231093e+00,6.892800e-04,1.435680e-04,3.924320e-04,1.104160e-04,1.638400e-05,
-1.000000,1024,1024,OS2-f8-fast-12,5.910722e+00,7.266400e-04,1.592320e-04,4.061760e-04,1.181440e-04,1.635200e-05,
-1.000000,1024,1024,OS2-f8-fast-13,4.294074e+00,1.000208e-03,3.838880e-04,4.410080e-04,1.272160e-04,1.840000e-05,
-1.000000,1024,1024,OS2-f8-fast-14,4.055958e+00,1.058928e-03,4.179680e-04,4.557440e-04,1.373600e-04,1.843200e-05,
-1.000000,1024,1024,OS2-f8-fast-15,3.746901e+00,1.146272e-03,4.553920e-04,4.935040e-04,1.478080e-04,1.840000e-05,
-1.000000,1024,1024,OS2-f8-fast-16,3.556897e+00,1.207504e-03,4.916160e-04,5.065920e-04,1.577600e-04,2.048000e-05,
-1.000000,1024,1024,OS2-f8-fast-17,3.325143e+00,1.291664e-03,5.266880e-04,5.448640e-04,1.676000e-04,2.044800e-05,
-1.000000,1024,1024,OS2-f8-fast-18,3.154390e+00,1.361584e-03,5.745280e-04,5.591040e-04,1.730880e-04,2.252800e-05,
-1.000000,1024,1024,OS2-f8-fast-19,2.906593e+00,1.477664e-03,6.454080e-04,5.875520e-04,1.860320e-04,2.249600e-05,
-1.000000,1024,1024,OS2-f8-fast-20,2.714183e+00,1.582416e-03,7.007200e-04,6.236320e-04,1.953280e-04,2.454400e-05,
-1.000000,1024,1024,OS2-f8-accu-9,7.315115e+00,5.871360e-04,1.177600e-04,3.384160e-04,9.203200e-05,1.432000e-05,
-1.000000,1024,1024,OS2-f8-accu-10,6.929334e+00,6.198240e-04,1.264800e-04,3.539040e-04,9.872000e-05,1.430400e-05,
-1.000000,1024,1024,OS2-f8-accu-11,6.303669e+00,6.813440e-04,1.362240e-04,3.924480e-04,1.100800e-04,1.638400e-05,
-1.000000,1024,1024,OS2-f8-accu-12,6.025217e+00,7.128320e-04,1.460320e-04,4.058240e-04,1.173920e-04,1.635200e-05,
-1.000000,1024,1024,OS2-f8-accu-13,5.382380e+00,7.979680e-04,1.792320e-04,4.444480e-04,1.278240e-04,1.843200e-05,
-1.000000,1024,1024,OS2-f8-accu-14,5.157955e+00,8.326880e-04,1.896320e-04,4.573920e-04,1.366400e-04,1.840000e-05,
-1.000000,1024,1024,OS2-f8-accu-15,4.814036e+00,8.921760e-04,2.009600e-04,4.948000e-04,1.465600e-04,1.840000e-05,
-1.000000,1024,1024,OS2-f8-accu-16,4.628836e+00,9.278720e-04,2.126240e-04,5.090560e-04,1.544000e-04,2.048000e-05,
-1.000000,1024,1024,OS2-f8-accu-17,4.348330e+00,9.877280e-04,2.232960e-04,5.469760e-04,1.637920e-04,2.051200e-05,
-1.000000,1024,1024,OS2-f8-accu-18,4.178894e+00,1.027776e-03,2.369600e-04,5.613920e-04,1.734880e-04,2.252800e-05,
-1.000000,1024,1024,OS2-f8-accu-19,3.998860e+00,1.074048e-03,2.420000e-04,5.884800e-04,1.861600e-04,2.249600e-05,
-1.000000,1024,1024,OS2-f8-accu-20,3.709568e+00,1.157808e-03,2.743680e-04,6.262400e-04,1.983520e-04,2.278400e-05,
-1.000000,1024,1024,OS1-6,2.874657e+01,1.494080e-04,,,,,
-1.000000,1024,1024,OS1-7,2.892623e+01,1.484800e-04,,,,,
-1.000000,1024,1024,OS1-8,2.891066e+01,1.485600e-04,,,,,
-1.000000,1024,1024,OS1-9,2.889510e+01,1.486400e-04,,,,,
-1.000000,1024,1024,ZTRMM,2.894807e+01,1.483680e-04,,,,,
-1.000000,2048,2048,OS2-i8-fast-9,5.577880e+01,6.160000e-04,1.352320e-04,3.106400e-04,1.075040e-04,3.702400e-05,
-1.000000,2048,2048,OS2-i8-fast-10,5.037967e+01,6.820160e-04,1.451680e-04,3.509760e-04,1.191680e-04,4.081600e-05,
-1.000000,2048,2048,OS2-i8-fast-11,4.732538e+01,7.260320e-04,1.553760e-04,3.688800e-04,1.307360e-04,4.499200e-05,
-1.000000,2048,2048,OS2-i8-fast-12,4.216457e+01,8.148960e-04,1.910720e-04,4.079360e-04,1.431040e-04,4.492800e-05,
-1.000000,2048,2048,OS2-i8-fast-13,4.007471e+01,8.573920e-04,2.015200e-04,4.271680e-04,1.532800e-04,4.707200e-05,
-1.000000,2048,2048,OS2-i8-fast-14,3.801596e+01,9.038240e-04,2.136480e-04,4.436320e-04,1.682400e-04,4.912000e-05,
-1.000000,2048,2048,OS2-i8-fast-15,3.547566e+01,9.685440e-04,2.256000e-04,4.825440e-04,1.786080e-04,5.113600e-05,
-1.000000,2048,2048,OS2-i8-fast-16,3.167427e+01,1.084784e-03,3.082560e-04,5.007040e-04,1.910720e-04,5.353600e-05,
-1.000000,2048,2048,OS2-i8-fast-17,3.029959e+01,1.134000e-03,3.245600e-04,5.163840e-04,2.035840e-04,5.731200e-05,
-1.000000,2048,2048,OS2-i8-fast-18,2.863961e+01,1.199728e-03,3.404320e-04,5.549120e-04,2.134080e-04,5.832000e-05,
-1.000000,2048,2048,OS2-i8-fast-19,2.735787e+01,1.255936e-03,3.606720e-04,5.713120e-04,2.285920e-04,6.118400e-05,
-1.000000,2048,2048,OS2-i8-fast-20,2.698047e+01,1.273504e-03,3.444960e-04,5.848160e-04,2.460800e-04,6.328000e-05,
-1.000000,2048,2048,OS2-i8-accu-9,4.927455e+01,6.973120e-04,2.179520e-04,3.108960e-04,1.059680e-04,3.705600e-05,
-1.000000,2048,2048,OS2-i8-accu-10,4.506786e+01,7.624000e-04,2.282400e-04,3.492800e-04,1.180480e-04,4.080000e-05,
-1.000000,2048,2048,OS2-i8-accu-11,4.282719e+01,8.022880e-04,2.354400e-04,3.658240e-04,1.285440e-04,4.486400e-05,
-1.000000,2048,2048,OS2-i8-accu-12,3.972408e+01,8.649600e-04,2.443360e-04,4.054240e-04,1.426560e-04,4.489600e-05,
-1.000000,2048,2048,OS2-i8-accu-13,3.784912e+01,9.078080e-04,2.531680e-04,4.234560e-04,1.549920e-04,4.707200e-05,
-1.000000,2048,2048,OS2-i8-accu-14,3.612677e+01,9.510880e-04,2.613600e-04,4.437280e-04,1.673120e-04,4.912000e-05,
-1.000000,2048,2048,OS2-i8-accu-15,3.386237e+01,1.014688e-03,2.709280e-04,4.825120e-04,1.789440e-04,5.112000e-05,
-1.000000,2048,2048,OS2-i8-accu-16,3.111799e+01,1.104176e-03,3.285760e-04,4.976320e-04,1.926080e-04,5.334400e-05,
-1.000000,2048,2048,OS2-i8-accu-17,2.983818e+01,1.151536e-03,3.437440e-04,5.154080e-04,2.031840e-04,5.731200e-05,
-1.000000,2048,2048,OS2-i8-accu-18,2.820922e+01,1.218032e-03,3.571360e-04,5.550880e-04,2.141600e-04,5.747200e-05,
-1.000000,2048,2048,OS2-i8-accu-19,2.719401e+01,1.263504e-03,3.686400e-04,5.704480e-04,2.291200e-04,6.144000e-05,
-1.000000,2048,2048,OS2-i8-accu-20,2.622593e+01,1.310144e-03,3.819360e-04,5.864480e-04,2.430720e-04,6.320000e-05,
-1.000000,2048,2048,OS2-f8-fast-9,2.362520e+01,1.454368e-03,2.717600e-04,8.402880e-04,2.820640e-04,3.686400e-05,
-1.000000,2048,2048,OS2-f8-fast-10,2.181139e+01,1.575312e-03,3.087040e-04,8.910240e-04,3.104800e-04,3.891200e-05,
-1.000000,2048,2048,OS2-f8-fast-11,1.864022e+01,1.843312e-03,4.447200e-04,9.856320e-04,3.433600e-04,4.300800e-05,
-1.000000,2048,2048,OS2-f8-fast-12,1.735677e+01,1.979616e-03,4.961600e-04,1.035744e-03,3.746560e-04,4.505600e-05,
-1.000000,2048,2048,OS2-f8-fast-13,1.326156e+01,2.590928e-03,9.843680e-04,1.130080e-03,4.002080e-04,4.710400e-05,
-1.000000,2048,2048,OS2-f8-fast-14,1.237037e+01,2.777584e-03,1.083712e-03,1.180272e-03,4.336480e-04,4.915200e-05,
-1.000000,2048,2048,OS2-f8-fast-15,1.142759e+01,3.006736e-03,1.185232e-03,1.273488e-03,4.659200e-04,5.120000e-05,
