phi,m,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-9,1.193153e+01,3.599680e-04,5.100800e-05,2.134560e-04,5.744000e-05,1.420800e-05,
-1.000000,1024,1024,OS2-i8-fast-10,1.071727e+01,4.007520e-04,5.414400e-05,2.431360e-04,6.483200e-05,1.420800e-05,
-1.000000,1024,1024,OS2-i8-fast-11,1.042954e+01,4.118080e-04,5.700800e-05,2.446400e-04,6.860800e-05,1.619200e-05,
-1.000000,1024,1024,OS2-i8-fast-12,9.316794e+00,4.609920e-04,6.809600e-05,2.744960e-04,7.529600e-05,1.625600e-05,
-1.000000,1024,1024,OS2-i8-fast-13,9.114028e+00,4.712480e-04,7.201600e-05,2.763200e-04,7.932800e-05,1.625600e-05,
-1.000000,1024,1024,OS2-i8-fast-14,8.959795e+00,4.793600e-04,7.697600e-05,2.757120e-04,8.201600e-05,1.644800e-05,
-1.000000,1024,1024,OS2-i8-fast-15,8.175284e+00,5.253600e-04,8.112000e-05,3.060480e-04,8.987200e-05,1.824000e-05,
-1.000000,1024,1024,OS2-i8-fast-16,7.753768e+00,5.539200e-04,1.051200e-04,3.070880e-04,9.257600e-05,1.820800e-05,
-1.000000,1024,1024,OS2-i8-fast-17,7.571373e+00,5.672640e-04,1.120640e-04,3.075840e-04,9.579200e-05,2.016000e-05,
-1.000000,1024,1024,OS2-i8-fast-18,7.018838e+00,6.119200e-04,1.181600e-04,3.376640e-04,1.038080e-04,2.028800e-05,
-1.000000,1024,1024,OS2-i8-fast-19,6.867816e+00,6.253760e-04,1.252800e-04,3.396800e-04,1.065920e-04,2.028800e-05,
-1.000000,1024,1024,OS2-i8-fast-20,6.841211e+00,6.278080e-04,1.231200e-04,3.397760e-04,1.099520e-04,2.041600e-05,
-1.000000,1024,1024,OS2-i8-accu-9,1.051946e+01,4.082880e-04,1.001280e-04,2.115840e-04,5.777600e-05,1.420800e-05,
-1.000000,1024,1024,OS2-i8-accu-10,9.561710e+00,4.491840e-04,1.027520e-04,2.418400e-04,6.422400e-05,1.417600e-05,
-1.000000,1024,1024,OS2-i8-accu-11,9.308394e+00,4.614080e-04,1.069120e-04,2.432800e-04,6.825600e-05,1.622400e-05,
-1.000000,1024,1024,OS2-i8-accu-12,8.603425e+00,4.992160e-04,1.075200e-04,2.726880e-04,7.492800e-05,1.622400e-05,
-1.000000,1024,1024,OS2-i8-accu-13,8.436591e+00,5.090880e-04,1.114880e-04,2.753920e-04,7.745600e-05,1.625600e-05,
-1.000000,1024,1024,OS2-i8-accu-14,8.258790e+00,5.200480e-04,1.160160e-04,2.761120e-04,8.153600e-05,1.648000e-05,
-1.000000,1024,1024,OS2-i8-accu-15,7.622326e+00,5.634720e-04,1.193120e-04,3.065600e-04,8.953600e-05,1.820800e-05,
-1.000000,1024,1024,OS2-i8-accu-16,7.387590e+00,5.813760e-04,1.319520e-04,3.069280e-04,9.267200e-05,1.824000e-05,
-1.000000,1024,1024,OS2-i8-accu-17,7.249330e+00,5.924640e-04,1.361920e-04,3.088800e-04,9.604800e-05,2.019200e-05,
-1.000000,1024,1024,OS2-i8-accu-18,6.750716e+00,6.362240e-04,1.400800e-04,3.383200e-04,1.039520e-04,2.028800e-05,
