phi,m,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-9,1.193259e+01,3.599360e-04,5.091200e-05,2.133280e-04,5.699200e-05,1.417600e-05,
-1.000000,1024,1024,OS2-i8-fast-10,1.067720e+01,4.022560e-04,5.414400e-05,2.438080e-04,6.464000e-05,1.417600e-05,
-1.000000,1024,1024,OS2-i8-fast-11,1.043521e+01,4.115840e-04,5.705600e-05,2.437280e-04,6.892800e-05,1.619200e-05,
-1.000000,1024,1024,OS2-i8-fast-12,9.296144e+00,4.620160e-04,6.848000e-05,2.749440e-04,7.547200e-05,1.622400e-05,
-1.000000,1024,1024,OS2-i8-fast-13,9.125491e+00,4.706560e-04,7.251200e-05,2.744160e-04,7.897600e-05,1.625600e-05,
-1.000000,1024,1024,OS2-i8-fast-14,8.930286e+00,4.809440e-04,7.728000e-05,2.760960e-04,8.246400e-05,1.644800e-05,
-1.000000,1024,1024,OS2-i8-fast-15,8.198505e+00,5.238720e-04,8.147200e-05,3.052320e-04,8.944000e-05,1.824000e-05,
-1.000000,1024,1024,OS2-i8-fast-16,7.764533e+00,5.531520e-04,1.044960e-04,3.074080e-04,9.166400e-05,1.824000e-05,
-1.000000,1024,1024,OS2-i8-fast-17,7.587423e+00,5.660640e-04,1.109120e-04,3.075680e-04,9.576000e-05,1.862400e-05,
-1.000000,1024,1024,OS2-i8-fast-18,7.022694e+00,6.115840e-04,1.173280e-04,3.383360e-04,1.028640e-04,2.032000e-05,
-1.000000,1024,1024,OS2-i8-fast-19,6.874851e+00,6.247360e-04,1.250720e-04,3.394400e-04,1.064000e-04,2.030400e-05,
-1.000000,1024,1024,OS2-i8-fast-20,6.815677e+00,6.301600e-04,1.234720e-04,3.431840e-04,1.082560e-04,2.048000e-05,
-1.000000,1024,1024,OS2-i8-accu-9,1.053638e+01,4.076320e-04,9.992000e-05,2.119520e-04,5.726400e-05,1.417600e-05,
