phi,m,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,1024,OS2-i8-fast-9,1.134602e+01,3.785440e-04,7.000000e-05,2.132960e-04,5.675200e-05,1.420800e-05,
-1.000000,1024,1024,OS2-i8-fast-10,1.019737e+01,4.211840e-04,7.377600e-05,2.434400e-04,6.432000e-05,1.417600e-05,
-1.000000,1024,1024,OS2-i8-fast-11,9.935062e+00,4.323040e-04,7.752000e-05,2.443680e-04,6.814400e-05,1.619200e-05,
-1.000000,1024,1024,OS2-i8-fast-12,9.041884e+00,4.750080e-04,8.233600e-05,2.752480e-04,7.436800e-05,1.622400e-05,
-1.000000,1024,1024,OS2-i8-fast-13,8.843204e+00,4.856800e-04,8.779200e-05,2.765440e-04,7.742400e-05,1.625600e-05,
-1.000000,1024,1024,OS2-i8-fast-14,8.662282e+00,4.958240e-04,9.273600e-05,2.759520e-04,8.116800e-05,1.657600e-05,
-1.000000,1024,1024,OS2-i8-fast-15,7.953407e+00,5.400160e-04,9.764800e-05,3.048640e-04,8.891200e-05,1.827200e-05,
-1.000000,1024,1024,OS2-i8-fast-16,7.537358e+00,5.698240e-04,1.218560e-04,3.066240e-04,9.177600e-05,1.824000e-05,
-1.000000,1024,1024,OS2-i8-fast-17,7.378655e+00,5.820800e-04,1.282240e-04,3.081120e-04,9.524800e-05,1.851200e-05,
-1.000000,1024,1024,OS2-i8-fast-18,6.826076e+00,6.292000e-04,1.356640e-04,3.379520e-04,1.021760e-04,2.035200e-05,
-1.000000,1024,1024,OS2-i8-fast-19,6.650533e+00,6.458080e-04,1.431520e-04,3.415040e-04,1.068000e-04,2.032000e-05,
-1.000000,1024,1024,OS2-i8-fast-20,6.540347e+00,6.566880e-04,1.515040e-04,3.406080e-04,1.086560e-04,2.032000e-05,
-1.000000,1024,1024,OS2-i8-accu-9,1.031690e+01,4.163040e-04,1.099520e-04,2.115680e-04,5.667200e-05,1.417600e-05,
-1.000000,1024,1024,OS2-i8-accu-10,9.403281e+00,4.567520e-04,1.120960e-04,2.414720e-04,6.345600e-05,1.417600e-05,
-1.000000,1024,1024,OS2-i8-accu-11,9.144766e+00,4.696640e-04,1.172640e-04,2.422240e-04,6.713600e-05,1.622400e-05,
-1.000000,1024,1024,OS2-i8-accu-12,8.357269e+00,5.139200e-04,1.219200e-04,2.732960e-04,7.462400e-05,1.624000e-05,
-1.000000,1024,1024,OS2-i8-accu-13,8.205773e+00,5.234080e-04,1.250880e-04,2.754720e-04,7.766400e-05,1.622400e-05,
-1.000000,1024,1024,OS2-i8-accu-14,8.061125e+00,5.328000e-04,1.288320e-04,2.746880e-04,8.176000e-05,1.814400e-05,
-1.000000,1024,1024,OS2-i8-accu-15,7.478769e+00,5.742880e-04,1.314400e-04,3.051200e-04,8.889600e-05,1.822400e-05,
-1.000000,1024,1024,OS2-i8-accu-16,7.256777e+00,5.918560e-04,1.432160e-04,3.064960e-04,9.188800e-05,1.824000e-05,
-1.000000,1024,1024,OS2-i8-accu-17,7.107672e+00,6.042720e-04,1.477920e-04,3.082880e-04,9.576000e-05,2.020800e-05,
-1.000000,1024,1024,OS2-i8-accu-18,6.622476e+00,6.485440e-04,1.532800e-04,3.383520e-04,1.028640e-04,2.035200e-05,
-1.000000,1024,1024,OS2-i8-accu-19,6.513527e+00,6.593920e-04,1.570240e-04,3.407680e-04,1.065440e-04,2.038400e-05,
-1.000000,1024,1024,OS2-i8-accu-20,6.425898e+00,6.683840e-04,1.614880e-04,3.410880e-04,1.099200e-04,2.035200e-05,
