phi,m,n,function,TFLOPS,total_time[sec],standard_trsm,gemmul8_gemm,
-1.000000,1024,1024,OS2-i8-fast-3,9.051030e+00,4.745280e-04,4.601920e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-4,9.146635e+00,4.695680e-04,4.548320e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-5,9.149753e+00,4.694080e-04,4.547520e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-6,9.151937e+00,4.692960e-04,4.546720e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-7,9.148506e+00,4.694720e-04,4.547520e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-8,9.146012e+00,4.696000e-04,4.548160e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-9,9.154121e+00,4.691840e-04,4.545120e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-10,9.147570e+00,4.695200e-04,4.548480e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-11,9.151624e+00,4.693120e-04,4.547680e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-12,9.151313e+00,4.693280e-04,4.547520e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-3,9.152561e+00,4.692640e-04,4.545760e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-4,9.149129e+00,4.694400e-04,4.547040e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-5,9.146324e+00,4.695840e-04,4.547520e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-6,9.148506e+00,4.694720e-04,4.549760e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-7,9.146635e+00,4.695680e-04,4.547680e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-8,9.147259e+00,4.695360e-04,4.548480e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-9,9.147259e+00,4.695360e-04,4.549120e-04,0.000000e+00,
