phi,m,n,function,TFLOPS,total_time[sec],standard_trsm,gemmul8_gemm,
-1.000000,1024,1024,OS2-i8-fast-3,8.675440e+00,4.950720e-04,4.803680e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-4,8.717418e+00,4.926880e-04,4.779520e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-5,8.717135e+00,4.927040e-04,4.778560e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-6,8.716286e+00,4.927520e-04,4.780480e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-7,8.716286e+00,4.927520e-04,4.782080e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-8,8.712042e+00,4.929920e-04,4.780800e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-9,8.714588e+00,4.928480e-04,4.780480e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-10,8.715437e+00,4.928000e-04,4.782080e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-11,8.717418e+00,4.926880e-04,4.781120e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-12,8.718551e+00,4.926240e-04,4.780640e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-3,8.714871e+00,4.928320e-04,4.782080e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-4,8.716852e+00,4.927200e-04,4.781280e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-5,8.715154e+00,4.928160e-04,4.780480e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-6,8.714305e+00,4.928640e-04,4.780800e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-7,8.714305e+00,4.928640e-04,4.782400e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-8,8.717701e+00,4.926720e-04,4.781760e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-9,8.715154e+00,4.928160e-04,4.781280e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-10,8.713457e+00,4.929120e-04,4.781760e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-11,8.714022e+00,4.928800e-04,4.781440e-04,0.000000e+00,
