phi,m,n,function,TFLOPS,total_time[sec],standard_trsm,gemmul8_gemm,
-1.000000,1024,1024,OS2-i8-fast-3,9.142586e+00,4.697760e-04,4.550080e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-4,9.031541e+00,4.755520e-04,4.613600e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-5,9.078580e+00,4.730880e-04,4.584000e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-6,9.073057e+00,4.733760e-04,4.585600e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-7,9.073057e+00,4.733760e-04,4.585920e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-8,9.071217e+00,4.734720e-04,4.587360e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-9,9.069072e+00,4.735840e-04,4.587520e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-10,9.069991e+00,4.735360e-04,4.587840e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-11,9.068459e+00,4.736160e-04,4.587360e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-12,9.070910e+00,4.734880e-04,4.587520e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-3,9.074590e+00,4.732960e-04,4.585600e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-4,9.073670e+00,4.733440e-04,4.586240e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-5,9.070910e+00,4.734880e-04,4.587200e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-6,9.073670e+00,4.733440e-04,4.588320e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-7,9.069991e+00,4.735360e-04,4.587680e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-8,9.074284e+00,4.733120e-04,4.585760e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-9,9.074284e+00,4.733120e-04,4.585760e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-10,9.077045e+00,4.731680e-04,4.585280e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-11,9.069072e+00,4.735840e-04,4.588000e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-12,9.071217e+00,4.734720e-04,4.587040e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-3,5.045874e+00,8.511840e-04,4.617920e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-4,5.059665e+00,8.488640e-04,4.621440e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-5,5.064533e+00,8.480480e-04,4.623040e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-6,5.068549e+00,8.473760e-04,4.620960e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-7,5.067880e+00,8.474880e-04,4.624480e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-8,5.066063e+00,8.477920e-04,4.621600e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-9,5.060333e+00,8.487520e-04,4.622400e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-10,5.059283e+00,8.489280e-04,4.621760e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-11,5.057663e+00,8.492000e-04,4.621920e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-12,5.059760e+00,8.488480e-04,4.623680e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-3,5.054996e+00,8.496480e-04,4.622880e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-4,5.073339e+00,8.465760e-04,4.621280e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-5,5.062527e+00,8.483840e-04,4.620800e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-6,5.049956e+00,8.504960e-04,4.623040e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-7,5.057377e+00,8.492480e-04,4.620640e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-8,5.031027e+00,8.536960e-04,4.622080e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-9,5.061573e+00,8.485440e-04,4.622240e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-10,5.068358e+00,8.474080e-04,4.622400e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-11,5.058902e+00,8.489920e-04,4.620320e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-12,5.058806e+00,8.490080e-04,4.620320e-04,0.000000e+00,
-1.000000,1024,1024,BF16x9,9.365879e+00,4.585760e-04,,,
-1.000000,1024,1024,CTRSM,9.360000e+00,4.588640e-04,,,
-1.000000,2048,2048,OS2-i8-fast-3,2.444907e+01,1.405360e-03,1.390624e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-4,2.444795e+01,1.405424e-03,1.390368e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-5,2.445213e+01,1.405184e-03,1.390240e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-6,2.444907e+01,1.405360e-03,1.390112e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-7,2.445436e+01,1.405056e-03,1.390112e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-8,2.445658e+01,1.404928e-03,1.390160e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-9,2.444572e+01,1.405552e-03,1.390416e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-10,2.445324e+01,1.405120e-03,1.390176e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-11,2.446020e+01,1.404720e-03,1.389792e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-12,2.445491e+01,1.405024e-03,1.390064e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-3,2.444684e+01,1.405488e-03,1.390624e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-4,2.444433e+01,1.405632e-03,1.390688e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-5,2.444628e+01,1.405520e-03,1.390688e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-6,2.445380e+01,1.405088e-03,1.390192e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-7,2.444767e+01,1.405440e-03,1.390256e-03,0.000000e+00,
