phi,m,n,function,TFLOPS,total_time[sec],standard_trsm,gemmul8_gemm,
-1.000000,1024,1024,OS2-i8-fast-3,8.819090e+00,4.870080e-04,4.720000e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-4,8.813588e+00,4.873120e-04,4.725440e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-5,8.823148e+00,4.867840e-04,4.722560e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-6,8.818800e+00,4.870240e-04,4.722240e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-7,8.820249e+00,4.869440e-04,4.721440e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-8,8.818510e+00,4.870400e-04,4.722080e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-9,8.821118e+00,4.868960e-04,4.721600e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-10,8.822568e+00,4.868160e-04,4.721920e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-11,8.820539e+00,4.869280e-04,4.722880e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-12,8.817352e+00,4.871040e-04,4.723520e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-3,8.817931e+00,4.870720e-04,4.722400e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-4,8.817931e+00,4.870720e-04,4.722720e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-5,8.816483e+00,4.871520e-04,4.724000e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-6,8.822858e+00,4.868000e-04,4.721600e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-7,8.816772e+00,4.871360e-04,4.723840e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-8,8.815904e+00,4.871840e-04,4.726560e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-9,8.820829e+00,4.869120e-04,4.721440e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-10,8.822858e+00,4.868000e-04,4.722880e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-11,8.819380e+00,4.869920e-04,4.723840e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-12,8.821698e+00,4.868640e-04,4.721920e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-3,4.941652e+00,8.691360e-04,4.763680e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-4,4.941470e+00,8.691680e-04,4.759680e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-5,4.934475e+00,8.704000e-04,4.758400e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-6,4.942471e+00,8.689920e-04,4.758720e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-7,4.926144e+00,8.718720e-04,4.760320e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-8,4.935201e+00,8.702720e-04,4.760160e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-9,4.926596e+00,8.717920e-04,4.760960e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-10,4.941379e+00,8.691840e-04,4.757600e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-11,4.938470e+00,8.696960e-04,4.763040e-04,0.000000e+00,
