phi,m,n,function,TFLOPS,total_time[sec],standard_trsm,gemmul8_gemm,
-1.000000,1024,1024,OS2-i8-fast-3,9.687663e+00,4.433440e-04,4.285760e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-4,9.690811e+00,4.432000e-04,4.285280e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-5,9.689411e+00,4.432640e-04,4.286080e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-6,9.685216e+00,4.434560e-04,4.287680e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-7,9.690461e+00,4.432160e-04,4.286400e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-8,9.684867e+00,4.434720e-04,4.287200e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-9,9.689411e+00,4.432640e-04,4.286400e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-10,9.688013e+00,4.433280e-04,4.285920e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-11,9.685216e+00,4.434560e-04,4.286880e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-12,9.689062e+00,4.432800e-04,4.285280e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-3,9.686964e+00,4.433760e-04,4.286720e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-4,9.685916e+00,4.434240e-04,4.286560e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-5,9.688362e+00,4.433120e-04,4.287200e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-6,9.684168e+00,4.435040e-04,4.287360e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-7,9.688013e+00,4.433280e-04,4.286560e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-8,9.693610e+00,4.430720e-04,4.284800e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-9,9.686265e+00,4.434080e-04,4.286560e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-10,9.689411e+00,4.432640e-04,4.288320e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-11,9.688712e+00,4.432960e-04,4.286880e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-12,9.687663e+00,4.433440e-04,4.285440e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-3,5.137324e+00,8.360320e-04,4.320960e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-4,5.152411e+00,8.335840e-04,4.321440e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-5,5.161426e+00,8.321280e-04,4.321920e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-6,5.183553e+00,8.285760e-04,4.321600e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-7,5.176855e+00,8.296480e-04,4.319680e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-8,5.177853e+00,8.294880e-04,4.320320e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-9,5.182352e+00,8.287680e-04,4.318560e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-10,5.171170e+00,8.305600e-04,4.319040e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-11,5.179852e+00,8.291680e-04,4.320960e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-12,5.182952e+00,8.286720e-04,4.321120e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-3,5.187660e+00,8.279200e-04,4.322720e-04,0.000000e+00,
