phi,m,n,function,TFLOPS,total_time[sec],standard_trsm,gemmul8_gemm,
-1.000000,1024,1024,OS2-i8-fast-3,9.423086e+00,4.557920e-04,4.412480e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-4,9.429375e+00,4.554880e-04,4.409920e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-5,9.424410e+00,4.557280e-04,4.411520e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-6,9.425402e+00,4.556800e-04,4.410080e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-7,9.423417e+00,4.557760e-04,4.411840e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-8,9.425071e+00,4.556960e-04,4.409760e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-9,9.422755e+00,4.558080e-04,4.410560e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-10,9.422425e+00,4.558240e-04,4.411680e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-11,9.422425e+00,4.558240e-04,4.411840e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-12,9.419118e+00,4.559840e-04,4.412000e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-3,9.426395e+00,4.556320e-04,4.411360e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-4,9.427057e+00,4.556000e-04,4.409760e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-5,9.424740e+00,4.557120e-04,4.411200e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-6,9.425402e+00,4.556800e-04,4.411040e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-7,9.429044e+00,4.555040e-04,4.410400e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-8,9.428051e+00,4.555520e-04,4.409920e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-9,9.423086e+00,4.557920e-04,4.411840e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-10,9.429044e+00,4.555040e-04,4.410560e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-11,9.431032e+00,4.554080e-04,4.409920e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-12,9.423417e+00,4.557760e-04,4.412640e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-3,5.077946e+00,8.458080e-04,4.445600e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-4,5.072189e+00,8.467680e-04,4.444800e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-5,5.072381e+00,8.467360e-04,4.447200e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-6,5.090850e+00,8.436640e-04,4.447040e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-7,5.083042e+00,8.449600e-04,4.445600e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-8,5.075450e+00,8.462240e-04,4.446560e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-9,5.088920e+00,8.439840e-04,4.446400e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-10,5.091720e+00,8.435200e-04,4.445440e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-11,5.071326e+00,8.469120e-04,4.446720e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-12,5.080733e+00,8.453440e-04,4.445760e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-3,5.093749e+00,8.431840e-04,4.445920e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-4,5.085835e+00,8.444960e-04,4.444480e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-5,5.074202e+00,8.464320e-04,4.447520e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-6,5.099070e+00,8.423040e-04,4.445280e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-7,5.097521e+00,8.425600e-04,4.446560e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-8,5.072860e+00,8.466560e-04,4.445920e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-9,5.076985e+00,8.459680e-04,4.448000e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-10,5.076985e+00,8.459680e-04,4.447200e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-11,5.056520e+00,8.493920e-04,4.446880e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-12,5.086606e+00,8.443680e-04,4.445760e-04,0.000000e+00,
