phi,m,n,function,TFLOPS,total_time[sec],standard_trsm,gemmul8_gemm,
-1.000000,1024,1024,OS2-i8-fast-3,9.145701e+00,4.696160e-04,4.549280e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-4,9.315500e+00,4.610560e-04,4.464000e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-5,9.316147e+00,4.610240e-04,4.464160e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-6,9.321323e+00,4.607680e-04,4.461600e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-7,9.316147e+00,4.610240e-04,4.463360e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-8,9.316794e+00,4.609920e-04,4.461920e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-9,9.314207e+00,4.611200e-04,4.465120e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-10,9.322294e+00,4.607200e-04,4.459520e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-11,9.312915e+00,4.611840e-04,4.464160e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-12,9.317764e+00,4.609440e-04,4.462720e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-3,9.318411e+00,4.609120e-04,4.464160e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-4,9.316147e+00,4.610240e-04,4.464160e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-5,9.312915e+00,4.611840e-04,4.464320e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-6,9.311622e+00,4.612480e-04,4.464320e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-7,9.317440e+00,4.609600e-04,4.462240e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-8,9.319058e+00,4.608800e-04,4.462400e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-9,9.300331e+00,4.618080e-04,4.466400e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-10,9.307103e+00,4.614720e-04,4.468160e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-11,9.314854e+00,4.610880e-04,4.465120e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-12,9.307103e+00,4.614720e-04,4.467520e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-3,5.074874e+00,8.463200e-04,4.499520e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-4,5.057377e+00,8.492480e-04,4.498560e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-5,5.049481e+00,8.505760e-04,4.498080e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-6,5.070656e+00,8.470240e-04,4.496800e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-7,5.063864e+00,8.481600e-04,4.498400e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-8,5.056043e+00,8.494720e-04,4.495680e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-9,5.059474e+00,8.488960e-04,4.495520e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-10,5.063291e+00,8.482560e-04,4.495840e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-11,5.065202e+00,8.479360e-04,4.497280e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-12,5.055472e+00,8.495680e-04,4.496800e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-3,5.057567e+00,8.492160e-04,4.499840e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-4,5.063769e+00,8.481760e-04,4.499360e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-5,5.065585e+00,8.478720e-04,4.498560e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-6,5.064533e+00,8.480480e-04,4.497440e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-7,5.069220e+00,8.472640e-04,4.499200e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-8,5.063578e+00,8.482080e-04,4.495040e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-9,5.058711e+00,8.490240e-04,4.501120e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-10,5.050431e+00,8.504160e-04,4.494560e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-11,5.077273e+00,8.459200e-04,4.497440e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-12,5.067401e+00,8.475680e-04,4.496640e-04,0.000000e+00,
-1.000000,1024,1024,BF16x9,9.253204e+00,4.641600e-04,,,
-1.000000,1024,1024,CTRSM,9.617895e+00,4.465600e-04,,,
