phi,m,n,function,TFLOPS,total_time[sec],standard_trsm,gemmul8_gemm,
-1.000000,1024,1024,OS2-i8-fast-3,9.405917e+00,4.566240e-04,4.419040e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-4,9.408884e+00,4.564800e-04,4.419360e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-5,9.405587e+00,4.566400e-04,4.419040e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-6,9.410533e+00,4.564000e-04,4.416960e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-7,9.407235e+00,4.565600e-04,4.417920e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-8,9.412843e+00,4.562880e-04,4.417760e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-9,9.412183e+00,4.563200e-04,4.417920e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-10,9.409873e+00,4.564320e-04,4.419520e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-11,9.410533e+00,4.564000e-04,4.418880e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-12,9.408224e+00,4.565120e-04,4.419200e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-3,9.402622e+00,4.567840e-04,4.420000e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-4,9.408554e+00,4.564960e-04,4.418240e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-5,9.405257e+00,4.566560e-04,4.418720e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-6,9.405917e+00,4.566240e-04,4.420800e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-7,9.412513e+00,4.563040e-04,4.418080e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-8,9.412513e+00,4.563040e-04,4.417280e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-9,9.407235e+00,4.565600e-04,4.420320e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-10,9.410203e+00,4.564160e-04,4.417280e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-11,9.406246e+00,4.566080e-04,4.420480e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-12,9.407565e+00,4.565440e-04,4.420160e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-3,5.078330e+00,8.457440e-04,4.452800e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-4,5.071135e+00,8.469440e-04,4.455040e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-5,5.074106e+00,8.464480e-04,4.451680e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-6,5.071327e+00,8.469120e-04,4.454400e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-7,5.096650e+00,8.427040e-04,4.451680e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-8,5.085835e+00,8.444960e-04,4.453760e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-9,5.068837e+00,8.473280e-04,4.453920e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-10,5.087184e+00,8.442720e-04,4.455840e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-11,5.090271e+00,8.437600e-04,4.452960e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-12,5.086510e+00,8.443840e-04,4.452480e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-3,5.081406e+00,8.452320e-04,4.453760e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-4,5.081503e+00,8.452160e-04,4.453760e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-5,5.083042e+00,8.449600e-04,4.453920e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-6,5.084583e+00,8.447040e-04,4.452160e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-7,5.083524e+00,8.448800e-04,4.453920e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-8,5.085835e+00,8.444960e-04,4.454400e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-9,5.086606e+00,8.443680e-04,4.453760e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-10,5.096747e+00,8.426880e-04,4.451040e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-11,5.083427e+00,8.448960e-04,4.452160e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-12,5.084294e+00,8.447520e-04,4.453280e-04,0.000000e+00,
-1.000000,1024,1024,BF16x9,9.646583e+00,4.452320e-04,,,
-1.000000,1024,1024,CTRSM,9.714659e+00,4.421120e-04,,,
-1.000000,2048,2048,OS2-i8-fast-3,2.517035e+01,1.365088e-03,1.349856e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-4,2.515384e+01,1.365984e-03,1.350800e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-5,2.515855e+01,1.365728e-03,1.350432e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-6,2.516563e+01,1.365344e-03,1.350416e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-7,2.516061e+01,1.365616e-03,1.350320e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-8,2.517005e+01,1.365104e-03,1.349728e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-9,2.516386e+01,1.365440e-03,1.350320e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-10,2.517566e+01,1.364800e-03,1.349472e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-11,2.516533e+01,1.365360e-03,1.350256e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-12,2.516327e+01,1.365472e-03,1.350416e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-3,2.517477e+01,1.364848e-03,1.349872e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-4,2.516976e+01,1.365120e-03,1.349952e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-5,2.516563e+01,1.365344e-03,1.350256e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-6,2.517684e+01,1.364736e-03,1.349904e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-7,2.516445e+01,1.365408e-03,1.350480e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-8,2.516946e+01,1.365136e-03,1.350272e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-9,2.516327e+01,1.365472e-03,1.350240e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-10,2.516474e+01,1.365392e-03,1.350208e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-11,2.516209e+01,1.365536e-03,1.350320e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-12,2.516858e+01,1.365184e-03,1.349984e-03,0.000000e+00,
-1.000000,2048,2048,OS2-f8-fast-3,1.959776e+01,1.753248e-03,1.351856e-03,0.000000e+00,
-1.000000,2048,2048,OS2-f8-fast-4,1.959991e+01,1.753056e-03,1.351728e-03,0.000000e+00,
-1.000000,2048,2048,OS2-f8-fast-5,1.958186e+01,1.754672e-03,1.352064e-03,0.000000e+00,
-1.000000,2048,2048,OS2-f8-fast-6,1.960474e+01,1.752624e-03,1.352016e-03,0.000000e+00,
-1.000000,2048,2048,OS2-f8-fast-7,1.959687e+01,1.753328e-03,1.351792e-03,0.000000e+00,
-1.000000,2048,2048,OS2-f8-fast-8,1.959383e+01,1.753600e-03,1.351344e-03,0.000000e+00,
-1.000000,2048,2048,OS2-f8-fast-9,1.960886e+01,1.752256e-03,1.351424e-03,0.000000e+00,
-1.000000,2048,2048,OS2-f8-fast-10,1.960188e+01,1.752880e-03,1.351504e-03,0.000000e+00,
-1.000000,2048,2048,OS2-f8-fast-11,1.959955e+01,1.753088e-03,1.352080e-03,0.000000e+00,
-1.000000,2048,2048,OS2-f8-fast-12,1.961925e+01,1.751328e-03,1.351408e-03,0.000000e+00,
-1.000000,2048,2048,OS2-f8-accu-3,1.958882e+01,1.754048e-03,1.351072e-03,0.000000e+00,
-1.000000,2048,2048,OS2-f8-accu-4,1.961154e+01,1.752016e-03,1.351472e-03,0.000000e+00,
-1.000000,2048,2048,OS2-f8-accu-5,1.958079e+01,1.754768e-03,1.351648e-03,0.000000e+00,
-1.000000,2048,2048,OS2-f8-accu-6,1.961011e+01,1.752144e-03,1.351504e-03,0.000000e+00,
-1.000000,2048,2048,OS2-f8-accu-7,1.960098e+01,1.752960e-03,1.351792e-03,0.000000e+00,
-1.000000,2048,2048,OS2-f8-accu-8,1.961674e+01,1.751552e-03,1.351696e-03,0.000000e+00,
-1.000000,2048,2048,OS2-f8-accu-9,1.960116e+01,1.752944e-03,1.351520e-03,0.000000e+00,
-1.000000,2048,2048,OS2-f8-accu-10,1.960277e+01,1.752800e-03,1.350928e-03,0.000000e+00,
-1.000000,2048,2048,OS2-f8-accu-11,1.961513e+01,1.751696e-03,1.351568e-03,0.000000e+00,
-1.000000,2048,2048,OS2-f8-accu-12,1.959830e+01,1.753200e-03,1.351600e-03,0.000000e+00,
-1.000000,2048,2048,BF16x9,2.353845e+01,1.459728e-03,,,
-1.000000,2048,2048,CTRSM,2.543628e+01,1.350816e-03,,,
-1.000000,4096,4096,OS2-i8-fast-3,6.344117e+01,4.332800e-03,3.874752e-03,4.396960e-04,
-1.000000,4096,4096,OS2-i8-fast-4,6.208978e+01,4.427104e-03,3.875968e-03,5.334560e-04,
-1.000000,4096,4096,OS2-i8-fast-5,6.072213e+01,4.526816e-03,3.875392e-03,6.319360e-04,
-1.000000,4096,4096,OS2-i8-fast-6,5.946464e+01,4.622544e-03,3.875904e-03,7.278400e-04,
-1.000000,4096,4096,OS2-i8-fast-7,5.849661e+01,4.699040e-03,3.875392e-03,8.049600e-04,
-1.000000,4096,4096,OS2-i8-fast-8,5.715402e+01,4.809424e-03,3.876912e-03,9.143200e-04,
-1.000000,4096,4096,OS2-i8-fast-9,5.680648e+01,4.838848e-03,3.834720e-03,9.857440e-04,
-1.000000,4096,4096,OS2-i8-fast-10,5.563555e+01,4.940688e-03,3.836320e-03,1.086336e-03,
-1.000000,4096,4096,OS2-i8-fast-11,5.471540e+01,5.023776e-03,3.836176e-03,1.169376e-03,
-1.000000,4096,4096,OS2-i8-fast-12,5.359564e+01,5.128736e-03,3.838256e-03,1.271328e-03,
-1.000000,4096,4096,OS2-i8-accu-3,6.245840e+01,4.400976e-03,3.832288e-03,5.506400e-04,
-1.000000,4096,4096,OS2-i8-accu-4,6.112093e+01,4.497280e-03,3.834432e-03,6.437120e-04,
-1.000000,4096,4096,OS2-i8-accu-5,5.985642e+01,4.592288e-03,3.833296e-03,7.394400e-04,
-1.000000,4096,4096,OS2-i8-accu-6,5.863637e+01,4.687840e-03,3.835440e-03,8.339040e-04,
-1.000000,4096,4096,OS2-i8-accu-7,5.770789e+01,4.763264e-03,3.835008e-03,9.093760e-04,
-1.000000,4096,4096,OS2-i8-accu-8,5.640511e+01,4.873280e-03,3.835600e-03,1.019584e-03,
-1.000000,4096,4096,OS2-i8-accu-9,5.551133e+01,4.951744e-03,3.836576e-03,1.096272e-03,
-1.000000,4096,4096,OS2-i8-accu-10,5.441265e+01,5.051728e-03,3.836768e-03,1.196896e-03,
-1.000000,4096,4096,OS2-i8-accu-11,5.351934e+01,5.136048e-03,3.837872e-03,1.279152e-03,
-1.000000,4096,4096,OS2-i8-accu-12,5.245393e+01,5.240368e-03,3.838432e-03,1.382912e-03,
-1.000000,4096,4096,OS2-f8-fast-3,4.442216e+01,6.187856e-03,5.786256e-03,0.000000e+00,
-1.000000,4096,4096,OS2-f8-fast-4,4.441642e+01,6.188656e-03,5.786096e-03,0.000000e+00,
