phi,m,n,function,TFLOPS,total_time[sec],standard_trsm,gemmul8_gemm,
-1.000000,1024,1024,OS2-i8-fast-9,3.210797e+00,3.344160e-04,3.196160e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-10,3.202981e+00,3.352320e-04,3.203040e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-11,3.211258e+00,3.343680e-04,3.197600e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-12,3.209568e+00,3.345440e-04,3.200480e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-13,3.209722e+00,3.345280e-04,3.198080e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-14,3.207574e+00,3.347520e-04,3.200000e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-15,3.208034e+00,3.347040e-04,3.198560e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-16,3.208801e+00,3.346240e-04,3.199200e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-17,3.209415e+00,3.345600e-04,3.199680e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-18,3.208801e+00,3.346240e-04,3.198080e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-19,3.211719e+00,3.343200e-04,3.198240e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-20,3.210182e+00,3.344800e-04,3.197920e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-9,3.209261e+00,3.345760e-04,3.198400e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-10,3.207881e+00,3.347200e-04,3.198560e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-11,3.208801e+00,3.346240e-04,3.198560e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-12,3.210182e+00,3.344800e-04,3.197440e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-13,3.211258e+00,3.343680e-04,3.196640e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-14,3.210029e+00,3.344960e-04,3.197280e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-15,3.210336e+00,3.344640e-04,3.196960e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-16,3.210950e+00,3.344000e-04,3.199040e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-17,3.210490e+00,3.344480e-04,3.197440e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-18,3.209415e+00,3.345600e-04,3.197440e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-19,3.211411e+00,3.343520e-04,3.198400e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-20,3.211104e+00,3.343840e-04,3.197920e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-9,1.489587e+00,7.208320e-04,3.233440e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-10,1.488926e+00,7.211520e-04,3.234240e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-11,1.494031e+00,7.186880e-04,3.232800e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-12,1.492635e+00,7.193600e-04,3.234560e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-13,1.498802e+00,7.164000e-04,3.232640e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-14,1.492303e+00,7.195200e-04,3.231520e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-15,1.498534e+00,7.165280e-04,3.232480e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-16,1.493698e+00,7.188480e-04,3.232800e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-17,1.500377e+00,7.156480e-04,3.234560e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-18,1.496529e+00,7.174880e-04,3.233760e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-19,1.493931e+00,7.187360e-04,3.231360e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-20,1.493831e+00,7.187840e-04,3.232480e-04,0.000000e+00,
