phi,m,n,function,TFLOPS,total_time[sec],standard_trsm,gemmul8_gemm,
-1.000000,1024,1024,OS2-i8-fast-9,3.240878e+00,3.313120e-04,3.165120e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-10,3.231515e+00,3.322720e-04,3.177600e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-11,3.229804e+00,3.324480e-04,3.178400e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-12,3.230737e+00,3.323520e-04,3.177760e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-13,3.231515e+00,3.322720e-04,3.175360e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-14,3.232916e+00,3.321280e-04,3.177600e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-15,3.230115e+00,3.324160e-04,3.179200e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-16,3.231203e+00,3.323040e-04,3.177120e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-17,3.233227e+00,3.320960e-04,3.176480e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-18,3.230270e+00,3.324000e-04,3.177440e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-19,3.231515e+00,3.322720e-04,3.176320e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-20,3.232137e+00,3.322080e-04,3.176800e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-9,3.230270e+00,3.324000e-04,3.179040e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-10,3.229182e+00,3.325120e-04,3.177600e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-11,3.232916e+00,3.321280e-04,3.177280e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-12,3.229648e+00,3.324640e-04,3.178560e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-13,3.231048e+00,3.323200e-04,3.177600e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-14,3.232449e+00,3.321760e-04,3.176000e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-15,3.230892e+00,3.323360e-04,3.177600e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-16,3.230426e+00,3.323840e-04,3.179520e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-17,3.231670e+00,3.322560e-04,3.177280e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-18,3.228095e+00,3.326240e-04,3.179680e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-19,3.230426e+00,3.323840e-04,3.178560e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-20,3.231670e+00,3.322560e-04,3.177120e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-9,1.533952e+00,6.999840e-04,3.213920e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-10,1.536903e+00,6.986400e-04,3.213440e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-11,1.533286e+00,7.002880e-04,3.213920e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-12,1.533041e+00,7.004000e-04,3.214400e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-13,1.534689e+00,6.996480e-04,3.213440e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-14,1.532061e+00,7.008480e-04,3.211360e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-15,1.530873e+00,7.013920e-04,3.213920e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-16,1.531746e+00,7.009920e-04,3.212480e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-17,1.536023e+00,6.990400e-04,3.213760e-04,0.000000e+00,
