phi,m,n,function,TFLOPS,total_time[sec],standard_trsm,gemmul8_gemm,
-1.000000,1024,1024,OS2-i8-fast-9,3.301464e+00,3.252320e-04,3.105760e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-10,3.302602e+00,3.251200e-04,3.105600e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-11,3.274881e+00,3.278720e-04,3.129280e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-12,3.283373e+00,3.270240e-04,3.125440e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-13,3.282891e+00,3.270720e-04,3.124640e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-14,3.283052e+00,3.270560e-04,3.124480e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-15,3.286106e+00,3.267520e-04,3.124000e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-16,3.283373e+00,3.270240e-04,3.124800e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-17,3.282731e+00,3.270880e-04,3.124960e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-18,3.284498e+00,3.269120e-04,3.124480e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-19,3.282891e+00,3.270720e-04,3.124960e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-20,3.284016e+00,3.269600e-04,3.124640e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-9,3.283373e+00,3.270240e-04,3.125760e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-10,3.281286e+00,3.272320e-04,3.125440e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-11,3.283213e+00,3.270400e-04,3.124800e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-12,3.284177e+00,3.269440e-04,3.123200e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-13,3.282570e+00,3.271040e-04,3.125120e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-14,3.282731e+00,3.270880e-04,3.126720e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-15,3.284659e+00,3.268960e-04,3.125280e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-16,3.282570e+00,3.271040e-04,3.125440e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-17,3.282891e+00,3.270720e-04,3.125120e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-18,3.281447e+00,3.272160e-04,3.124800e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-19,3.283855e+00,3.269760e-04,3.125600e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-20,3.284177e+00,3.269440e-04,3.124960e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-9,1.521088e+00,7.059040e-04,3.158880e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-10,1.530663e+00,7.014880e-04,3.157440e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-11,1.530209e+00,7.016960e-04,3.157440e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-12,1.530768e+00,7.014400e-04,3.159840e-04,0.000000e+00,
