phi,m,n,function,TFLOPS,total_time[sec],standard_trsm,gemmul8_gemm,
-1.000000,1024,1024,OS2-i8-fast-9,3.164169e+00,3.393440e-04,3.241120e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-10,3.145040e+00,3.414080e-04,3.266560e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-11,3.145187e+00,3.413920e-04,3.266560e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-12,3.144156e+00,3.415040e-04,3.265760e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-13,3.144303e+00,3.414880e-04,3.265760e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-14,3.144893e+00,3.414240e-04,3.265920e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-15,3.145335e+00,3.413760e-04,3.265760e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-16,3.145482e+00,3.413600e-04,3.264480e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-17,3.147400e+00,3.411520e-04,3.265280e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-18,3.144745e+00,3.414400e-04,3.266560e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-19,3.144451e+00,3.414720e-04,3.265440e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-20,3.146367e+00,3.412640e-04,3.265600e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-9,3.146367e+00,3.412640e-04,3.265600e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-10,3.146957e+00,3.412000e-04,3.266560e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-11,3.146220e+00,3.412800e-04,3.264480e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-12,3.146957e+00,3.412000e-04,3.265280e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-13,3.146810e+00,3.412160e-04,3.266240e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-14,3.145777e+00,3.413280e-04,3.266400e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-15,3.145187e+00,3.413920e-04,3.265280e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-16,3.145482e+00,3.413600e-04,3.266240e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-17,3.146810e+00,3.412160e-04,3.265760e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-18,3.144156e+00,3.415040e-04,3.267040e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-19,3.146957e+00,3.412000e-04,3.266720e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-20,3.146219e+00,3.412800e-04,3.265120e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-9,1.476998e+00,7.269760e-04,3.297760e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-10,1.476153e+00,7.273920e-04,3.300160e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-11,1.479635e+00,7.256800e-04,3.299680e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-12,1.480027e+00,7.254880e-04,3.298880e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-13,1.473948e+00,7.284800e-04,3.299680e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-14,1.479766e+00,7.256160e-04,3.299200e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-15,1.477583e+00,7.266880e-04,3.300160e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-16,1.475731e+00,7.276000e-04,3.298880e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-17,1.475082e+00,7.279200e-04,3.302560e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-18,1.478592e+00,7.261920e-04,3.299360e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-19,1.480876e+00,7.250720e-04,3.299360e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-20,1.476250e+00,7.273440e-04,3.300480e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-9,1.474985e+00,7.279680e-04,3.299680e-04,0.000000e+00,
