phi,m,n,function,TFLOPS,total_time[sec],standard_trsm,gemmul8_gemm,
-1.000000,1024,1024,OS2-i8-fast-9,3.260086e+00,3.293600e-04,3.147520e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-10,3.227319e+00,3.327040e-04,3.176800e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-11,3.240252e+00,3.313760e-04,3.167360e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-12,3.240096e+00,3.313920e-04,3.167360e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-13,3.239939e+00,3.314080e-04,3.168800e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-14,3.242601e+00,3.311360e-04,3.165920e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-15,3.241504e+00,3.312480e-04,3.167040e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-16,3.240722e+00,3.313280e-04,3.167680e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-17,3.238688e+00,3.315360e-04,3.169280e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-18,3.239470e+00,3.314560e-04,3.169600e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-19,3.242914e+00,3.311040e-04,3.166720e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-20,3.239783e+00,3.314240e-04,3.168480e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-9,3.238845e+00,3.315200e-04,3.168800e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-10,3.238532e+00,3.315520e-04,3.168960e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-11,3.240252e+00,3.313760e-04,3.167360e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-12,3.237907e+00,3.316160e-04,3.168480e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-13,3.238532e+00,3.315520e-04,3.168960e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-14,3.239157e+00,3.314880e-04,3.169120e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-15,3.241661e+00,3.312320e-04,3.168160e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-16,3.242444e+00,3.311520e-04,3.166720e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-17,3.239470e+00,3.314560e-04,3.167200e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-18,3.242131e+00,3.311840e-04,3.166880e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-19,3.239783e+00,3.314240e-04,3.166720e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-20,3.240252e+00,3.313760e-04,3.167360e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-9,1.483102e+00,7.239840e-04,3.202080e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-10,1.488463e+00,7.213760e-04,3.203520e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-11,1.490414e+00,7.204320e-04,3.201440e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-12,1.482676e+00,7.241920e-04,3.199360e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-13,1.489355e+00,7.209440e-04,3.200000e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-14,1.490778e+00,7.202560e-04,3.202240e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-15,1.494729e+00,7.183520e-04,3.204000e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-16,1.495595e+00,7.179360e-04,3.204160e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-17,1.492270e+00,7.195360e-04,3.202400e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-18,1.485926e+00,7.226080e-04,3.204320e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-19,1.492568e+00,7.193920e-04,3.203840e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-20,1.495595e+00,7.179360e-04,3.202560e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-9,1.490513e+00,7.203840e-04,3.201440e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-10,1.489620e+00,7.208160e-04,3.200480e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-11,1.490977e+00,7.201600e-04,3.201280e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-12,1.491507e+00,7.199040e-04,3.201120e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-13,1.493831e+00,7.187840e-04,3.202400e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-14,1.493033e+00,7.191680e-04,3.201600e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-15,1.493033e+00,7.191680e-04,3.200320e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-16,1.495562e+00,7.179520e-04,3.202240e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-17,1.492934e+00,7.192160e-04,3.203840e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-18,1.490215e+00,7.205280e-04,3.202560e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-19,1.490646e+00,7.203200e-04,3.200640e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-20,1.487738e+00,7.217280e-04,3.201280e-04,0.000000e+00,
-1.000000,1024,1024,OS1-6,5.186076e-01,2.070432e-03,,,
-1.000000,1024,1024,OS1-7,4.905296e-01,2.188944e-03,,,
-1.000000,1024,1024,OS1-8,4.661698e-01,2.303328e-03,,,
-1.000000,1024,1024,OS1-9,4.445709e-01,2.415232e-03,,,
-1.000000,1024,1024,DTRSM,3.388652e+00,3.168640e-04,,,
-1.000000,2048,2048,OS2-i8-fast-9,9.421598e+00,9.117280e-04,8.969920e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-10,9.423417e+00,9.115520e-04,8.969760e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-11,9.422590e+00,9.116320e-04,8.970720e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-12,9.423748e+00,9.115200e-04,8.969600e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-13,9.424741e+00,9.114240e-04,8.964960e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-14,9.425237e+00,9.113760e-04,8.966720e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-15,9.425237e+00,9.113760e-04,8.964160e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-16,9.426395e+00,9.112640e-04,8.963680e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-17,9.425733e+00,9.113280e-04,8.966560e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-18,9.423748e+00,9.115200e-04,8.967360e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-19,9.423748e+00,9.115200e-04,8.963840e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-20,9.420771e+00,9.118080e-04,8.970560e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-9,9.427389e+00,9.111680e-04,8.963520e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-10,9.426892e+00,9.112160e-04,8.964640e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-11,9.425899e+00,9.113120e-04,8.965120e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-12,9.425899e+00,9.113120e-04,8.963680e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-13,9.426395e+00,9.112640e-04,8.965920e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-14,9.426395e+00,9.112640e-04,8.966400e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-15,9.421267e+00,9.117600e-04,8.969600e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-16,9.427057e+00,9.112000e-04,8.966400e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-17,9.425071e+00,9.113920e-04,8.968000e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-18,9.428713e+00,9.110400e-04,8.961920e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-19,9.426892e+00,9.112160e-04,8.964000e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-20,9.425568e+00,9.113440e-04,8.964640e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-fast-9,6.583254e+00,1.304816e-03,9.025760e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-fast-10,6.588020e+00,1.303872e-03,9.030080e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-fast-11,6.598546e+00,1.301792e-03,9.020960e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-fast-12,6.606585e+00,1.300208e-03,9.025440e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-fast-13,6.602360e+00,1.301040e-03,9.029600e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-fast-14,6.608862e+00,1.299760e-03,9.028480e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-fast-15,6.603578e+00,1.300800e-03,9.025280e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-fast-16,6.586403e+00,1.304192e-03,9.026240e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-fast-17,6.601467e+00,1.301216e-03,9.026400e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-fast-18,6.616600e+00,1.298240e-03,9.023200e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-fast-19,6.602036e+00,1.301104e-03,9.024640e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-fast-20,6.606504e+00,1.300224e-03,9.026720e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-accu-9,6.597492e+00,1.302000e-03,9.029440e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-accu-10,6.596033e+00,1.302288e-03,9.019520e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-accu-11,6.615295e+00,1.298496e-03,9.018880e-04,0.000000e+00,
