phi,m,n,function,TFLOPS,total_time[sec],standard_trsm,gemmul8_gemm,
-1.000000,1024,1024,OS2-i8-fast-9,2.986333e+00,3.595520e-04,3.446720e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-10,2.965089e+00,3.621280e-04,3.475520e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-11,2.966138e+00,3.620000e-04,3.474240e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-12,2.966138e+00,3.620000e-04,3.474880e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-13,2.966138e+00,3.620000e-04,3.474400e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-14,2.966924e+00,3.619040e-04,3.473120e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-15,2.966400e+00,3.619680e-04,3.472160e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-16,2.967056e+00,3.618880e-04,3.473440e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-17,2.964303e+00,3.622240e-04,3.473920e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-18,2.967318e+00,3.618560e-04,3.472640e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-19,2.967580e+00,3.618240e-04,3.474240e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-20,2.965744e+00,3.620480e-04,3.473760e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-9,2.966924e+00,3.619040e-04,3.473760e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-10,2.966793e+00,3.619200e-04,3.474240e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-11,2.965613e+00,3.620640e-04,3.474880e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-12,2.966400e+00,3.619680e-04,3.473440e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-13,2.965875e+00,3.620320e-04,3.473440e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-14,2.966269e+00,3.619840e-04,3.473440e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-15,2.967712e+00,3.618080e-04,3.471520e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-16,2.965220e+00,3.621120e-04,3.473600e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-17,2.966531e+00,3.619520e-04,3.474400e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-18,2.967056e+00,3.618880e-04,3.473280e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-19,2.964827e+00,3.621600e-04,3.474400e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-20,2.966924e+00,3.619040e-04,3.473600e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-9,1.439579e+00,7.458720e-04,3.507040e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-10,1.446218e+00,7.424480e-04,3.507840e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-11,1.441280e+00,7.449920e-04,3.509760e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-12,1.441342e+00,7.449600e-04,3.508640e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-13,1.439981e+00,7.456640e-04,3.508960e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-14,1.441280e+00,7.449920e-04,3.508480e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-15,1.446499e+00,7.423040e-04,3.508000e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-16,1.443326e+00,7.439360e-04,3.507040e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-17,1.442519e+00,7.443520e-04,3.508320e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-18,1.441868e+00,7.446880e-04,3.509120e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-19,1.441744e+00,7.447520e-04,3.508160e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-20,1.441496e+00,7.448800e-04,3.508480e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-9,1.435054e+00,7.482240e-04,3.507360e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-10,1.438592e+00,7.463840e-04,3.506720e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-11,1.443574e+00,7.438080e-04,3.508800e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-12,1.445595e+00,7.427680e-04,3.506240e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-13,1.445844e+00,7.426400e-04,3.508480e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-14,1.441930e+00,7.446560e-04,3.506880e-04,0.000000e+00,
