phi,m,n,function,TFLOPS,total_time[sec],standard_trsm,gemmul8_gemm,
-1.000000,1024,1024,OS2-i8-fast-3,3.533905e+00,3.038400e-04,2.889600e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-4,3.532789e+00,3.039360e-04,2.891680e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-5,3.531302e+00,3.040640e-04,2.891360e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-6,3.531674e+00,3.040320e-04,2.891520e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-7,3.530559e+00,3.041280e-04,2.892160e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-8,3.530559e+00,3.041280e-04,2.892800e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-9,3.533161e+00,3.039040e-04,2.892160e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-10,3.533533e+00,3.038720e-04,2.890880e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-11,3.535209e+00,3.037280e-04,2.889920e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-12,3.532417e+00,3.039680e-04,2.892480e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-3,3.533533e+00,3.038720e-04,2.890560e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-4,3.533347e+00,3.038880e-04,2.891360e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-5,3.532789e+00,3.039360e-04,2.891680e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-6,3.531860e+00,3.040160e-04,2.892480e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-7,3.533905e+00,3.038400e-04,2.891040e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-8,3.532975e+00,3.039200e-04,2.890880e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-9,3.531674e+00,3.040320e-04,2.891360e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-10,3.533905e+00,3.038400e-04,2.889120e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-11,3.535581e+00,3.036960e-04,2.889760e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-12,3.535022e+00,3.037440e-04,2.889920e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-3,1.530489e+00,7.015680e-04,2.985120e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-4,1.534689e+00,6.996480e-04,2.984640e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-5,1.534232e+00,6.998560e-04,2.983840e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-6,1.540325e+00,6.970880e-04,2.981440e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-7,1.533671e+00,7.001120e-04,2.986080e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-8,1.534618e+00,6.996800e-04,2.982560e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-9,1.535496e+00,6.992800e-04,2.982240e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-10,1.531432e+00,7.011360e-04,2.985600e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-11,1.539795e+00,6.973280e-04,2.984000e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-12,1.540148e+00,6.971680e-04,2.982400e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-3,1.532201e+00,7.007840e-04,2.983360e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-4,1.539229e+00,6.975840e-04,2.984480e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-5,1.538665e+00,6.978400e-04,2.983680e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-6,1.541740e+00,6.964480e-04,2.983680e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-7,1.533812e+00,7.000480e-04,2.987680e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-8,1.534724e+00,6.996320e-04,2.981760e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-9,1.536973e+00,6.986080e-04,2.983680e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-10,1.535391e+00,6.993280e-04,2.986240e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-11,1.539123e+00,6.976320e-04,2.986720e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-12,1.538206e+00,6.980480e-04,2.983680e-04,0.000000e+00,
-1.000000,1024,1024,BF16x9,3.521296e+00,3.049280e-04,,,
-1.000000,1024,1024,STRSM,3.716090e+00,2.889440e-04,,,
-1.000000,2048,2048,OS2-i8-fast-3,1.179780e+01,7.280960e-04,7.132160e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-4,1.180014e+01,7.279520e-04,7.133280e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-5,1.180169e+01,7.278560e-04,7.129600e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-6,1.180144e+01,7.278720e-04,7.132480e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-7,1.180144e+01,7.278720e-04,7.130560e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-8,1.180195e+01,7.278400e-04,7.131680e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-9,1.180169e+01,7.278560e-04,7.131040e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-10,1.179858e+01,7.280480e-04,7.132160e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-11,1.179547e+01,7.282400e-04,7.133760e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-12,1.179392e+01,7.283360e-04,7.132800e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-3,1.180273e+01,7.277920e-04,7.131360e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-4,1.179780e+01,7.280960e-04,7.134240e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-5,1.180144e+01,7.278720e-04,7.131840e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-6,1.179832e+01,7.280640e-04,7.134080e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-7,1.179988e+01,7.279680e-04,7.132480e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-8,1.180533e+01,7.276320e-04,7.130560e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-9,1.179547e+01,7.282400e-04,7.133760e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-10,1.180299e+01,7.277760e-04,7.131680e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-11,1.179988e+01,7.279680e-04,7.132000e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-12,1.179832e+01,7.280640e-04,7.133760e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-fast-3,7.680996e+00,1.118336e-03,7.226880e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-fast-4,7.673969e+00,1.119360e-03,7.224160e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-fast-5,7.655149e+00,1.122112e-03,7.224640e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-fast-6,7.645229e+00,1.123568e-03,7.225600e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-fast-7,7.650895e+00,1.122736e-03,7.226560e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-fast-8,7.667613e+00,1.120288e-03,7.221920e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-fast-9,7.678250e+00,1.118736e-03,7.226560e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-fast-10,7.671119e+00,1.119776e-03,7.223360e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-fast-11,7.679897e+00,1.118496e-03,7.223680e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-fast-12,7.674298e+00,1.119312e-03,7.224640e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-accu-3,7.683854e+00,1.117920e-03,7.221120e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-accu-4,7.653294e+00,1.122384e-03,7.225600e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-accu-5,7.663235e+00,1.120928e-03,7.226400e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-accu-6,7.676054e+00,1.119056e-03,7.224960e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-accu-7,7.675396e+00,1.119152e-03,7.224960e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-accu-8,7.680227e+00,1.118448e-03,7.224480e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-accu-9,7.672654e+00,1.119552e-03,7.220960e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-accu-10,7.673531e+00,1.119424e-03,7.225120e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-accu-11,7.659299e+00,1.121504e-03,7.227840e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-accu-12,7.677591e+00,1.118832e-03,7.228320e-04,0.000000e+00,
-1.000000,2048,2048,BF16x9,9.716417e+00,8.840640e-04,,,
-1.000000,2048,2048,STRSM,1.204395e+01,7.132160e-04,,,
-1.000000,4096,4096,OS2-i8-fast-3,3.079779e+01,2.231312e-03,2.018592e-03,1.962880e-04,
-1.000000,4096,4096,OS2-i8-fast-4,3.028079e+01,2.269408e-03,2.019808e-03,2.331680e-04,
-1.000000,4096,4096,OS2-i8-fast-5,2.993363e+01,2.295728e-03,2.020880e-03,2.586880e-04,
