phi,m,n,function,TFLOPS,total_time[sec],standard_trsm,gemmul8_gemm,
-1.000000,1024,1024,OS2-i8-fast-3,4.522465e+00,2.374240e-04,2.225920e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-4,4.522770e+00,2.374080e-04,2.227840e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-5,4.466777e+00,2.403840e-04,2.259840e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-6,4.478104e+00,2.397760e-04,2.253920e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-7,4.480496e+00,2.396480e-04,2.252640e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-8,4.481094e+00,2.396160e-04,2.249760e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-9,4.481393e+00,2.396000e-04,2.253120e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-10,4.482591e+00,2.395360e-04,2.252000e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-11,4.481992e+00,2.395680e-04,2.251360e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-12,4.482291e+00,2.395520e-04,2.251200e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-3,4.483189e+00,2.395040e-04,2.250880e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-4,4.481393e+00,2.396000e-04,2.251680e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-5,4.479299e+00,2.397120e-04,2.251840e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-6,4.480795e+00,2.396320e-04,2.252160e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-7,4.479299e+00,2.397120e-04,2.251520e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-8,4.481693e+00,2.395840e-04,2.252480e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-9,4.480196e+00,2.396640e-04,2.251520e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-10,4.476312e+00,2.398720e-04,2.253600e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-11,4.479299e+00,2.397120e-04,2.252800e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-12,4.477506e+00,2.398080e-04,2.252800e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-3,1.731082e+00,6.202720e-04,2.285920e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-4,1.735066e+00,6.188480e-04,2.284480e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-5,1.740646e+00,6.168640e-04,2.288320e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-6,1.739789e+00,6.171680e-04,2.288000e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-7,1.736278e+00,6.184160e-04,2.288320e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-8,1.745036e+00,6.153120e-04,2.286560e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-9,1.747945e+00,6.142880e-04,2.286240e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-10,1.746990e+00,6.146240e-04,2.286560e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-11,1.744719e+00,6.154240e-04,2.286880e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-12,1.744946e+00,6.153440e-04,2.287200e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-3,1.750407e+00,6.134240e-04,2.285600e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-4,1.741821e+00,6.164480e-04,2.285760e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-5,1.750453e+00,6.134080e-04,2.288000e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-6,1.749632e+00,6.136960e-04,2.285760e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-7,1.745399e+00,6.151840e-04,2.287040e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-8,1.734527e+00,6.190400e-04,2.287200e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-9,1.738707e+00,6.175520e-04,2.286080e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-10,1.750225e+00,6.134880e-04,2.287840e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-11,1.741459e+00,6.165760e-04,2.287200e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-12,1.751824e+00,6.129280e-04,2.287040e-04,0.000000e+00,
-1.000000,1024,1024,BF16x9,4.637472e+00,2.315360e-04,,,
-1.000000,1024,1024,STRSM,4.763548e+00,2.254080e-04,,,
-1.000000,2048,2048,OS2-i8-fast-3,1.419392e+01,6.051840e-04,5.904800e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-4,1.420820e+01,6.045760e-04,5.900640e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-5,1.420556e+01,6.046880e-04,5.900000e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-6,1.421233e+01,6.044000e-04,5.899040e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-7,1.421309e+01,6.043680e-04,5.900160e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-8,1.420744e+01,6.046080e-04,5.899360e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-9,1.421422e+01,6.043200e-04,5.898080e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-10,1.420970e+01,6.045120e-04,5.898880e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-11,1.420707e+01,6.046240e-04,5.898560e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-12,1.421008e+01,6.044960e-04,5.896800e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-3,1.420933e+01,6.045280e-04,5.899360e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-4,1.421045e+01,6.044800e-04,5.901440e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-5,1.421158e+01,6.044320e-04,5.897440e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-6,1.421120e+01,6.044480e-04,5.899040e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-7,1.420481e+01,6.047200e-04,5.901280e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-8,1.420820e+01,6.045760e-04,5.899840e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-9,1.421422e+01,6.043200e-04,5.897760e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-10,1.420030e+01,6.049120e-04,5.902400e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-11,1.420594e+01,6.046720e-04,5.899840e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-12,1.420481e+01,6.047200e-04,5.901920e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-fast-3,8.698492e+00,9.875200e-04,5.940480e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-fast-4,8.717701e+00,9.853440e-04,5.936800e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-fast-5,8.735574e+00,9.833280e-04,5.939200e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-fast-6,8.702722e+00,9.870400e-04,5.940960e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-fast-7,8.708792e+00,9.863520e-04,5.936640e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-fast-8,8.698774e+00,9.874880e-04,5.936960e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-fast-9,8.718976e+00,9.852000e-04,5.940640e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-fast-10,8.729892e+00,9.839680e-04,5.939200e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-fast-11,8.746960e+00,9.820480e-04,5.937120e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-fast-12,8.719825e+00,9.851040e-04,5.939840e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-accu-3,8.712749e+00,9.859040e-04,5.938560e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-accu-4,8.701311e+00,9.872000e-04,5.939520e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-accu-5,8.738133e+00,9.830400e-04,5.937120e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-accu-6,8.705968e+00,9.866720e-04,5.940320e-04,0.000000e+00,
