phi,m,n,function,TFLOPS,total_time[sec],standard_trsm,gemmul8_gemm,
-1.000000,1024,1024,OS2-i8-fast-3,4.481693e+00,2.395840e-04,2.243040e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-4,4.495202e+00,2.388640e-04,2.242880e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-5,4.490990e+00,2.390880e-04,2.244320e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-6,4.498215e+00,2.387040e-04,2.242560e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-7,4.497310e+00,2.387520e-04,2.244160e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-8,4.496406e+00,2.388000e-04,2.243360e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-9,4.494299e+00,2.389120e-04,2.246560e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-10,4.496708e+00,2.387840e-04,2.243840e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-11,4.496105e+00,2.388160e-04,2.242560e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-12,4.494901e+00,2.388800e-04,2.243840e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-3,4.495503e+00,2.388480e-04,2.244480e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-4,4.498818e+00,2.386720e-04,2.243520e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-5,4.493396e+00,2.389600e-04,2.246400e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-6,4.492794e+00,2.389920e-04,2.245760e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-7,4.495503e+00,2.388480e-04,2.242880e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-8,4.491291e+00,2.390720e-04,2.246720e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-9,4.492493e+00,2.390080e-04,2.246240e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-10,4.496708e+00,2.387840e-04,2.244480e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-11,4.494298e+00,2.389120e-04,2.246400e-04,0.000000e+00,
