phi,m,n,function,TFLOPS,total_time[sec],standard_trsm,gemmul8_gemm,
-1.000000,1024,1024,OS2-i8-fast-3,3.559963e+00,3.016160e-04,2.864160e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-4,3.562042e+00,3.014400e-04,2.865120e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-5,3.564501e+00,3.012320e-04,2.864160e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-6,3.563176e+00,3.013440e-04,2.863520e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-7,3.563176e+00,3.013440e-04,2.864480e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-8,3.564501e+00,3.012320e-04,2.864480e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-9,3.564880e+00,3.012000e-04,2.865440e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-10,3.566206e+00,3.010880e-04,2.864000e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-11,3.565259e+00,3.011680e-04,2.865440e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-12,3.565069e+00,3.011840e-04,2.864960e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-3,3.565827e+00,3.011200e-04,2.864000e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-4,3.568671e+00,3.008800e-04,2.863360e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-5,3.566585e+00,3.010560e-04,2.863840e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-6,3.563555e+00,3.013120e-04,2.864480e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-7,3.567343e+00,3.009920e-04,2.864640e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-8,3.563176e+00,3.013440e-04,2.864000e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-9,3.566016e+00,3.011040e-04,2.864480e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-10,3.567533e+00,3.009760e-04,2.863360e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-11,3.565638e+00,3.011360e-04,2.864960e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-12,3.565448e+00,3.011520e-04,2.863520e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-3,1.528328e+00,7.025600e-04,2.959040e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-4,1.536340e+00,6.988960e-04,2.961280e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-5,1.530908e+00,7.013760e-04,2.961600e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-6,1.533812e+00,7.000480e-04,2.960640e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-7,1.530942e+00,7.013600e-04,2.960640e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-8,1.533496e+00,7.001920e-04,2.962880e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-9,1.535040e+00,6.994880e-04,2.959360e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-10,1.535988e+00,6.990560e-04,2.959040e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-11,1.532761e+00,7.005280e-04,2.959840e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-12,1.542626e+00,6.960480e-04,2.958560e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-3,1.542307e+00,6.961920e-04,2.958080e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-4,1.538735e+00,6.978080e-04,2.959680e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-5,1.544472e+00,6.952160e-04,2.960960e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-6,1.538947e+00,6.977120e-04,2.960480e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-7,1.545219e+00,6.948800e-04,2.956320e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-8,1.538453e+00,6.979360e-04,2.962080e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-9,1.541634e+00,6.964960e-04,2.959360e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-10,1.543833e+00,6.955040e-04,2.959520e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-11,1.540395e+00,6.970560e-04,2.960640e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-12,1.538312e+00,6.980000e-04,2.961280e-04,0.000000e+00,
-1.000000,1024,1024,BF16x9,3.728270e+00,2.880000e-04,,,
-1.000000,1024,1024,STRSM,3.746587e+00,2.865920e-04,,,
-1.000000,2048,2048,OS2-i8-fast-3,1.220966e+01,7.035360e-04,6.886560e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-4,1.220966e+01,7.035360e-04,6.888320e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-5,1.220799e+01,7.036320e-04,6.888160e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-6,1.221271e+01,7.033600e-04,6.886080e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-7,1.220772e+01,7.036480e-04,6.888000e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-8,1.220938e+01,7.035520e-04,6.887840e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-9,1.221021e+01,7.035040e-04,6.887200e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-10,1.220966e+01,7.035360e-04,6.887520e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-11,1.221021e+01,7.035040e-04,6.886560e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-12,1.221327e+01,7.033280e-04,6.887040e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-3,1.220799e+01,7.036320e-04,6.887200e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-4,1.220938e+01,7.035520e-04,6.888160e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-5,1.220799e+01,7.036320e-04,6.887200e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-6,1.221188e+01,7.034080e-04,6.885760e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-7,1.220577e+01,7.037600e-04,6.889280e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-8,1.221077e+01,7.034720e-04,6.887360e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-9,1.220938e+01,7.035520e-04,6.885760e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-10,1.220910e+01,7.035680e-04,6.887200e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-11,1.221327e+01,7.033280e-04,6.886560e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-12,1.221021e+01,7.035040e-04,6.886720e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-fast-3,7.799728e+00,1.101312e-03,6.979680e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-fast-4,7.769140e+00,1.105648e-03,6.983520e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-fast-5,7.784235e+00,1.103504e-03,6.978720e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-fast-6,7.774653e+00,1.104864e-03,6.982560e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-fast-7,7.777694e+00,1.104432e-03,6.980960e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-fast-8,7.780061e+00,1.104096e-03,6.980000e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-fast-9,7.764646e+00,1.106288e-03,6.984000e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-fast-10,7.787509e+00,1.103040e-03,6.977920e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-fast-11,7.785816e+00,1.103280e-03,6.979840e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-fast-12,7.777582e+00,1.104448e-03,6.979200e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-accu-3,7.784348e+00,1.103488e-03,6.980160e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-accu-4,7.800182e+00,1.101248e-03,6.980320e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-accu-5,7.793614e+00,1.102176e-03,6.980480e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-accu-6,7.786154e+00,1.103232e-03,6.978720e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-accu-7,7.795425e+00,1.101920e-03,6.977600e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-accu-8,7.776230e+00,1.104640e-03,6.983200e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-accu-9,7.765994e+00,1.106096e-03,6.981600e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-accu-10,7.789883e+00,1.102704e-03,6.978720e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-accu-11,7.779948e+00,1.104112e-03,6.978880e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-accu-12,7.783219e+00,1.103648e-03,6.980480e-04,0.000000e+00,
-1.000000,2048,2048,BF16x9,1.314089e+01,6.536800e-04,,,
-1.000000,2048,2048,STRSM,1.246624e+01,6.890560e-04,,,
-1.000000,4096,4096,OS2-i8-fast-3,3.377343e+01,2.034720e-03,1.805536e-03,2.110880e-04,
-1.000000,4096,4096,OS2-i8-fast-4,3.312919e+01,2.074288e-03,1.806512e-03,2.500800e-04,
-1.000000,4096,4096,OS2-i8-fast-5,3.272256e+01,2.100064e-03,1.806208e-03,2.765920e-04,
-1.000000,4096,4096,OS2-i8-fast-6,3.215662e+01,2.137024e-03,1.805968e-03,3.136160e-04,
-1.000000,4096,4096,OS2-i8-fast-7,3.173184e+01,2.165632e-03,1.806816e-03,3.413120e-04,
-1.000000,4096,4096,OS2-i8-fast-8,3.104803e+01,2.213328e-03,1.807616e-03,3.883200e-04,
-1.000000,4096,4096,OS2-i8-fast-9,3.059965e+01,2.245760e-03,1.807280e-03,4.210880e-04,
-1.000000,4096,4096,OS2-i8-fast-10,3.023582e+01,2.272784e-03,1.808208e-03,4.476320e-04,
-1.000000,4096,4096,OS2-i8-fast-11,2.970672e+01,2.313264e-03,1.806768e-03,4.889120e-04,
-1.000000,4096,4096,OS2-i8-fast-12,2.923715e+01,2.350416e-03,1.807856e-03,5.248640e-04,
-1.000000,4096,4096,OS2-i8-accu-3,3.253689e+01,2.112048e-03,1.807040e-03,2.879040e-04,
-1.000000,4096,4096,OS2-i8-accu-4,3.194971e+01,2.150864e-03,1.806832e-03,3.264960e-04,
-1.000000,4096,4096,OS2-i8-accu-5,3.155234e+01,2.177952e-03,1.806496e-03,3.538400e-04,
-1.000000,4096,4096,OS2-i8-accu-6,3.099627e+01,2.217024e-03,1.807104e-03,3.923840e-04,
-1.000000,4096,4096,OS2-i8-accu-7,3.061798e+01,2.244416e-03,1.806608e-03,4.198400e-04,
-1.000000,4096,4096,OS2-i8-accu-8,2.995973e+01,2.293728e-03,1.808048e-03,4.673600e-04,
-1.000000,4096,4096,OS2-i8-accu-9,2.952415e+01,2.327568e-03,1.807376e-03,5.019360e-04,
-1.000000,4096,4096,OS2-i8-accu-10,2.919661e+01,2.353680e-03,1.807712e-03,5.280000e-04,
-1.000000,4096,4096,OS2-i8-accu-11,2.866178e+01,2.397600e-03,1.808576e-03,5.720160e-04,
-1.000000,4096,4096,OS2-i8-accu-12,2.828390e+01,2.429632e-03,1.807696e-03,6.034240e-04,
