phi,m,n,function,TFLOPS,total_time[sec],standard_trsm,gemmul8_gemm,
-1.000000,1024,1024,OS2-i8-fast-3,3.621633e+00,2.964800e-04,2.817280e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-4,3.618509e+00,2.967360e-04,2.818400e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-5,3.619094e+00,2.966880e-04,2.816320e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-6,3.622611e+00,2.964000e-04,2.818080e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-7,3.619875e+00,2.966240e-04,2.818720e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-8,3.619290e+00,2.966720e-04,2.817920e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-9,3.618509e+00,2.967360e-04,2.819520e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-10,3.619875e+00,2.966240e-04,2.816000e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-11,3.621242e+00,2.965120e-04,2.817920e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-12,3.618704e+00,2.967200e-04,2.820160e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-3,3.619289e+00,2.966720e-04,2.817600e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-4,3.619680e+00,2.966400e-04,2.816000e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-5,3.619485e+00,2.966560e-04,2.818240e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-6,3.620070e+00,2.966080e-04,2.819680e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-7,3.619289e+00,2.966720e-04,2.818240e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-8,3.621438e+00,2.964960e-04,2.817600e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-9,3.618899e+00,2.967040e-04,2.818880e-04,0.000000e+00,
