phi,m,n,function,TFLOPS,total_time[sec],standard_trsm,gemmul8_gemm,
-1.000000,1024,1024,OS2-i8-fast-3,3.610333e+00,2.974080e-04,2.820960e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-4,3.615585e+00,2.969760e-04,2.821440e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-5,3.615000e+00,2.970240e-04,2.823360e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-6,3.615779e+00,2.969600e-04,2.819840e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-7,3.612470e+00,2.972320e-04,2.822720e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-8,3.616754e+00,2.968800e-04,2.819840e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-9,3.615974e+00,2.969440e-04,2.820640e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-10,3.618509e+00,2.967360e-04,2.820320e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-11,3.611304e+00,2.973280e-04,2.820320e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-12,3.620852e+00,2.965440e-04,2.819040e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-3,3.618509e+00,2.967360e-04,2.818720e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-4,3.616754e+00,2.968800e-04,2.819200e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-5,3.617534e+00,2.968160e-04,2.821920e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-6,3.619485e+00,2.966560e-04,2.818720e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-7,3.619290e+00,2.966720e-04,2.819840e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-8,3.617339e+00,2.968320e-04,2.820160e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-9,3.620266e+00,2.965920e-04,2.819840e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-10,3.617924e+00,2.967840e-04,2.820480e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-11,3.618314e+00,2.967520e-04,2.819520e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-12,3.616364e+00,2.969120e-04,2.820800e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-3,1.525791e+00,7.037280e-04,2.917280e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-4,1.529442e+00,7.020480e-04,2.913440e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-5,1.531432e+00,7.011360e-04,2.916800e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-6,1.531362e+00,7.011680e-04,2.915840e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-7,1.535180e+00,6.994240e-04,2.915040e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-8,1.534583e+00,6.996960e-04,2.912960e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-9,1.532026e+00,7.008640e-04,2.915040e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-10,1.529407e+00,7.020640e-04,2.914080e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-11,1.538594e+00,6.978720e-04,2.913600e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-12,1.534513e+00,6.997280e-04,2.914560e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-3,1.534548e+00,6.997120e-04,2.913600e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-4,1.534583e+00,6.996960e-04,2.914240e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-5,1.535672e+00,6.992000e-04,2.912320e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-6,1.534829e+00,6.995840e-04,2.917760e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-7,1.535180e+00,6.994240e-04,2.914720e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-8,1.538806e+00,6.977760e-04,2.913600e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-9,1.530105e+00,7.017440e-04,2.914400e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-10,1.533707e+00,7.000960e-04,2.912320e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-11,1.535637e+00,6.992160e-04,2.913440e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-12,1.542201e+00,6.962400e-04,2.914240e-04,0.000000e+00,
-1.000000,1024,1024,BF16x9,3.785473e+00,2.836480e-04,,,
-1.000000,1024,1024,STRSM,3.804573e+00,2.822240e-04,,,
-1.000000,2048,2048,OS2-i8-fast-3,1.240947e+01,6.922080e-04,6.771360e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-4,1.240402e+01,6.925120e-04,6.771200e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-5,1.240259e+01,6.925920e-04,6.774400e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-6,1.240460e+01,6.924800e-04,6.770720e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-7,1.240316e+01,6.925600e-04,6.772480e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-8,1.240001e+01,6.927360e-04,6.775200e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-9,1.239715e+01,6.928960e-04,6.776480e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-10,1.240890e+01,6.922400e-04,6.771200e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-11,1.240259e+01,6.925920e-04,6.774240e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-12,1.240288e+01,6.925760e-04,6.774240e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-3,1.240345e+01,6.925440e-04,6.773120e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-4,1.240058e+01,6.927040e-04,6.774560e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-5,1.240574e+01,6.924160e-04,6.774080e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-6,1.240402e+01,6.925120e-04,6.771040e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-7,1.240546e+01,6.924320e-04,6.771680e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-8,1.240374e+01,6.925280e-04,6.773280e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-9,1.240316e+01,6.925600e-04,6.772320e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-10,1.240660e+01,6.923680e-04,6.773760e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-11,1.240660e+01,6.923680e-04,6.772160e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-12,1.240288e+01,6.925760e-04,6.775040e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-fast-3,7.845778e+00,1.094848e-03,6.870880e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-fast-4,7.846696e+00,1.094720e-03,6.872000e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-fast-5,7.839134e+00,1.095776e-03,6.872800e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-fast-6,7.845778e+00,1.094848e-03,6.869920e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-fast-7,7.860367e+00,1.092816e-03,6.871040e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-fast-8,7.864282e+00,1.092272e-03,6.869600e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-fast-9,7.846925e+00,1.094688e-03,6.873440e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-fast-10,7.855306e+00,1.093520e-03,6.871520e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-fast-11,7.858066e+00,1.093136e-03,6.865760e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-fast-12,7.842111e+00,1.095360e-03,6.871360e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-accu-3,7.859446e+00,1.092944e-03,6.872800e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-accu-4,7.830673e+00,1.096960e-03,6.872960e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-accu-5,7.842455e+00,1.095312e-03,6.870080e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-accu-6,7.831129e+00,1.096896e-03,6.873600e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-accu-7,7.841768e+00,1.095408e-03,6.868960e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-accu-8,7.843027e+00,1.095232e-03,6.870080e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-accu-9,7.830901e+00,1.096928e-03,6.872640e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-accu-10,7.820862e+00,1.098336e-03,6.872960e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-accu-11,7.823712e+00,1.097936e-03,6.868640e-04,0.000000e+00,
-1.000000,2048,2048,OS2-f8-accu-12,7.840965e+00,1.095520e-03,6.872320e-04,0.000000e+00,
-1.000000,2048,2048,BF16x9,1.344025e+01,6.391200e-04,,,
-1.000000,2048,2048,STRSM,1.268569e+01,6.771360e-04,,,
-1.000000,4096,4096,OS2-i8-fast-3,3.400877e+01,2.020640e-03,1.792048e-03,2.112320e-04,
-1.000000,4096,4096,OS2-i8-fast-4,3.337504e+01,2.059008e-03,1.791776e-03,2.490880e-04,
-1.000000,4096,4096,OS2-i8-fast-5,3.294495e+01,2.085888e-03,1.792304e-03,2.758560e-04,
-1.000000,4096,4096,OS2-i8-fast-6,3.236575e+01,2.123216e-03,1.792832e-03,3.120960e-04,
-1.000000,4096,4096,OS2-i8-fast-7,3.194282e+01,2.151328e-03,1.793184e-03,3.398240e-04,
-1.000000,4096,4096,OS2-i8-fast-8,3.123817e+01,2.199856e-03,1.793392e-03,3.877120e-04,
-1.000000,4096,4096,OS2-i8-fast-9,3.076602e+01,2.233616e-03,1.794400e-03,4.204640e-04,
-1.000000,4096,4096,OS2-i8-fast-10,3.038190e+01,2.261856e-03,1.794048e-03,4.493280e-04,
-1.000000,4096,4096,OS2-i8-fast-11,2.982803e+01,2.303856e-03,1.794592e-03,4.903680e-04,
-1.000000,4096,4096,OS2-i8-fast-12,2.935445e+01,2.341024e-03,1.794192e-03,5.278720e-04,
-1.000000,4096,4096,OS2-i8-accu-3,3.277900e+01,2.096448e-03,1.789936e-03,2.883840e-04,
-1.000000,4096,4096,OS2-i8-accu-4,3.215566e+01,2.137088e-03,1.792608e-03,3.261280e-04,
-1.000000,4096,4096,OS2-i8-accu-5,3.171613e+01,2.166704e-03,1.792448e-03,3.558240e-04,
-1.000000,4096,4096,OS2-i8-accu-6,3.118419e+01,2.203664e-03,1.793520e-03,3.918080e-04,
-1.000000,4096,4096,OS2-i8-accu-7,3.081458e+01,2.230096e-03,1.793760e-03,4.184320e-04,
-1.000000,4096,4096,OS2-i8-accu-8,3.015959e+01,2.278528e-03,1.793472e-03,4.670240e-04,
-1.000000,4096,4096,OS2-i8-accu-9,2.967777e+01,2.315520e-03,1.794080e-03,5.026080e-04,
-1.000000,4096,4096,OS2-i8-accu-10,2.930478e+01,2.344992e-03,1.795328e-03,5.314560e-04,
-1.000000,4096,4096,OS2-i8-accu-11,2.881407e+01,2.384928e-03,1.794672e-03,5.714560e-04,
-1.000000,4096,4096,OS2-i8-accu-12,2.843201e+01,2.416976e-03,1.794416e-03,6.044000e-04,
-1.000000,4096,4096,OS2-f8-fast-3,2.446843e+01,2.808496e-03,2.400944e-03,0.000000e+00,
-1.000000,4096,4096,OS2-f8-fast-4,2.445895e+01,2.809584e-03,2.401904e-03,0.000000e+00,
-1.000000,4096,4096,OS2-f8-fast-5,2.447582e+01,2.807648e-03,2.401456e-03,0.000000e+00,
-1.000000,4096,4096,OS2-f8-fast-6,2.447735e+01,2.807472e-03,2.401712e-03,0.000000e+00,
-1.000000,4096,4096,OS2-f8-fast-7,2.446857e+01,2.808480e-03,2.401616e-03,0.000000e+00,
