phi,m,n,function,TFLOPS,total_time[sec],standard_trsm,gemmul8_gemm,
-1.000000,1024,1024,OS2-i8-fast-3,3.577804e+00,3.001120e-04,2.849600e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-4,3.583153e+00,2.996640e-04,2.849120e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-5,3.581240e+00,2.998240e-04,2.850240e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-6,3.580476e+00,2.998880e-04,2.848480e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-7,3.584301e+00,2.995680e-04,2.846400e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-8,3.582770e+00,2.996960e-04,2.847840e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-9,3.582579e+00,2.997120e-04,2.848480e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-10,3.582961e+00,2.996800e-04,2.848160e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-11,3.582005e+00,2.997600e-04,2.851520e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-12,3.581240e+00,2.998240e-04,2.849280e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-3,3.578567e+00,3.000480e-04,2.850560e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-4,3.580094e+00,2.999200e-04,2.849600e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-5,3.582196e+00,2.997440e-04,2.848320e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-6,3.585258e+00,2.994880e-04,2.848320e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-7,3.583726e+00,2.996160e-04,2.848960e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-8,3.582770e+00,2.996960e-04,2.849120e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-9,3.580858e+00,2.998560e-04,2.850560e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-10,3.584684e+00,2.995360e-04,2.848320e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-11,3.582387e+00,2.997280e-04,2.849440e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-12,3.584492e+00,2.995520e-04,2.847680e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-3,1.541032e+00,6.967680e-04,2.946560e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-4,1.544295e+00,6.952960e-04,2.949920e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-5,1.543939e+00,6.954560e-04,2.947200e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-6,1.546929e+00,6.941120e-04,2.948640e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-7,1.544508e+00,6.952000e-04,2.946880e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-8,1.538629e+00,6.978560e-04,2.950560e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-9,1.538947e+00,6.977120e-04,2.945760e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-10,1.541528e+00,6.965440e-04,2.948160e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-11,1.538488e+00,6.979200e-04,2.949600e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-12,1.540431e+00,6.970400e-04,2.948960e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-3,1.540855e+00,6.968480e-04,2.950720e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-4,1.539971e+00,6.972480e-04,2.949280e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-5,1.533426e+00,7.002240e-04,2.948480e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-6,1.534689e+00,6.996480e-04,2.946720e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-7,1.541103e+00,6.967360e-04,2.948960e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-8,1.543584e+00,6.956160e-04,2.949280e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-9,1.548035e+00,6.936160e-04,2.950560e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-10,1.540042e+00,6.972160e-04,2.950720e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-11,1.543265e+00,6.957600e-04,2.952640e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-12,1.541315e+00,6.966400e-04,2.950720e-04,0.000000e+00,
-1.000000,1024,1024,BF16x9,3.753922e+00,2.860320e-04,,,
-1.000000,1024,1024,STRSM,3.766987e+00,2.850400e-04,,,
-1.000000,2048,2048,OS2-i8-fast-3,1.215217e+01,7.068640e-04,6.918880e-04,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-4,1.215217e+01,7.068640e-04,6.919040e-04,0.000000e+00,
