phi,m,n,function,TFLOPS,total_time[sec],standard_trsm,gemmul8_gemm,
-1.000000,1024,1024,OS2-i8-fast-9,7.679458e+00,5.592800e-04,5.442880e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-10,7.629475e+00,5.629440e-04,5.479200e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-11,7.631427e+00,5.628000e-04,5.479680e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-12,7.631644e+00,5.627840e-04,5.479040e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-13,7.631427e+00,5.628000e-04,5.480640e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-14,7.636638e+00,5.624160e-04,5.477280e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-15,7.634900e+00,5.625440e-04,5.478880e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-16,7.631427e+00,5.628000e-04,5.478400e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-17,7.631861e+00,5.627680e-04,5.481760e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-18,7.631861e+00,5.627680e-04,5.481600e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-19,7.630560e+00,5.628640e-04,5.478560e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-20,7.631644e+00,5.627840e-04,5.480960e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-9,7.633598e+00,5.626400e-04,5.478400e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-10,7.631210e+00,5.628160e-04,5.477120e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-11,7.631427e+00,5.628000e-04,5.478080e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-12,7.630993e+00,5.628320e-04,5.479680e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-13,7.629258e+00,5.629600e-04,5.480800e-04,0.000000e+00,
