phi,m,n,function,TFLOPS,total_time[sec],standard_trsm,gemmul8_gemm,
-1.000000,1024,1024,OS2-i8-fast-9,7.726318e+00,5.558880e-04,5.405920e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-10,7.732104e+00,5.554720e-04,5.406240e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-11,7.735446e+00,5.552320e-04,5.405120e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-12,7.729655e+00,5.556480e-04,5.408160e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-13,7.732773e+00,5.554240e-04,5.408320e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-14,7.727875e+00,5.557760e-04,5.407360e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-15,7.724761e+00,5.560000e-04,5.410400e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-16,7.733886e+00,5.553440e-04,5.404800e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-17,7.730768e+00,5.555680e-04,5.407360e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-18,7.735892e+00,5.552000e-04,5.407360e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-19,7.732773e+00,5.554240e-04,5.403360e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-20,7.730991e+00,5.555520e-04,5.405280e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-9,7.736784e+00,5.551360e-04,5.405760e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-10,7.737453e+00,5.550880e-04,5.405600e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-11,7.734555e+00,5.552960e-04,5.404960e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-12,7.735223e+00,5.552480e-04,5.403840e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-13,7.728542e+00,5.557280e-04,5.410080e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-14,7.733217e+00,5.553920e-04,5.407040e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-15,7.733440e+00,5.553760e-04,5.405440e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-16,7.738791e+00,5.549920e-04,5.401600e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-17,7.732995e+00,5.554080e-04,5.404160e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-18,7.734332e+00,5.553120e-04,5.405760e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-19,7.732550e+00,5.554400e-04,5.406400e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-20,7.734109e+00,5.553280e-04,5.408320e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-9,4.631711e+00,9.272960e-04,5.406080e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-10,4.626124e+00,9.284160e-04,5.407360e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-11,4.621823e+00,9.292800e-04,5.406080e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-12,4.614513e+00,9.307520e-04,5.407360e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-13,4.621425e+00,9.293600e-04,5.408640e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-14,4.623813e+00,9.288800e-04,5.408160e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-15,4.619914e+00,9.296640e-04,5.406400e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-16,4.622857e+00,9.290720e-04,5.404480e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-17,4.620709e+00,9.295040e-04,5.408800e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-18,4.618086e+00,9.300320e-04,5.407040e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-19,4.629554e+00,9.277280e-04,5.403680e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-20,4.629315e+00,9.277760e-04,5.408320e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-9,4.630992e+00,9.274400e-04,5.406720e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-10,4.626921e+00,9.282560e-04,5.404480e-04,0.000000e+00,
