phi,m,n,function,TFLOPS,total_time[sec],standard_trsm,gemmul8_gemm,
-1.000000,1024,1024,OS2-i8-fast-9,8.254981e+00,5.202880e-04,5.057920e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-10,8.253965e+00,5.203520e-04,5.057760e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-11,8.253457e+00,5.203840e-04,5.056800e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-12,8.258536e+00,5.200640e-04,5.056000e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-13,8.260823e+00,5.199200e-04,5.056320e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-14,8.253711e+00,5.203680e-04,5.057120e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-15,8.259299e+00,5.200160e-04,5.056480e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-16,8.252189e+00,5.204640e-04,5.058080e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-17,8.250414e+00,5.205760e-04,5.059200e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-18,8.255996e+00,5.202240e-04,5.058080e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-19,8.258790e+00,5.200480e-04,5.056000e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-20,8.255235e+00,5.202720e-04,5.059040e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-9,8.253457e+00,5.203840e-04,5.058720e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-10,8.256250e+00,5.202080e-04,5.058080e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-11,8.251936e+00,5.204800e-04,5.059840e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-12,8.250921e+00,5.205440e-04,5.060160e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-13,8.249146e+00,5.206560e-04,5.060160e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-14,8.247625e+00,5.207520e-04,5.062720e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-15,8.249399e+00,5.206400e-04,5.060960e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-16,8.253204e+00,5.204000e-04,5.058080e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-17,8.253965e+00,5.203520e-04,5.060160e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-18,8.252442e+00,5.204480e-04,5.059200e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-19,8.253204e+00,5.204000e-04,5.060000e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-20,8.253457e+00,5.203840e-04,5.058880e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-9,4.733226e+00,9.074080e-04,5.096000e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-10,4.729390e+00,9.081440e-04,5.094400e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-11,4.740833e+00,9.059520e-04,5.092960e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-12,4.740247e+00,9.060640e-04,5.096640e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-13,4.736901e+00,9.067040e-04,5.093920e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-14,4.738908e+00,9.063200e-04,5.095520e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-15,4.732642e+00,9.075200e-04,5.096160e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-16,4.731307e+00,9.077760e-04,5.095680e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-17,4.736734e+00,9.067360e-04,5.096960e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-18,4.740582e+00,9.060000e-04,5.098560e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-19,4.730140e+00,9.080000e-04,5.094560e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-20,4.734312e+00,9.072000e-04,5.095520e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-9,4.738490e+00,9.064000e-04,5.095200e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-10,4.737821e+00,9.065280e-04,5.096320e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-11,4.742424e+00,9.056480e-04,5.094400e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-12,4.745107e+00,9.051360e-04,5.096960e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-13,4.735982e+00,9.068800e-04,5.095520e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-14,4.736316e+00,9.068160e-04,5.096320e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-15,4.744017e+00,9.053440e-04,5.094240e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-16,4.754520e+00,9.033440e-04,5.094240e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-17,4.742843e+00,9.055680e-04,5.096320e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-18,4.729890e+00,9.080480e-04,5.096160e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-19,4.750902e+00,9.040320e-04,5.096000e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-20,4.741419e+00,9.058400e-04,5.097120e-04,0.000000e+00,
-1.000000,1024,1024,OS1-6,2.343903e+00,1.832400e-03,,,
-1.000000,1024,1024,OS1-7,2.162500e+00,1.986112e-03,,,
-1.000000,1024,1024,OS1-8,2.000473e+00,2.146976e-03,,,
-1.000000,1024,1024,OS1-9,1.846974e+00,2.325408e-03,,,
-1.000000,1024,1024,ZTRSM,8.487541e+00,5.060320e-04,,,
-1.000000,2048,2048,OS2-i8-fast-9,1.863892e+01,1.843440e-03,1.827696e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-10,1.863925e+01,1.843408e-03,1.827824e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-11,1.863375e+01,1.843952e-03,1.828032e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-12,1.864200e+01,1.843136e-03,1.828048e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-13,1.864556e+01,1.842784e-03,1.827552e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-14,1.864087e+01,1.843248e-03,1.827776e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-15,1.864410e+01,1.842928e-03,1.827440e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-16,1.864588e+01,1.842752e-03,1.827616e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-17,1.864232e+01,1.843104e-03,1.827696e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-18,1.864329e+01,1.843008e-03,1.827760e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-19,1.863941e+01,1.843392e-03,1.827952e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-20,1.864297e+01,1.843040e-03,1.827680e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-9,1.864135e+01,1.843200e-03,1.828064e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-10,1.864669e+01,1.842672e-03,1.827328e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-11,1.864135e+01,1.843200e-03,1.827840e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-12,1.863569e+01,1.843760e-03,1.828144e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-13,1.863973e+01,1.843360e-03,1.828272e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-14,1.863876e+01,1.843456e-03,1.827792e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-15,1.864248e+01,1.843088e-03,1.827760e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-16,1.863973e+01,1.843360e-03,1.828096e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-17,1.864184e+01,1.843152e-03,1.827824e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-18,1.864281e+01,1.843056e-03,1.827424e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-19,1.864184e+01,1.843152e-03,1.827744e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-20,1.863941e+01,1.843392e-03,1.828000e-03,0.000000e+00,
-1.000000,2048,2048,OS2-f8-fast-9,1.536188e+01,2.236688e-03,1.834272e-03,0.000000e+00,
-1.000000,2048,2048,OS2-f8-fast-10,1.538775e+01,2.232928e-03,1.833952e-03,0.000000e+00,
