phi,m,n,function,TFLOPS,total_time[sec],standard_trsm,gemmul8_gemm,
-1.000000,1024,1024,OS2-i8-fast-9,8.199507e+00,5.238080e-04,5.088320e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-10,8.159628e+00,5.263680e-04,5.116800e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-11,8.162358e+00,5.261920e-04,5.117120e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-12,8.164344e+00,5.260640e-04,5.116320e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-13,8.163102e+00,5.261440e-04,5.115840e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-14,8.163598e+00,5.261120e-04,5.115840e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-15,8.164840e+00,5.260320e-04,5.116640e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-16,8.163350e+00,5.261280e-04,5.115360e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-17,8.163350e+00,5.261280e-04,5.115520e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-18,8.159380e+00,5.263840e-04,5.117120e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-19,8.162854e+00,5.261600e-04,5.116800e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-20,8.164592e+00,5.260480e-04,5.114880e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-9,8.160124e+00,5.263360e-04,5.116960e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-10,8.162358e+00,5.261920e-04,5.118080e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-11,8.159876e+00,5.263520e-04,5.118080e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-12,8.160869e+00,5.262880e-04,5.117600e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-13,8.162358e+00,5.261920e-04,5.116160e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-14,8.160372e+00,5.263200e-04,5.117120e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-15,8.162358e+00,5.261920e-04,5.116960e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-16,8.158141e+00,5.264640e-04,5.117920e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-17,8.163350e+00,5.261280e-04,5.116160e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-18,8.155662e+00,5.266240e-04,5.121120e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-19,8.161613e+00,5.262400e-04,5.118080e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-20,8.161613e+00,5.262400e-04,5.118560e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-9,4.725394e+00,9.089120e-04,5.151360e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-10,4.734312e+00,9.072000e-04,5.151360e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-11,4.739243e+00,9.062560e-04,5.151040e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-12,4.735230e+00,9.070240e-04,5.152320e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-13,4.740415e+00,9.060320e-04,5.153920e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-14,4.734061e+00,9.072480e-04,5.153120e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-15,4.738741e+00,9.063520e-04,5.152640e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-16,4.731307e+00,9.077760e-04,5.153920e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-17,4.729557e+00,9.081120e-04,5.150080e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-18,4.712453e+00,9.114080e-04,5.152800e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-19,4.718251e+00,9.102880e-04,5.152800e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-20,4.731057e+00,9.078240e-04,5.152480e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-9,4.732892e+00,9.074720e-04,5.151840e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-10,4.739661e+00,9.061760e-04,5.152320e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-11,4.745946e+00,9.049760e-04,5.151680e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-12,4.725644e+00,9.088640e-04,5.152960e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-13,4.739829e+00,9.061440e-04,5.151680e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-14,4.739996e+00,9.061120e-04,5.149440e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-15,4.722817e+00,9.094080e-04,5.152960e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-16,4.712536e+00,9.113920e-04,5.151840e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-17,4.715267e+00,9.108640e-04,5.151360e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-18,4.739076e+00,9.062880e-04,5.152320e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-19,4.737152e+00,9.066560e-04,5.150560e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-20,4.739494e+00,9.062080e-04,5.150560e-04,0.000000e+00,
-1.000000,1024,1024,OS1-6,2.340082e+00,1.835392e-03,,,
-1.000000,1024,1024,OS1-7,2.157598e+00,1.990624e-03,,,
-1.000000,1024,1024,OS1-8,1.996248e+00,2.151520e-03,,,
-1.000000,1024,1024,OS1-9,1.846529e+00,2.325968e-03,,,
-1.000000,1024,1024,ZTRSM,8.393329e+00,5.117120e-04,,,
-1.000000,2048,2048,OS2-i8-fast-9,1.852557e+01,1.854720e-03,1.839872e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-10,1.851918e+01,1.855360e-03,1.840336e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-11,1.852605e+01,1.854672e-03,1.839696e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-12,1.852764e+01,1.854512e-03,1.839856e-03,0.000000e+00,
