phi,m,n,function,TFLOPS,total_time[sec],standard_trsm,gemmul8_gemm,
-1.000000,1024,1024,OS2-i8-fast-9,8.148482e+00,5.270880e-04,5.119840e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-10,8.127758e+00,5.284320e-04,5.136160e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-11,8.129973e+00,5.282880e-04,5.135680e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-12,8.129481e+00,5.283200e-04,5.137440e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-13,8.131451e+00,5.281920e-04,5.136960e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-14,8.130219e+00,5.282720e-04,5.138240e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-15,8.127266e+00,5.284640e-04,5.139520e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-16,8.128250e+00,5.284000e-04,5.137280e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-17,8.130712e+00,5.282400e-04,5.135360e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-18,8.130466e+00,5.282560e-04,5.136320e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-19,8.125052e+00,5.286080e-04,5.138400e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-20,8.131944e+00,5.281600e-04,5.134240e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-9,8.129481e+00,5.283200e-04,5.136480e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-10,8.128989e+00,5.283520e-04,5.137280e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-11,8.128742e+00,5.283680e-04,5.135360e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-12,8.130958e+00,5.282240e-04,5.136480e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-13,8.127512e+00,5.284480e-04,5.137120e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-14,8.132190e+00,5.281440e-04,5.134720e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-15,8.132436e+00,5.281280e-04,5.135360e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-16,8.128496e+00,5.283840e-04,5.137600e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-17,8.132682e+00,5.281120e-04,5.136480e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-18,8.128004e+00,5.284160e-04,5.136000e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-19,8.131697e+00,5.281760e-04,5.135200e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-20,8.129727e+00,5.283040e-04,5.136480e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-9,4.654520e+00,9.227520e-04,5.197920e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-10,4.674133e+00,9.188800e-04,5.196000e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-11,4.680163e+00,9.176960e-04,5.197440e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-12,4.671042e+00,9.194880e-04,5.197120e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-13,4.679021e+00,9.179200e-04,5.198080e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-14,4.664468e+00,9.207840e-04,5.196960e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-15,4.679919e+00,9.177440e-04,5.198400e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-16,4.665360e+00,9.206080e-04,5.197920e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-17,4.690714e+00,9.156320e-04,5.197440e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-18,4.684574e+00,9.168320e-04,5.198080e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-19,4.681959e+00,9.173440e-04,5.200160e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-20,4.695062e+00,9.147840e-04,5.195840e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-9,4.677309e+00,9.182560e-04,5.198880e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-10,4.688747e+00,9.160160e-04,5.199840e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-11,4.683511e+00,9.170400e-04,5.197920e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-12,4.688501e+00,9.160640e-04,5.194240e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-13,4.680163e+00,9.176960e-04,5.198720e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-14,4.684492e+00,9.168480e-04,5.198720e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-15,4.688501e+00,9.160640e-04,5.198560e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-16,4.692107e+00,9.153600e-04,5.198240e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-17,4.683593e+00,9.170240e-04,5.197600e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-18,4.691123e+00,9.155520e-04,5.196000e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-19,4.667225e+00,9.202400e-04,5.199680e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-accu-20,4.682368e+00,9.172640e-04,5.198560e-04,0.000000e+00,
-1.000000,1024,1024,OS1-6,2.356909e+00,1.822288e-03,,,
-1.000000,1024,1024,OS1-7,2.172001e+00,1.977424e-03,,,
-1.000000,1024,1024,OS1-8,2.008481e+00,2.138416e-03,,,
-1.000000,1024,1024,OS1-9,1.853644e+00,2.317040e-03,,,
-1.000000,1024,1024,ZTRSM,8.358830e+00,5.138240e-04,,,
-1.000000,2048,2048,OS2-i8-fast-9,1.855053e+01,1.852224e-03,1.837248e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-10,1.855293e+01,1.851984e-03,1.837072e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-11,1.854845e+01,1.852432e-03,1.837472e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-12,1.855454e+01,1.851824e-03,1.836896e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-13,1.855069e+01,1.852208e-03,1.837264e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-14,1.854797e+01,1.852480e-03,1.837568e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-15,1.854813e+01,1.852464e-03,1.837584e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-16,1.854765e+01,1.852512e-03,1.837792e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-17,1.855117e+01,1.852160e-03,1.837488e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-18,1.854749e+01,1.852528e-03,1.838016e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-19,1.855662e+01,1.851616e-03,1.836944e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-fast-20,1.855037e+01,1.852240e-03,1.837440e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-9,1.854925e+01,1.852352e-03,1.837680e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-10,1.855871e+01,1.851408e-03,1.836864e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-11,1.854797e+01,1.852480e-03,1.837520e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-12,1.855181e+01,1.852096e-03,1.837136e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-13,1.854492e+01,1.852784e-03,1.838064e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-14,1.854524e+01,1.852752e-03,1.837680e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-15,1.855117e+01,1.852160e-03,1.837504e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-16,1.855085e+01,1.852192e-03,1.837568e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-17,1.854348e+01,1.852928e-03,1.838096e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-18,1.854332e+01,1.852944e-03,1.838128e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-19,1.854717e+01,1.852560e-03,1.837776e-03,0.000000e+00,
-1.000000,2048,2048,OS2-i8-accu-20,1.854300e+01,1.852976e-03,1.837760e-03,0.000000e+00,
-1.000000,2048,2048,OS2-f8-fast-9,1.536122e+01,2.236784e-03,1.838272e-03,0.000000e+00,
-1.000000,2048,2048,OS2-f8-fast-10,1.535441e+01,2.237776e-03,1.838480e-03,0.000000e+00,
-1.000000,2048,2048,OS2-f8-fast-11,1.535310e+01,2.237968e-03,1.838272e-03,0.000000e+00,
-1.000000,2048,2048,OS2-f8-fast-12,1.535650e+01,2.237472e-03,1.838400e-03,0.000000e+00,
