phi,m,n,function,TFLOPS,total_time[sec],standard_trsm,gemmul8_gemm,
-1.000000,1024,1024,OS2-i8-fast-9,8.239271e+00,5.212800e-04,5.065280e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-10,8.189001e+00,5.244800e-04,5.097600e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-11,8.191500e+00,5.243200e-04,5.096960e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-12,8.188502e+00,5.245120e-04,5.096320e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-13,8.185256e+00,5.247200e-04,5.099200e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-14,8.187502e+00,5.245760e-04,5.097920e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-15,8.190500e+00,5.243840e-04,5.098400e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-16,8.190750e+00,5.243680e-04,5.097440e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-17,8.188002e+00,5.245440e-04,5.099040e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-18,8.187752e+00,5.245600e-04,5.100160e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-19,8.194001e+00,5.241600e-04,5.096640e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-fast-20,8.189751e+00,5.244320e-04,5.099360e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-9,8.193000e+00,5.242240e-04,5.097120e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-10,8.189501e+00,5.244480e-04,5.099040e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-11,8.190250e+00,5.244000e-04,5.098880e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-12,8.189001e+00,5.244800e-04,5.098400e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-13,8.185505e+00,5.247040e-04,5.098720e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-14,8.186753e+00,5.246240e-04,5.100160e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-15,8.192500e+00,5.242560e-04,5.096960e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-16,8.185256e+00,5.247200e-04,5.097600e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-17,8.184257e+00,5.247840e-04,5.098720e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-18,8.190750e+00,5.243680e-04,5.099520e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-19,8.190250e+00,5.244000e-04,5.097280e-04,0.000000e+00,
-1.000000,1024,1024,OS2-i8-accu-20,8.189501e+00,5.244480e-04,5.096160e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-9,4.700817e+00,9.136640e-04,5.133600e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-10,4.702629e+00,9.133120e-04,5.134880e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-11,4.710220e+00,9.118400e-04,5.133440e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-12,4.702958e+00,9.132480e-04,5.133280e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-13,4.721155e+00,9.097280e-04,5.130560e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-14,4.721322e+00,9.096960e-04,5.134080e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-15,4.722152e+00,9.095360e-04,5.133120e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-16,4.712205e+00,9.114560e-04,5.131840e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-17,4.712039e+00,9.114880e-04,5.133280e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-18,4.709394e+00,9.120000e-04,5.131520e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-19,4.713446e+00,9.112160e-04,5.134400e-04,0.000000e+00,
-1.000000,1024,1024,OS2-f8-fast-20,4.717422e+00,9.104480e-04,5.132800e-04,0.000000e+00,
