phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-3,8.695674e+00,1.646400e-04,3.232000e-05,8.598400e-05,2.009600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-4,7.070044e+00,2.024960e-04,3.540800e-05,1.141760e-04,2.580800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-5,5.902275e+00,2.425600e-04,3.820800e-05,1.429760e-04,3.305600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-6,5.093265e+00,2.810880e-04,4.124800e-05,1.714400e-04,3.888000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-7,4.903468e+00,2.919680e-04,4.416000e-05,1.748320e-04,4.252800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-8,4.272273e+00,3.351040e-04,5.025600e-05,2.034080e-04,4.950400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-9,4.143673e+00,3.455040e-04,5.390400e-05,2.073120e-04,5.182400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-10,3.688009e+00,3.881920e-04,5.763200e-05,2.361440e-04,6.067200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-11,3.590773e+00,3.987040e-04,6.155200e-05,2.387520e-04,6.398400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-12,3.250926e+00,4.403840e-04,6.585600e-05,2.686240e-04,7.040000e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-3,6.663575e+00,2.148480e-04,8.302400e-05,8.552000e-05,2.008000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-4,5.631828e+00,2.542080e-04,8.662400e-05,1.139200e-04,2.608000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-5,4.797774e+00,2.984000e-04,9.526400e-05,1.423520e-04,3.323200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-6,4.210752e+00,3.400000e-04,9.953600e-05,1.722080e-04,3.811200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-7,4.054488e+00,3.531040e-04,1.054560e-04,1.750400e-04,4.152000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-8,3.646825e+00,3.925760e-04,1.073600e-04,2.041440e-04,4.940800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-9,3.556096e+00,4.025920e-04,1.104640e-04,2.069920e-04,5.232000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-10,3.205620e+00,4.466080e-04,1.139200e-04,2.381120e-04,6.027200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-11,3.150984e+00,4.543520e-04,1.172480e-04,2.394880e-04,6.254400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-12,2.907506e+00,4.924000e-04,1.183520e-04,2.680320e-04,7.012800e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-3,7.151413e+00,2.001920e-04,3.916800e-05,1.088000e-04,2.588800e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-4,5.670373e+00,2.524800e-04,4.376000e-05,1.460320e-04,3.473600e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-5,4.705926e+00,3.042240e-04,4.899200e-05,1.829760e-04,4.379200e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-6,3.975585e+00,3.601120e-04,5.814400e-05,2.200800e-04,5.272000e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-7,3.408185e+00,4.200640e-04,6.944000e-05,2.576160e-04,6.243200e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-8,2.975574e+00,4.811360e-04,8.268800e-05,2.956320e-04,7.065600e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-9,2.624233e+00,5.455520e-04,9.780800e-05,3.341600e-04,8.046400e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-10,2.487241e+00,5.756000e-04,1.065120e-04,3.480480e-04,8.588800e-05,1.027200e-05,
-1.000000,1024,OS2-f8-fast-11,2.240771e+00,6.389120e-04,1.189600e-04,3.872480e-04,9.588800e-05,1.030400e-05,
-1.000000,1024,OS2-f8-fast-12,2.128768e+00,6.725280e-04,1.324160e-04,4.004480e-04,1.018560e-04,1.228800e-05,
-1.000000,1024,OS2-f8-accu-3,6.098588e+00,2.347520e-04,7.318400e-05,1.088640e-04,2.556800e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-4,4.972132e+00,2.879360e-04,7.873600e-05,1.461440e-04,3.449600e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-5,4.220484e+00,3.392160e-04,8.419200e-05,1.826880e-04,4.334400e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-6,3.639408e+00,3.933760e-04,8.953600e-05,2.205600e-04,5.260800e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-7,3.189623e+00,4.488480e-04,9.832000e-05,2.573280e-04,6.174400e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-8,2.838064e+00,5.044480e-04,1.053600e-04,2.960320e-04,7.067200e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-9,2.532434e+00,5.653280e-04,1.177920e-04,3.331040e-04,8.054400e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-10,2.414748e+00,5.928800e-04,1.235520e-04,3.481280e-04,8.603200e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-11,2.194230e+00,6.524640e-04,1.333440e-04,3.865760e-04,9.547200e-05,1.060800e-05,
-1.000000,1024,OS2-f8-accu-12,2.097431e+00,6.825760e-04,1.427840e-04,4.010240e-04,1.010080e-04,1.228800e-05,
-1.000000,1024,BF16x9,2.064094e+01,6.936000e-05,,,,,
-1.000000,1024,CTRTRMM (GEMM),9.607912e+00,1.490080e-04,,,,,
-1.000000,2048,OS2-i8-fast-3,4.461655e+01,2.567040e-04,6.812800e-05,1.179520e-04,3.116800e-05,2.252800e-05,
-1.000000,2048,OS2-i8-fast-4,3.596764e+01,3.184320e-04,7.892800e-05,1.576800e-04,4.160000e-05,2.252800e-05,
-1.000000,2048,OS2-i8-fast-5,3.058179e+01,3.745120e-04,8.592000e-05,1.965920e-04,5.152000e-05,2.252800e-05,
-1.000000,2048,OS2-i8-fast-6,2.638900e+01,4.340160e-04,9.620800e-05,2.344960e-04,6.158400e-05,2.252800e-05,
-1.000000,2048,OS2-i8-fast-7,2.419073e+01,4.734560e-04,1.056160e-04,2.544480e-04,6.886400e-05,2.457600e-05,
-1.000000,2048,OS2-i8-fast-8,2.112833e+01,5.420800e-04,1.237600e-04,2.922240e-04,7.907200e-05,2.457600e-05,
-1.000000,2048,OS2-i8-fast-9,1.975624e+01,5.797280e-04,1.355840e-04,3.112640e-04,8.513600e-05,2.457600e-05,
-1.000000,2048,OS2-i8-fast-10,1.779206e+01,6.437280e-04,1.473120e-04,3.503360e-04,9.577600e-05,2.662400e-05,
-1.000000,2048,OS2-i8-fast-11,1.681452e+01,6.811520e-04,1.584000e-04,3.690880e-04,1.025280e-04,2.662400e-05,
-1.000000,2048,OS2-i8-fast-12,1.536903e+01,7.452160e-04,1.708480e-04,4.079360e-04,1.128960e-04,2.867200e-05,
-1.000000,2048,OS2-i8-accu-3,3.344209e+01,3.424800e-04,1.539200e-04,1.185920e-04,3.113600e-05,2.252800e-05,
-1.000000,2048,OS2-i8-accu-4,2.836310e+01,4.038080e-04,1.643840e-04,1.577120e-04,4.121600e-05,2.252800e-05,
-1.000000,2048,OS2-i8-accu-5,2.482497e+01,4.613600e-04,1.716000e-04,1.966240e-04,5.142400e-05,2.252800e-05,
-1.000000,2048,OS2-i8-accu-6,2.203225e+01,5.198400e-04,1.819200e-04,2.340320e-04,6.156800e-05,2.252800e-05,
-1.000000,2048,OS2-i8-accu-7,2.046567e+01,5.596320e-04,1.916160e-04,2.544960e-04,6.884800e-05,2.457600e-05,
-1.000000,2048,OS2-i8-accu-8,1.831090e+01,6.254880e-04,2.070880e-04,2.926080e-04,7.870400e-05,2.457600e-05,
-1.000000,2048,OS2-i8-accu-9,1.734289e+01,6.604000e-04,2.172480e-04,3.111200e-04,8.510400e-05,2.457600e-05,
-1.000000,2048,OS2-i8-accu-10,1.582990e+01,7.235200e-04,2.279520e-04,3.492160e-04,9.536000e-05,2.662400e-05,
-1.000000,2048,OS2-i8-accu-11,1.506721e+01,7.601440e-04,2.353120e-04,3.703360e-04,1.022880e-04,2.662400e-05,
-1.000000,2048,OS2-i8-accu-12,1.397938e+01,8.192960e-04,2.462240e-04,4.055520e-04,1.124480e-04,2.870400e-05,
-1.000000,2048,OS2-f8-fast-3,2.428758e+01,4.715680e-04,9.228800e-05,2.846720e-04,5.564800e-05,2.249600e-05,
-1.000000,2048,OS2-f8-fast-4,1.892273e+01,6.052640e-04,1.098240e-04,3.808640e-04,7.438400e-05,2.249600e-05,
-1.000000,2048,OS2-f8-fast-5,1.554829e+01,7.366240e-04,1.281600e-04,4.743680e-04,9.286400e-05,2.249600e-05,
-1.000000,2048,OS2-f8-fast-6,1.294702e+01,8.846240e-04,1.585600e-04,5.692160e-04,1.117280e-04,2.454400e-05,
-1.000000,2048,OS2-f8-fast-7,1.105782e+01,1.035760e-03,1.917120e-04,6.672800e-04,1.299520e-04,2.457600e-05,
-1.000000,2048,OS2-f8-fast-8,9.642208e+00,1.187824e-03,2.299520e-04,7.614400e-04,1.488320e-04,2.457600e-05,
-1.000000,2048,OS2-f8-fast-9,8.522674e+00,1.343856e-03,2.671360e-04,8.584000e-04,1.682880e-04,2.662400e-05,
-1.000000,2048,OS2-f8-fast-10,7.906730e+00,1.448544e-03,3.027040e-04,9.086240e-04,1.873280e-04,2.662400e-05,
-1.000000,2048,OS2-f8-fast-11,7.149057e+00,1.602064e-03,3.370240e-04,1.005136e-03,2.064640e-04,2.867200e-05,
-1.000000,2048,OS2-f8-fast-12,6.698244e+00,1.709888e-03,3.761120e-04,1.054336e-03,2.231840e-04,2.870400e-05,
-1.000000,2048,OS2-f8-accu-3,2.105686e+01,5.439200e-04,1.639680e-04,2.844480e-04,5.561600e-05,2.252800e-05,
-1.000000,2048,OS2-f8-accu-4,1.686046e+01,6.792960e-04,1.842720e-04,3.797600e-04,7.438400e-05,2.252800e-05,
-1.000000,2048,OS2-f8-accu-5,1.415519e+01,8.091200e-04,2.015200e-04,4.731040e-04,9.254400e-05,2.249600e-05,
-1.000000,2048,OS2-f8-accu-6,1.208679e+01,9.475840e-04,2.236960e-04,5.685440e-04,1.120160e-04,2.252800e-05,
-1.000000,2048,OS2-f8-accu-7,1.048417e+01,1.092432e-03,2.511040e-04,6.651200e-04,1.296960e-04,2.457600e-05,
-1.000000,2048,OS2-f8-accu-8,9.271421e+00,1.235328e-03,2.801920e-04,7.591520e-04,1.492640e-04,2.457600e-05,
-1.000000,2048,OS2-f8-accu-9,8.274702e+00,1.384128e-03,3.075360e-04,8.579520e-04,1.681440e-04,2.662400e-05,
-1.000000,2048,OS2-f8-accu-10,7.733079e+00,1.481072e-03,3.340160e-04,9.077920e-04,1.885920e-04,2.662400e-05,
-1.000000,2048,OS2-f8-accu-11,7.058611e+00,1.622592e-03,3.606240e-04,1.004544e-03,2.023520e-04,2.867200e-05,
-1.000000,2048,OS2-f8-accu-12,6.649215e+00,1.722496e-03,3.903680e-04,1.053936e-03,2.230720e-04,2.873600e-05,
-1.000000,2048,BF16x9,3.527984e+01,3.246400e-04,,,,,
-1.000000,2048,CTRTRMM (GEMM),1.177736e+01,9.724800e-04,,,,,
-1.000000,4096,OS2-i8-fast-3,1.326037e+02,6.909760e-04,1.969920e-04,3.275840e-04,7.648000e-05,7.372800e-05,
-1.000000,4096,OS2-i8-fast-4,1.056534e+02,8.672320e-04,2.340960e-04,4.400000e-04,1.014080e-04,7.372800e-05,
-1.000000,4096,OS2-i8-fast-5,8.939328e+01,1.024976e-03,2.526560e-04,5.508800e-04,1.280160e-04,7.376000e-05,
-1.000000,4096,OS2-i8-fast-6,7.686742e+01,1.192000e-03,2.818080e-04,6.615360e-04,1.525600e-04,7.577600e-05,
-1.000000,4096,OS2-i8-fast-7,6.744503e+01,1.358528e-03,3.118240e-04,7.708320e-04,1.777280e-04,7.577600e-05,
-1.000000,4096,OS2-i8-fast-8,5.975440e+01,1.533376e-03,3.728960e-04,8.573120e-04,2.028320e-04,7.782400e-05,
-1.000000,4096,OS2-i8-fast-9,5.371613e+01,1.705744e-03,4.061280e-04,9.671200e-04,2.282560e-04,7.984000e-05,
-1.000000,4096,OS2-i8-fast-10,4.925958e+01,1.860064e-03,4.466240e-04,1.052320e-03,2.525920e-04,8.192000e-05,
-1.000000,4096,OS2-i8-fast-11,4.497395e+01,2.037312e-03,4.845760e-04,1.161408e-03,2.784480e-04,8.601600e-05,
-1.000000,4096,OS2-i8-fast-12,4.175384e+01,2.194432e-03,5.278720e-04,1.247392e-03,3.026720e-04,8.809600e-05,
-1.000000,4096,OS2-i8-accu-3,9.923275e+01,9.233440e-04,4.275200e-04,3.292800e-04,7.648000e-05,7.372800e-05,
-1.000000,4096,OS2-i8-accu-4,8.394715e+01,1.091472e-03,4.590240e-04,4.397760e-04,1.012800e-04,7.372800e-05,
-1.000000,4096,OS2-i8-accu-5,7.279019e+01,1.258768e-03,4.865440e-04,5.504640e-04,1.282240e-04,7.374400e-05,
-1.000000,4096,OS2-i8-accu-6,6.420557e+01,1.427072e-03,5.168960e-04,6.602720e-04,1.528000e-04,7.577600e-05,
-1.000000,4096,OS2-i8-accu-7,5.747544e+01,1.594176e-03,5.480640e-04,7.697920e-04,1.778560e-04,7.584000e-05,
-1.000000,4096,OS2-i8-accu-8,5.193133e+01,1.764368e-03,6.037120e-04,8.566880e-04,2.025760e-04,7.782400e-05,
-1.000000,4096,OS2-i8-accu-9,4.742663e+01,1.931952e-03,6.341280e-04,9.656480e-04,2.282240e-04,7.987200e-05,
-1.000000,4096,OS2-i8-accu-10,4.399883e+01,2.082464e-03,6.719520e-04,1.051088e-03,2.525120e-04,8.192000e-05,
-1.000000,4096,OS2-i8-accu-11,4.058729e+01,2.257504e-03,7.069600e-04,1.160288e-03,2.783680e-04,8.601600e-05,
-1.000000,4096,OS2-i8-accu-12,3.801478e+01,2.410272e-03,7.447520e-04,1.247568e-03,3.028160e-04,8.806400e-05,
-1.000000,4096,OS2-f8-fast-3,6.624662e+01,1.383104e-03,2.847680e-04,8.313600e-04,1.766080e-04,7.372800e-05,
-1.000000,4096,OS2-f8-fast-4,5.144937e+01,1.780896e-03,3.431680e-04,1.111600e-03,2.321120e-04,7.576000e-05,
-1.000000,4096,OS2-f8-fast-5,4.210350e+01,2.176208e-03,4.002080e-04,1.387760e-03,2.914560e-04,7.628800e-05,
-1.000000,4096,OS2-f8-fast-6,3.504494e+01,2.614528e-03,4.962240e-04,1.666256e-03,3.537600e-04,7.779200e-05,
