phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-3,8.671236e+00,1.651040e-04,3.360000e-05,8.505600e-05,1.971200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-4,6.998161e+00,2.045760e-04,3.792000e-05,1.128960e-04,2.648000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-5,5.785870e+00,2.474400e-04,4.297600e-05,1.419040e-04,3.406400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-6,4.980157e+00,2.874720e-04,4.769600e-05,1.698400e-04,4.065600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-7,4.794175e+00,2.986240e-04,5.267200e-05,1.739840e-04,4.155200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-8,4.150015e+00,3.449760e-04,5.985600e-05,2.039200e-04,4.972800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-9,4.010330e+00,3.569920e-04,6.361600e-05,2.077760e-04,5.348800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-10,3.605968e+00,3.970240e-04,6.742400e-05,2.368480e-04,5.955200e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-11,3.510199e+00,4.078560e-04,7.078400e-05,2.404000e-04,6.265600e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-12,3.189736e+00,4.488320e-04,7.424000e-05,2.697120e-04,6.944000e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-3,6.569157e+00,2.179360e-04,8.740800e-05,8.550400e-05,1.996800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-4,5.499938e+00,2.603040e-04,9.217600e-05,1.139040e-04,2.708800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-5,4.808603e+00,2.977280e-04,9.363200e-05,1.416640e-04,3.387200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-6,4.237072e+00,3.378880e-04,9.828800e-05,1.706240e-04,3.955200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-7,4.115278e+00,3.478880e-04,1.021920e-04,1.740000e-04,4.096000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-8,3.674379e+00,3.896320e-04,1.043520e-04,2.042560e-04,4.942400e-05,1.024000e-05,
