phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-3,1.669530e+01,1.715040e-04,3.918400e-05,8.592000e-05,2.012800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-4,1.355940e+01,2.111680e-04,4.216000e-05,1.139840e-04,2.748800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-5,1.136163e+01,2.520160e-04,4.532800e-05,1.424320e-04,3.563200e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-6,9.782812e+00,2.926880e-04,4.875200e-05,1.726400e-04,4.196800e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-7,9.441148e+00,3.032800e-04,5.134400e-05,1.744960e-04,4.513600e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-8,8.273554e+00,3.460800e-04,5.520000e-05,2.051520e-04,5.248000e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-9,8.018504e+00,3.570880e-04,5.872000e-05,2.079200e-04,5.531200e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-10,7.186161e+00,3.984480e-04,6.180800e-05,2.385920e-04,6.288000e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-11,7.008850e+00,4.085280e-04,6.568000e-05,2.400480e-04,6.612800e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-12,6.335657e+00,4.519360e-04,6.824000e-05,2.703680e-04,7.329600e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-3,1.253903e+01,2.283520e-04,9.576000e-05,8.582400e-05,2.054400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-4,1.092600e+01,2.620640e-04,9.270400e-05,1.141120e-04,2.747200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-5,9.287299e+00,3.083040e-04,1.023360e-04,1.432320e-04,3.409600e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-6,8.180516e+00,3.500160e-04,1.067680e-04,1.726400e-04,4.083200e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-7,7.916699e+00,3.616800e-04,1.106080e-04,1.751520e-04,4.436800e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-8,7.043332e+00,4.065280e-04,1.141280e-04,2.064480e-04,5.224000e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-9,6.876877e+00,4.163680e-04,1.174400e-04,2.089920e-04,5.496000e-05,1.225600e-05,
-1.000000,1024,OS2-i8-accu-10,6.233046e+00,4.593760e-04,1.220160e-04,2.390880e-04,6.201600e-05,1.225600e-05,
-1.000000,1024,OS2-i8-accu-11,6.098380e+00,4.695200e-04,1.265760e-04,2.404800e-04,6.465600e-05,1.227200e-05,
-1.000000,1024,OS2-i8-accu-12,5.583158e+00,5.128480e-04,1.294880e-04,2.710560e-04,7.195200e-05,1.433600e-05,
-1.000000,1024,OS2-f8-fast-3,1.386296e+01,2.065440e-04,4.281600e-05,1.085440e-04,2.828800e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-4,1.105696e+01,2.589600e-04,4.710400e-05,1.459680e-04,3.785600e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-5,9.212240e+00,3.108160e-04,5.168000e-05,1.829280e-04,4.742400e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-6,7.842455e+00,3.651040e-04,5.592000e-05,2.203840e-04,5.769600e-05,1.227200e-05,
-1.000000,1024,OS2-f8-fast-7,6.780471e+00,4.222880e-04,6.379200e-05,2.576640e-04,6.787200e-05,1.228800e-05,
-1.000000,1024,OS2-f8-fast-8,5.965829e+00,4.799520e-04,7.110400e-05,2.960480e-04,7.908800e-05,1.225600e-05,
-1.000000,1024,OS2-f8-fast-9,5.264369e+00,5.439040e-04,8.542400e-05,3.349120e-04,8.860800e-05,1.228800e-05,
-1.000000,1024,OS2-f8-fast-10,4.984596e+00,5.744320e-04,8.873600e-05,3.506720e-04,9.752000e-05,1.433600e-05,
-1.000000,1024,OS2-f8-fast-11,4.510686e+00,6.347840e-04,9.814400e-05,3.885920e-04,1.090240e-04,1.433600e-05,
-1.000000,1024,OS2-f8-fast-12,4.300196e+00,6.658560e-04,1.072320e-04,4.024320e-04,1.144960e-04,1.433600e-05,
-1.000000,1024,OS2-f8-accu-3,1.180689e+01,2.425120e-04,7.792000e-05,1.088800e-04,2.817600e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-4,9.743928e+00,2.938560e-04,8.142400e-05,1.463360e-04,3.795200e-05,1.022400e-05,
-1.000000,1024,OS2-f8-accu-5,8.236996e+00,3.476160e-04,8.788800e-05,1.831520e-04,4.785600e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-6,7.141425e+00,4.009440e-04,9.204800e-05,2.203040e-04,5.806400e-05,1.027200e-05,
-1.000000,1024,OS2-f8-accu-7,6.250680e+00,4.580800e-04,9.921600e-05,2.581760e-04,6.790400e-05,1.228800e-05,
-1.000000,1024,OS2-f8-accu-8,5.556462e+00,5.153120e-04,1.069280e-04,2.960000e-04,7.846400e-05,1.225600e-05,
-1.000000,1024,OS2-f8-accu-9,4.928586e+00,5.809600e-04,1.219040e-04,3.348160e-04,8.873600e-05,1.225600e-05,
-1.000000,1024,OS2-f8-accu-10,4.674581e+00,6.125280e-04,1.264640e-04,3.505760e-04,9.726400e-05,1.433600e-05,
-1.000000,1024,OS2-f8-accu-11,4.277685e+00,6.693600e-04,1.346400e-04,3.881440e-04,1.069760e-04,1.433600e-05,
-1.000000,1024,OS2-f8-accu-12,4.085123e+00,7.009120e-04,1.437280e-04,4.018240e-04,1.144000e-04,1.433600e-05,
-1.000000,1024,BF16x9,4.019698e+01,7.123200e-05,,,,,
-1.000000,1024,CTRTRMM (GEMM),1.931955e+01,1.482080e-04,,,,,
-1.000000,2048,OS2-i8-fast-3,8.445350e+01,2.712320e-04,7.708800e-05,1.208000e-04,3.481600e-05,2.252800e-05,
-1.000000,2048,OS2-i8-fast-4,6.787994e+01,3.374560e-04,8.673600e-05,1.618880e-04,4.758400e-05,2.457600e-05,
-1.000000,2048,OS2-i8-fast-5,5.713140e+01,4.009440e-04,9.768000e-05,2.012160e-04,5.913600e-05,2.454400e-05,
-1.000000,2048,OS2-i8-fast-6,4.909656e+01,4.665600e-04,1.099360e-04,2.402720e-04,7.028800e-05,2.662400e-05,
-1.000000,2048,OS2-i8-fast-7,4.463046e+01,5.132480e-04,1.207040e-04,2.607360e-04,8.305600e-05,2.867200e-05,
-1.000000,2048,OS2-i8-fast-8,3.969544e+01,5.770560e-04,1.316160e-04,2.988960e-04,9.400000e-05,3.072000e-05,
-1.000000,2048,OS2-i8-fast-9,3.680065e+01,6.224480e-04,1.444320e-04,3.167200e-04,1.068160e-04,3.276800e-05,
-1.000000,2048,OS2-i8-fast-10,3.325179e+01,6.888800e-04,1.551840e-04,3.615520e-04,1.150560e-04,3.473600e-05,
-1.000000,2048,OS2-i8-fast-11,3.141939e+01,7.290560e-04,1.657760e-04,3.756000e-04,1.275680e-04,3.659200e-05,
-1.000000,2048,OS2-i8-fast-12,2.886810e+01,7.934880e-04,1.764640e-04,4.141120e-04,1.395040e-04,3.686400e-05,
-1.000000,2048,OS2-i8-accu-3,6.169866e+01,3.712640e-04,1.776640e-04,1.202560e-04,3.507200e-05,2.252800e-05,
-1.000000,2048,OS2-i8-accu-4,5.216074e+01,4.391520e-04,1.884480e-04,1.610080e-04,4.798400e-05,2.457600e-05,
-1.000000,2048,OS2-i8-accu-5,4.571497e+01,5.010720e-04,1.984640e-04,2.005920e-04,5.891200e-05,2.457600e-05,
-1.000000,2048,OS2-i8-accu-6,4.058556e+01,5.644000e-04,2.077440e-04,2.408800e-04,6.987200e-05,2.662400e-05,
