phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-3,8.814746e+00,1.624160e-04,3.067200e-05,8.598400e-05,1.910400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-4,7.100340e+00,2.016320e-04,3.424000e-05,1.141600e-04,2.595200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-5,5.950950e+00,2.405760e-04,3.657600e-05,1.426080e-04,3.297600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-6,5.114225e+00,2.799360e-04,4.080000e-05,1.713280e-04,3.862400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-7,4.963857e+00,2.884160e-04,4.339200e-05,1.729920e-04,4.128000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-8,4.317210e+00,3.316160e-04,5.024000e-05,2.027200e-04,4.750400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-9,4.151171e+00,3.448800e-04,5.374400e-05,2.073600e-04,5.112000e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-10,3.708184e+00,3.860800e-04,5.766400e-05,2.368480e-04,5.764800e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-11,3.609459e+00,3.966400e-04,6.136000e-05,2.385600e-04,6.148800e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-12,3.277480e+00,4.368160e-04,6.488000e-05,2.685440e-04,6.796800e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-3,6.750037e+00,2.120960e-04,8.142400e-05,8.504000e-05,1.828800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-4,5.619802e+00,2.547520e-04,8.619200e-05,1.138240e-04,2.667200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-5,4.831713e+00,2.963040e-04,9.348800e-05,1.417440e-04,3.241600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-6,4.237674e+00,3.378400e-04,9.814400e-05,1.717120e-04,3.830400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-7,4.138690e+00,3.459200e-04,1.014080e-04,1.729600e-04,4.048000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-8,3.695473e+00,3.874080e-04,1.049600e-04,2.034240e-04,4.657600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-9,3.584875e+00,3.993600e-04,1.074400e-04,2.066880e-04,5.190400e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-10,3.249745e+00,4.405440e-04,1.121440e-04,2.376480e-04,5.707200e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-11,3.173896e+00,4.510720e-04,1.155840e-04,2.398400e-04,6.112000e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-12,2.910343e+00,4.919200e-04,1.185920e-04,2.694720e-04,6.782400e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-3,7.204387e+00,1.987200e-04,3.862400e-05,1.078720e-04,2.556800e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-4,5.728456e+00,2.499200e-04,4.368000e-05,1.449600e-04,3.390400e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-5,4.717090e+00,3.035040e-04,4.865600e-05,1.832000e-04,4.315200e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-6,3.993506e+00,3.584960e-04,5.793600e-05,2.199840e-04,5.145600e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-7,3.423179e+00,4.182240e-04,6.918400e-05,2.584000e-04,6.035200e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-8,2.988993e+00,4.789760e-04,8.289600e-05,2.956320e-04,6.812800e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-9,2.642914e+00,5.416960e-04,9.736000e-05,3.346880e-04,7.635200e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-10,2.494382e+00,5.739520e-04,1.070720e-04,3.490880e-04,8.356800e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-11,2.255059e+00,6.348640e-04,1.192640e-04,3.872160e-04,9.286400e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-12,2.137770e+00,6.696960e-04,1.325920e-04,4.009920e-04,9.934400e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-3,6.141283e+00,2.331200e-04,7.200000e-05,1.087680e-04,2.550400e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-4,4.987930e+00,2.870240e-04,7.752000e-05,1.463520e-04,3.449600e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-5,4.232663e+00,3.382400e-04,8.326400e-05,1.833600e-04,4.259200e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-6,3.669557e+00,3.901440e-04,8.859200e-05,2.201600e-04,5.172800e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-7,3.199202e+00,4.475040e-04,9.683200e-05,2.591680e-04,6.067200e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-8,2.856000e+00,5.012800e-04,1.043360e-04,2.963360e-04,6.848000e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-9,2.555287e+00,5.602720e-04,1.151520e-04,3.349600e-04,7.632000e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-10,2.423184e+00,5.908160e-04,1.229920e-04,3.499520e-04,8.329600e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-11,2.212787e+00,6.469920e-04,1.318720e-04,3.863360e-04,9.216000e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-12,2.103248e+00,6.806880e-04,1.422080e-04,4.023040e-04,9.907200e-05,1.020800e-05,
