phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-3,1.681452e+01,1.702880e-04,3.756800e-05,8.601600e-05,2.009600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-4,1.367859e+01,2.093280e-04,4.086400e-05,1.141440e-04,2.705600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-5,1.145325e+01,2.500000e-04,4.441600e-05,1.420640e-04,3.484800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-6,9.865867e+00,2.902240e-04,4.752000e-05,1.713120e-04,4.211200e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-7,9.425237e+00,3.037920e-04,5.096000e-05,1.754560e-04,4.536000e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-8,8.311982e+00,3.444800e-04,5.465600e-05,2.042080e-04,5.174400e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-9,8.034344e+00,3.563840e-04,5.785600e-05,2.087840e-04,5.524800e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-10,7.189048e+00,3.982880e-04,6.188800e-05,2.392160e-04,6.134400e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-11,7.073398e+00,4.048000e-04,6.494400e-05,2.382720e-04,6.532800e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-12,6.367442e+00,4.496800e-04,6.792000e-05,2.701920e-04,7.288000e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-3,1.267580e+01,2.258880e-04,9.393600e-05,8.558400e-05,1.937600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-4,1.086036e+01,2.636480e-04,9.473600e-05,1.141760e-04,2.718400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-5,9.298398e+00,3.079360e-04,1.023360e-04,1.425600e-04,3.388800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-6,8.233964e+00,3.477440e-04,1.052640e-04,1.719840e-04,4.060800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-7,7.869700e+00,3.638400e-04,1.112960e-04,1.752000e-04,4.480000e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-8,7.046660e+00,4.063360e-04,1.144960e-04,2.054720e-04,5.240000e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-9,6.889320e+00,4.156160e-04,1.181600e-04,2.086080e-04,5.409600e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-10,6.246971e+00,4.583520e-04,1.223360e-04,2.382080e-04,6.172800e-05,1.225600e-05,
-1.000000,1024,OS2-i8-accu-11,6.112545e+00,4.684320e-04,1.259840e-04,2.400480e-04,6.473600e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-12,5.590833e+00,5.121440e-04,1.307040e-04,2.700480e-04,7.153600e-05,1.433600e-05,
-1.000000,1024,OS2-f8-fast-3,1.385545e+01,2.066560e-04,4.307200e-05,1.085120e-04,2.840000e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-4,1.107270e+01,2.585920e-04,4.700800e-05,1.458240e-04,3.793600e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-5,9.217459e+00,3.106400e-04,5.166400e-05,1.825280e-04,4.804800e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-6,7.855536e+00,3.644960e-04,5.608000e-05,2.197920e-04,5.836800e-05,1.030400e-05,
-1.000000,1024,OS2-f8-fast-7,6.797727e+00,4.212160e-04,6.340800e-05,2.578560e-04,6.715200e-05,1.228800e-05,
-1.000000,1024,OS2-f8-fast-8,5.956694e+00,4.806880e-04,7.081600e-05,2.971040e-04,7.872000e-05,1.228800e-05,
-1.000000,1024,OS2-f8-fast-9,5.291141e+00,5.411520e-04,8.520000e-05,3.344640e-04,8.688000e-05,1.228800e-05,
-1.000000,1024,OS2-f8-fast-10,4.989739e+00,5.738400e-04,8.808000e-05,3.500000e-04,9.763200e-05,1.433600e-05,
-1.000000,1024,OS2-f8-fast-11,4.518089e+00,6.337440e-04,9.720000e-05,3.880800e-04,1.084320e-04,1.433600e-05,
-1.000000,1024,OS2-f8-fast-12,4.316897e+00,6.632800e-04,1.065600e-04,4.011200e-04,1.146240e-04,1.433600e-05,
-1.000000,1024,OS2-f8-accu-3,1.181078e+01,2.424320e-04,7.822400e-05,1.089600e-04,2.836800e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-4,9.749236e+00,2.936960e-04,8.179200e-05,1.461280e-04,3.763200e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-5,8.243446e+00,3.473440e-04,8.673600e-05,1.830400e-04,4.846400e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-6,7.151699e+00,4.003680e-04,9.120000e-05,2.193280e-04,5.836800e-05,1.225600e-05,
-1.000000,1024,OS2-f8-accu-7,6.261177e+00,4.573120e-04,9.956800e-05,2.573440e-04,6.747200e-05,1.228800e-05,
-1.000000,1024,OS2-f8-accu-8,5.571512e+00,5.139200e-04,1.065120e-04,2.959520e-04,7.740800e-05,1.228800e-05,
-1.000000,1024,OS2-f8-accu-9,4.939333e+00,5.796960e-04,1.215200e-04,3.348320e-04,8.873600e-05,1.225600e-05,
-1.000000,1024,OS2-f8-accu-10,4.695554e+00,6.097920e-04,1.247680e-04,3.499360e-04,9.744000e-05,1.433600e-05,
-1.000000,1024,OS2-f8-accu-11,4.280243e+00,6.689600e-04,1.327360e-04,3.881760e-04,1.081280e-04,1.433600e-05,
-1.000000,1024,OS2-f8-accu-12,4.084470e+00,7.010240e-04,1.436480e-04,4.015200e-04,1.148320e-04,1.433600e-05,
-1.000000,1024,BF16x9,4.047884e+01,7.073600e-05,,,,,
-1.000000,1024,CTRTRMM (GEMM),1.867052e+01,1.533600e-04,,,,,
-1.000000,2048,OS2-i8-fast-3,8.475850e+01,2.702560e-04,7.713600e-05,1.197600e-04,3.443200e-05,2.249600e-05,
-1.000000,2048,OS2-i8-fast-4,6.841190e+01,3.348320e-04,8.673600e-05,1.609760e-04,4.574400e-05,2.459200e-05,
-1.000000,2048,OS2-i8-fast-5,5.736950e+01,3.992800e-04,9.652800e-05,2.006240e-04,5.884800e-05,2.454400e-05,
-1.000000,2048,OS2-i8-fast-6,4.926890e+01,4.649280e-04,1.091520e-04,2.406560e-04,6.929600e-05,2.662400e-05,
-1.000000,2048,OS2-i8-fast-7,4.454990e+01,5.141760e-04,1.204320e-04,2.602240e-04,8.494400e-05,2.867200e-05,
-1.000000,2048,OS2-i8-fast-8,3.976380e+01,5.760640e-04,1.309600e-04,2.993920e-04,9.371200e-05,3.072000e-05,
-1.000000,2048,OS2-i8-fast-9,3.688123e+01,6.210880e-04,1.437440e-04,3.160480e-04,1.060960e-04,3.276800e-05,
-1.000000,2048,OS2-i8-fast-10,3.346476e+01,6.844960e-04,1.553600e-04,3.550400e-04,1.160320e-04,3.484800e-05,
-1.000000,2048,OS2-i8-fast-11,3.138701e+01,7.298080e-04,1.651200e-04,3.756000e-04,1.281600e-04,3.686400e-05,
-1.000000,2048,OS2-i8-fast-12,2.881465e+01,7.949600e-04,1.766080e-04,4.147040e-04,1.395040e-04,3.884800e-05,
-1.000000,2048,OS2-i8-accu-3,6.166677e+01,3.714560e-04,1.776000e-04,1.206240e-04,3.507200e-05,2.252800e-05,
