phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-3,8.781871e+00,1.630240e-04,3.120000e-05,8.596800e-05,1.976000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-4,7.060004e+00,2.027840e-04,3.464000e-05,1.142400e-04,2.624000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-5,5.897606e+00,2.427520e-04,3.852800e-05,1.424800e-04,3.336000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-6,5.105471e+00,2.804160e-04,4.099200e-05,1.706560e-04,3.848000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-7,4.915860e+00,2.912320e-04,4.472000e-05,1.736640e-04,4.217600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-8,4.269826e+00,3.352960e-04,5.024000e-05,2.033120e-04,4.988800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-9,4.117550e+00,3.476960e-04,5.416000e-05,2.070400e-04,5.409600e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-10,3.679365e+00,3.891040e-04,5.744000e-05,2.368000e-04,6.150400e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-11,3.595535e+00,3.981760e-04,6.131200e-05,2.383520e-04,6.384000e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-12,3.265519e+00,4.384160e-04,6.508800e-05,2.686240e-04,6.841600e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-3,6.550401e+00,2.185600e-04,8.662400e-05,8.544000e-05,1.931200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-4,5.456338e+00,2.623840e-04,9.467200e-05,1.136800e-04,2.598400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-5,4.742844e+00,3.018560e-04,9.824000e-05,1.423520e-04,3.272000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-6,4.210158e+00,3.400480e-04,1.010400e-04,1.706400e-04,3.793600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-7,4.085029e+00,3.504640e-04,1.039200e-04,1.740960e-04,4.152000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-8,3.638964e+00,3.934240e-04,1.069120e-04,2.047040e-04,4.956800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-9,3.547918e+00,4.035200e-04,1.090720e-04,2.068800e-04,5.497600e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-10,3.206769e+00,4.464480e-04,1.126400e-04,2.383200e-04,6.113600e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-11,3.147105e+00,4.549120e-04,1.169760e-04,2.394560e-04,6.393600e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-12,2.893964e+00,4.947040e-04,1.197440e-04,2.686240e-04,7.001600e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-3,7.191648e+00,1.990720e-04,3.896000e-05,1.079520e-04,2.518400e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-4,5.703626e+00,2.510080e-04,4.427200e-05,1.448320e-04,3.459200e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-5,4.716842e+00,3.035200e-04,4.873600e-05,1.822560e-04,4.358400e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-6,3.969940e+00,3.606240e-04,5.862400e-05,2.204480e-04,5.198400e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-7,3.413516e+00,4.194080e-04,6.934400e-05,2.582720e-04,6.073600e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-8,2.993493e+00,4.782560e-04,8.227200e-05,2.951360e-04,6.851200e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-9,2.646666e+00,5.409280e-04,9.638400e-05,3.338720e-04,7.726400e-05,1.020800e-05,
