phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-3,1.825347e+01,1.568640e-04,2.523200e-05,8.604800e-05,1.947200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-4,1.457660e+01,1.964320e-04,2.870400e-05,1.140160e-04,2.627200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-5,1.214503e+01,2.357600e-04,3.083200e-05,1.428800e-04,3.385600e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-6,1.034792e+01,2.767040e-04,3.347200e-05,1.724000e-04,4.121600e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-7,9.948133e+00,2.878240e-04,3.689600e-05,1.757760e-04,4.350400e-05,1.220800e-05,
-1.000000,1024,OS2-i8-fast-8,8.540061e+00,3.352800e-04,4.456000e-05,2.048320e-04,5.206400e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-9,8.248005e+00,3.471520e-04,4.830400e-05,2.088960e-04,5.553600e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-10,7.364787e+00,3.887840e-04,5.260800e-05,2.388800e-04,6.216000e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-11,7.203807e+00,3.974720e-04,5.608000e-05,2.404800e-04,6.412800e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-12,6.454249e+00,4.436320e-04,6.084800e-05,2.700960e-04,7.289600e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-3,1.385116e+01,2.067200e-04,7.540800e-05,8.544000e-05,2.060800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-4,1.166908e+01,2.453760e-04,7.668800e-05,1.141280e-04,2.704000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-5,9.869132e+00,2.901280e-04,8.499200e-05,1.423680e-04,3.433600e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-6,8.624848e+00,3.319840e-04,8.764800e-05,1.730080e-04,4.140800e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-7,8.357398e+00,3.426080e-04,9.169600e-05,1.764800e-04,4.350400e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-8,7.426217e+00,3.855680e-04,9.419200e-05,2.059520e-04,5.158400e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-9,7.223580e+00,3.963840e-04,9.784000e-05,2.089440e-04,5.467200e-05,1.225600e-05,
-1.000000,1024,OS2-i8-accu-10,6.539630e+00,4.378400e-04,1.005600e-04,2.377280e-04,6.230400e-05,1.225600e-05,
-1.000000,1024,OS2-i8-accu-11,6.371977e+00,4.493600e-04,1.046240e-04,2.424320e-04,6.491200e-05,1.225600e-05,
-1.000000,1024,OS2-i8-accu-12,5.839489e+00,4.903360e-04,1.072960e-04,2.701920e-04,7.243200e-05,1.433600e-05,
-1.000000,1024,OS2-f8-fast-3,1.446351e+01,1.979680e-04,3.500800e-05,1.075520e-04,2.860800e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-4,1.138620e+01,2.514720e-04,4.032000e-05,1.456160e-04,3.798400e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-5,9.369475e+00,3.056000e-04,4.537600e-05,1.828160e-04,4.832000e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-6,7.747055e+00,3.696000e-04,6.016000e-05,2.205440e-04,5.843200e-05,1.222400e-05,
-1.000000,1024,OS2-f8-fast-7,6.600656e+00,4.337920e-04,7.441600e-05,2.574400e-04,6.897600e-05,1.228800e-05,
-1.000000,1024,OS2-f8-fast-8,5.738007e+00,4.990080e-04,9.078400e-05,2.957280e-04,7.921600e-05,1.228800e-05,
-1.000000,1024,OS2-f8-fast-9,5.048579e+00,5.671520e-04,1.085920e-04,3.341760e-04,8.913600e-05,1.225600e-05,
-1.000000,1024,OS2-f8-fast-10,4.707660e+00,6.082240e-04,1.228320e-04,3.491680e-04,9.800000e-05,1.433600e-05,
-1.000000,1024,OS2-f8-fast-11,4.255308e+00,6.728800e-04,1.388960e-04,3.862400e-04,1.085120e-04,1.433600e-05,
-1.000000,1024,OS2-f8-fast-12,3.998234e+00,7.161440e-04,1.578560e-04,4.010560e-04,1.143840e-04,1.430400e-05,
-1.000000,1024,OS2-f8-accu-3,1.242498e+01,2.304480e-04,6.715200e-05,1.080320e-04,2.820800e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-4,9.987553e+00,2.866880e-04,7.507200e-05,1.462240e-04,3.792000e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-5,8.373823e+00,3.419360e-04,8.096000e-05,1.832480e-04,4.892800e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-6,7.230293e+00,3.960160e-04,8.595200e-05,2.205120e-04,5.849600e-05,1.027200e-05,
-1.000000,1024,OS2-f8-accu-7,6.315311e+00,4.533920e-04,9.488000e-05,2.576960e-04,6.752000e-05,1.228800e-05,
-1.000000,1024,OS2-f8-accu-8,5.605895e+00,5.107680e-04,1.015680e-04,2.962720e-04,7.884800e-05,1.225600e-05,
-1.000000,1024,OS2-f8-accu-9,5.024623e+00,5.698560e-04,1.115360e-04,3.342240e-04,8.862400e-05,1.225600e-05,
-1.000000,1024,OS2-f8-accu-10,4.722443e+00,6.063200e-04,1.211520e-04,3.495040e-04,9.720000e-05,1.433600e-05,
-1.000000,1024,OS2-f8-accu-11,4.314295e+00,6.636800e-04,1.287680e-04,3.876480e-04,1.080160e-04,1.433600e-05,
-1.000000,1024,OS2-f8-accu-12,4.119351e+00,6.950880e-04,1.396960e-04,4.007200e-04,1.146720e-04,1.433600e-05,
-1.000000,1024,BF16x9,4.160822e+01,6.881600e-05,,,,,
-1.000000,1024,CTRTRMM (GEMM),1.886538e+01,1.517760e-04,,,,,
-1.000000,2048,OS2-i8-fast-3,9.151468e+01,2.503040e-04,5.939200e-05,1.191840e-04,3.344000e-05,2.252800e-05,
-1.000000,2048,OS2-i8-fast-4,7.193527e+01,3.184320e-04,7.080000e-05,1.586560e-04,4.676800e-05,2.457600e-05,
-1.000000,2048,OS2-i8-fast-5,6.129713e+01,3.736960e-04,7.348800e-05,1.993920e-04,5.894400e-05,2.454400e-05,
-1.000000,2048,OS2-i8-fast-6,5.282083e+01,4.336640e-04,8.190400e-05,2.359040e-04,6.998400e-05,2.662400e-05,
-1.000000,2048,OS2-i8-fast-7,4.766149e+01,4.806080e-04,9.083200e-05,2.578880e-04,8.355200e-05,2.867200e-05,
-1.000000,2048,OS2-i8-fast-8,4.112771e+01,5.569600e-04,1.153440e-04,2.965280e-04,9.355200e-05,3.072000e-05,
-1.000000,2048,OS2-i8-fast-9,3.803044e+01,6.023200e-04,1.274560e-04,3.145440e-04,1.053280e-04,3.276800e-05,
-1.000000,2048,OS2-i8-fast-10,3.437844e+01,6.663040e-04,1.401280e-04,3.528800e-04,1.150240e-04,3.481600e-05,
-1.000000,2048,OS2-i8-fast-11,3.206468e+01,7.143840e-04,1.524000e-04,3.730400e-04,1.291840e-04,3.686400e-05,
-1.000000,2048,OS2-i8-fast-12,2.941074e+01,7.788480e-04,1.657760e-04,4.112160e-04,1.382560e-04,3.891200e-05,
-1.000000,2048,OS2-i8-accu-3,6.963984e+01,3.289280e-04,1.367680e-04,1.186880e-04,3.470400e-05,2.252800e-05,
-1.000000,2048,OS2-i8-accu-4,5.834206e+01,3.926240e-04,1.442400e-04,1.591040e-04,4.731200e-05,2.457600e-05,
-1.000000,2048,OS2-i8-accu-5,5.015259e+01,4.567360e-04,1.554880e-04,1.993760e-04,5.880000e-05,2.454400e-05,
-1.000000,2048,OS2-i8-accu-6,4.438555e+01,5.160800e-04,1.632480e-04,2.371360e-04,6.963200e-05,2.662400e-05,
-1.000000,2048,OS2-i8-accu-7,4.064779e+01,5.635360e-04,1.736640e-04,2.580800e-04,8.291200e-05,2.867200e-05,
-1.000000,2048,OS2-i8-accu-8,3.634197e+01,6.303040e-04,1.900960e-04,2.966880e-04,9.142400e-05,3.072000e-05,
-1.000000,2048,OS2-i8-accu-9,3.425178e+01,6.687680e-04,1.978560e-04,3.137440e-04,1.024000e-04,3.276800e-05,
-1.000000,2048,OS2-i8-accu-10,3.130260e+01,7.317760e-04,2.091840e-04,3.509120e-04,1.137280e-04,3.484800e-05,
-1.000000,2048,OS2-i8-accu-11,2.950833e+01,7.762720e-04,2.163040e-04,3.718560e-04,1.275520e-04,3.686400e-05,
-1.000000,2048,OS2-i8-accu-12,2.726548e+01,8.401280e-04,2.262400e-04,4.109440e-04,1.395040e-04,3.686400e-05,
-1.000000,2048,OS2-f8-fast-3,4.618095e+01,4.960160e-04,8.256000e-05,2.834400e-04,9.091200e-05,2.249600e-05,
-1.000000,2048,OS2-f8-fast-4,3.566745e+01,6.422240e-04,1.008320e-04,3.773760e-04,1.212320e-04,2.457600e-05,
-1.000000,2048,OS2-f8-fast-5,2.916271e+01,7.854720e-04,1.188480e-04,4.707680e-04,1.520480e-04,2.457600e-05,
-1.000000,2048,OS2-f8-fast-6,2.400939e+01,9.540640e-04,1.603040e-04,5.647840e-04,1.836160e-04,2.659200e-05,
-1.000000,2048,OS2-f8-fast-7,2.041402e+01,1.122096e-03,1.972960e-04,6.611840e-04,2.145600e-04,2.864000e-05,
-1.000000,2048,OS2-f8-fast-8,1.764101e+01,1.298480e-03,2.442560e-04,7.564160e-04,2.454880e-04,3.072000e-05,
-1.000000,2048,OS2-f8-fast-9,1.557078e+01,1.471120e-03,2.874560e-04,8.510880e-04,2.766400e-04,3.276800e-05,
-1.000000,2048,OS2-f8-fast-10,1.426506e+01,1.605776e-03,3.322720e-04,9.047200e-04,3.106080e-04,3.481600e-05,
