phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-3,8.768102e+00,1.632800e-04,3.276800e-05,8.534400e-05,2.003200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-4,6.962223e+00,2.056320e-04,3.689600e-05,1.140320e-04,2.830400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-5,5.806898e+00,2.465440e-04,4.110400e-05,1.421760e-04,3.534400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-6,4.936199e+00,2.900320e-04,4.899200e-05,1.705600e-04,4.155200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-7,4.784434e+00,2.992320e-04,5.380800e-05,1.740640e-04,4.132800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-8,4.134865e+00,3.462400e-04,5.976000e-05,2.046560e-04,5.110400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-9,4.013388e+00,3.567200e-04,6.360000e-05,2.087200e-04,5.259200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-10,3.587894e+00,3.990240e-04,6.769600e-05,2.376320e-04,6.064000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-11,3.512128e+00,4.076320e-04,7.052800e-05,2.402400e-04,6.360000e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-12,3.191101e+00,4.486400e-04,7.409600e-05,2.693760e-04,7.027200e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-3,6.664568e+00,2.148160e-04,8.396800e-05,8.552000e-05,1.958400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-4,5.554220e+00,2.577600e-04,8.921600e-05,1.142560e-04,2.737600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-5,4.875415e+00,2.936480e-04,8.936000e-05,1.416960e-04,3.449600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-6,4.227263e+00,3.386720e-04,9.843200e-05,1.706560e-04,4.044800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-7,4.113386e+00,3.480480e-04,1.020960e-04,1.742400e-04,4.176000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-8,3.655466e+00,3.916480e-04,1.043680e-04,2.048160e-04,5.139200e-05,1.024000e-05,
