phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-3,1.755685e+01,1.630880e-04,3.169600e-05,8.572800e-05,1.939200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-4,1.404576e+01,2.038560e-04,3.486400e-05,1.142720e-04,2.724800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-5,1.174721e+01,2.437440e-04,3.740800e-05,1.436640e-04,3.443200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-6,1.005207e+01,2.848480e-04,4.081600e-05,1.722720e-04,4.214400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-7,9.686964e+00,2.955840e-04,4.420800e-05,1.752640e-04,4.536000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-8,8.406077e+00,3.406240e-04,5.001600e-05,2.050720e-04,5.200000e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-9,8.120013e+00,3.526240e-04,5.347200e-05,2.086240e-04,5.609600e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-10,7.267878e+00,3.939680e-04,5.692800e-05,2.390080e-04,6.236800e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-11,7.109649e+00,4.027360e-04,6.001600e-05,2.406880e-04,6.566400e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-12,6.399548e+00,4.474240e-04,6.412800e-05,2.701760e-04,7.310400e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-3,1.348888e+01,2.122720e-04,8.081600e-05,8.521600e-05,2.027200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-4,1.107818e+01,2.584640e-04,8.961600e-05,1.142080e-04,2.724800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-5,9.517469e+00,3.008480e-04,9.500800e-05,1.426400e-04,3.396800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-6,8.358179e+00,3.425760e-04,9.827200e-05,1.729120e-04,4.120000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-7,8.125174e+00,3.524000e-04,1.014080e-04,1.752800e-04,4.452800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-8,7.184430e+00,3.985440e-04,1.063360e-04,2.059040e-04,5.129600e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-9,7.013795e+00,4.082400e-04,1.092480e-04,2.083840e-04,5.548800e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-10,6.362236e+00,4.500480e-04,1.117600e-04,2.391040e-04,6.275200e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-11,6.230225e+00,4.595840e-04,1.159520e-04,2.411360e-04,6.521600e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-12,5.724242e+00,5.002080e-04,1.181120e-04,2.706240e-04,7.152000e-05,1.433600e-05,
-1.000000,1024,OS2-f8-fast-3,1.422438e+01,2.012960e-04,3.868800e-05,1.075200e-04,2.832000e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-4,1.127643e+01,2.539200e-04,4.304000e-05,1.452160e-04,3.739200e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-5,9.286336e+00,3.083360e-04,4.796800e-05,1.825920e-04,4.931200e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-6,7.797689e+00,3.672000e-04,5.766400e-05,2.200800e-04,5.923200e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-7,6.677748e+00,4.287840e-04,6.945600e-05,2.576480e-04,6.948800e-05,1.228800e-05,
-1.000000,1024,OS2-f8-fast-8,5.825801e+00,4.914880e-04,8.241600e-05,2.958240e-04,7.952000e-05,1.225600e-05,
-1.000000,1024,OS2-f8-fast-9,5.171270e+00,5.536960e-04,9.500800e-05,3.339200e-04,8.899200e-05,1.225600e-05,
-1.000000,1024,OS2-f8-fast-10,4.841778e+00,5.913760e-04,1.055520e-04,3.494240e-04,9.929600e-05,1.430400e-05,
-1.000000,1024,OS2-f8-fast-11,4.384803e+00,6.530080e-04,1.178400e-04,3.870880e-04,1.092480e-04,1.430400e-05,
-1.000000,1024,OS2-f8-fast-12,4.166732e+00,6.871840e-04,1.306720e-04,4.010560e-04,1.160960e-04,1.430400e-05,
-1.000000,1024,OS2-f8-accu-3,1.204530e+01,2.377120e-04,7.427200e-05,1.077760e-04,2.835200e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-4,9.898610e+00,2.892640e-04,7.800000e-05,1.458720e-04,3.729600e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-5,8.246485e+00,3.472160e-04,8.548800e-05,1.830080e-04,4.966400e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-6,7.143991e+00,4.008000e-04,8.995200e-05,2.202240e-04,5.934400e-05,1.030400e-05,
-1.000000,1024,OS2-f8-accu-7,6.251553e+00,4.580160e-04,9.728000e-05,2.581600e-04,6.961600e-05,1.228800e-05,
-1.000000,1024,OS2-f8-accu-8,5.573594e+00,5.137280e-04,1.038240e-04,2.960000e-04,7.936000e-05,1.225600e-05,
-1.000000,1024,OS2-f8-accu-9,4.995310e+00,5.732000e-04,1.138080e-04,3.335840e-04,9.008000e-05,1.225600e-05,
-1.000000,1024,OS2-f8-accu-10,4.719827e+00,6.066560e-04,1.217440e-04,3.491040e-04,9.755200e-05,1.433600e-05,
-1.000000,1024,OS2-f8-accu-11,4.297718e+00,6.662400e-04,1.303840e-04,3.870560e-04,1.092000e-04,1.432000e-05,
-1.000000,1024,OS2-f8-accu-12,4.100192e+00,6.983360e-04,1.409760e-04,4.005120e-04,1.165440e-04,1.430400e-05,
-1.000000,1024,BF16x9,4.156956e+01,6.888000e-05,,,,,
-1.000000,1024,CTRTRMM (GEMM),1.922408e+01,1.489440e-04,,,,,
-1.000000,2048,OS2-i8-fast-3,8.913865e+01,2.569760e-04,6.542400e-05,1.186240e-04,3.472000e-05,2.249600e-05,
-1.000000,2048,OS2-i8-fast-4,7.123374e+01,3.215680e-04,7.552000e-05,1.588320e-04,4.553600e-05,2.457600e-05,
-1.000000,2048,OS2-i8-fast-5,6.022446e+01,3.803520e-04,8.184000e-05,1.979040e-04,5.803200e-05,2.454400e-05,
-1.000000,2048,OS2-i8-fast-6,5.135985e+01,4.460000e-04,9.196800e-05,2.378240e-04,7.009600e-05,2.662400e-05,
-1.000000,2048,OS2-i8-fast-7,4.672506e+01,4.902400e-04,1.009600e-04,2.576160e-04,8.329600e-05,2.867200e-05,
-1.000000,2048,OS2-i8-fast-8,4.101460e+01,5.584960e-04,1.198720e-04,2.958240e-04,9.228800e-05,3.067200e-05,
-1.000000,2048,OS2-i8-fast-9,3.788953e+01,6.045600e-04,1.311360e-04,3.154400e-04,1.029280e-04,3.276800e-05,
-1.000000,2048,OS2-i8-fast-10,3.420922e+01,6.696000e-04,1.441920e-04,3.533920e-04,1.141760e-04,3.484800e-05,
-1.000000,2048,OS2-i8-fast-11,3.205750e+01,7.145440e-04,1.554560e-04,3.723520e-04,1.270720e-04,3.683200e-05,
-1.000000,2048,OS2-i8-fast-12,2.931378e+01,7.814240e-04,1.676160e-04,4.113920e-04,1.378560e-04,3.894400e-05,
-1.000000,2048,OS2-i8-accu-3,6.585959e+01,3.478080e-04,1.549440e-04,1.191360e-04,3.502400e-05,2.252800e-05,
-1.000000,2048,OS2-i8-accu-4,5.568045e+01,4.113920e-04,1.642400e-04,1.592160e-04,4.616000e-05,2.457600e-05,
-1.000000,2048,OS2-i8-accu-5,4.840272e+01,4.732480e-04,1.743360e-04,1.981440e-04,5.737600e-05,2.454400e-05,
-1.000000,2048,OS2-i8-accu-6,4.284599e+01,5.346240e-04,1.820960e-04,2.380480e-04,6.828800e-05,2.662400e-05,
-1.000000,2048,OS2-i8-accu-7,3.952666e+01,5.795200e-04,1.909440e-04,2.563360e-04,8.227200e-05,2.867200e-05,
-1.000000,2048,OS2-i8-accu-8,3.539410e+01,6.471840e-04,2.069920e-04,2.967680e-04,9.054400e-05,3.075200e-05,
-1.000000,2048,OS2-i8-accu-9,3.329200e+01,6.880480e-04,2.153440e-04,3.132160e-04,1.043040e-04,3.276800e-05,
-1.000000,2048,OS2-i8-accu-10,3.047243e+01,7.517120e-04,2.266400e-04,3.524800e-04,1.136640e-04,3.484800e-05,
-1.000000,2048,OS2-i8-accu-11,2.881407e+01,7.949760e-04,2.357280e-04,3.716320e-04,1.259840e-04,3.689600e-05,
-1.000000,2048,OS2-i8-accu-12,2.668162e+01,8.585120e-04,2.465920e-04,4.093120e-04,1.382080e-04,3.894400e-05,
-1.000000,2048,OS2-f8-fast-3,4.565520e+01,5.017280e-04,8.833600e-05,2.828320e-04,9.070400e-05,2.249600e-05,
-1.000000,2048,OS2-f8-fast-4,3.534865e+01,6.480160e-04,1.058080e-04,3.769280e-04,1.227200e-04,2.456000e-05,
-1.000000,2048,OS2-f8-fast-5,2.892643e+01,7.918880e-04,1.234080e-04,4.706240e-04,1.531200e-04,2.464000e-05,
-1.000000,2048,OS2-f8-fast-6,2.414015e+01,9.488960e-04,1.542400e-04,5.637920e-04,1.844160e-04,2.659200e-05,
-1.000000,2048,OS2-f8-fast-7,2.065404e+01,1.109056e-03,1.865280e-04,6.590720e-04,2.138880e-04,2.864000e-05,
-1.000000,2048,OS2-f8-fast-8,1.793291e+01,1.277344e-03,2.251680e-04,7.537760e-04,2.458080e-04,3.072000e-05,
-1.000000,2048,OS2-f8-fast-9,1.586744e+01,1.443616e-03,2.608960e-04,8.495040e-04,2.769600e-04,3.273600e-05,
-1.000000,2048,OS2-f8-fast-10,1.462276e+01,1.566496e-03,2.965120e-04,9.015200e-04,3.091520e-04,3.481600e-05,
-1.000000,2048,OS2-f8-fast-11,1.323487e+01,1.730768e-03,3.313760e-04,9.961920e-04,3.405760e-04,3.688000e-05,
-1.000000,2048,OS2-f8-fast-12,1.237835e+01,1.850528e-03,3.680800e-04,1.046128e-03,3.693120e-04,4.096000e-05,
-1.000000,2048,OS2-f8-accu-3,3.936473e+01,5.819040e-04,1.677280e-04,2.830560e-04,9.134400e-05,2.249600e-05,
-1.000000,2048,OS2-f8-accu-4,3.154191e+01,7.262240e-04,1.848640e-04,3.767360e-04,1.221440e-04,2.454400e-05,
-1.000000,2048,OS2-f8-accu-5,2.639386e+01,8.678720e-04,2.001440e-04,4.702400e-04,1.523040e-04,2.659200e-05,
-1.000000,2048,OS2-f8-accu-6,2.255038e+01,1.015792e-03,2.217280e-04,5.630080e-04,1.840640e-04,2.659200e-05,
-1.000000,2048,OS2-f8-accu-7,1.955734e+01,1.171248e-03,2.496000e-04,6.582720e-04,2.136800e-04,2.864000e-05,
-1.000000,2048,OS2-f8-accu-8,1.725510e+01,1.327520e-03,2.765280e-04,7.523360e-04,2.461120e-04,3.072000e-05,
-1.000000,2048,OS2-f8-accu-9,1.542550e+01,1.484976e-03,3.044160e-04,8.473280e-04,2.766560e-04,3.273600e-05,
-1.000000,2048,OS2-f8-accu-10,1.432214e+01,1.599376e-03,3.297440e-04,9.011680e-04,3.099200e-04,3.478400e-05,
-1.000000,2048,OS2-f8-accu-11,1.302642e+01,1.758464e-03,3.562240e-04,9.959680e-04,3.427840e-04,3.686400e-05,
