phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-3,9.069378e+00,1.578560e-04,2.561600e-05,8.601600e-05,1.998400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-4,7.253444e+00,1.973760e-04,2.915200e-05,1.140320e-04,2.726400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-5,6.047478e+00,2.367360e-04,3.113600e-05,1.429280e-04,3.444800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-6,5.186257e+00,2.760480e-04,3.521600e-05,1.699360e-04,4.160000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-7,5.017579e+00,2.853280e-04,3.763200e-05,1.744960e-04,4.305600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-8,4.309931e+00,3.321760e-04,4.713600e-05,2.039840e-04,4.996800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-9,4.169159e+00,3.433920e-04,5.067200e-05,2.079040e-04,5.286400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-10,3.735274e+00,3.832800e-04,5.456000e-05,2.368640e-04,5.910400e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-11,3.627604e+00,3.946560e-04,5.806400e-05,2.391840e-04,6.412800e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-12,3.283132e+00,4.360640e-04,6.240000e-05,2.699360e-04,6.904000e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-3,6.918083e+00,2.069440e-04,7.561600e-05,8.499200e-05,2.009600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-4,5.699267e+00,2.512000e-04,8.302400e-05,1.142400e-04,2.715200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-5,4.947936e+00,2.893440e-04,8.705600e-05,1.417280e-04,3.244800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-6,4.325139e+00,3.310080e-04,9.004800e-05,1.701440e-04,4.129600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-7,4.229861e+00,3.384640e-04,9.296000e-05,1.734400e-04,4.140800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-8,3.743870e+00,3.824000e-04,9.708800e-05,2.026240e-04,5.116800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-9,3.666700e+00,3.904480e-04,9.892800e-05,2.080320e-04,5.171200e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-10,3.311810e+00,4.322880e-04,1.019360e-04,2.373760e-04,5.992000e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-11,3.251280e+00,4.403360e-04,1.042400e-04,2.399200e-04,6.256000e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-12,2.969747e+00,4.820800e-04,1.074240e-04,2.693920e-04,6.964800e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-3,7.300195e+00,1.961120e-04,3.633600e-05,1.068800e-04,2.689600e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-4,5.763138e+00,2.484160e-04,4.153600e-05,1.443360e-04,3.488000e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-5,4.757217e+00,3.009440e-04,4.736000e-05,1.819200e-04,4.360000e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-6,3.931047e+00,3.641920e-04,6.166400e-05,2.201600e-04,5.299200e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-7,3.380501e+00,4.235040e-04,7.681600e-05,2.565440e-04,5.945600e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-8,2.917365e+00,4.907360e-04,9.497600e-05,2.957600e-04,6.801600e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-9,2.588927e+00,5.529920e-04,1.097600e-04,3.330720e-04,7.745600e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-10,2.404625e+00,5.953760e-04,1.273440e-04,3.490880e-04,8.467200e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-11,2.181710e+00,6.562080e-04,1.429440e-04,3.858880e-04,9.257600e-05,1.020800e-05,
-1.000000,1024,OS2-f8-fast-12,2.025454e+00,7.068320e-04,1.693120e-04,3.995520e-04,9.932800e-05,1.228800e-05,
-1.000000,1024,OS2-f8-accu-3,6.303521e+00,2.271200e-04,6.681600e-05,1.079360e-04,2.564800e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-4,5.126532e+00,2.792640e-04,7.203200e-05,1.451520e-04,3.438400e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-5,4.314087e+00,3.318560e-04,7.752000e-05,1.824800e-04,4.332800e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-6,3.707570e+00,3.861440e-04,8.409600e-05,2.202080e-04,5.288000e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-7,3.231203e+00,4.430720e-04,9.425600e-05,2.568800e-04,6.033600e-05,1.024000e-05,
-1.000000,1024,OS2-f8-accu-8,2.879993e+00,4.971040e-04,1.014240e-04,2.956320e-04,6.822400e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-9,2.585560e+00,5.537120e-04,1.097760e-04,3.331360e-04,7.744000e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-10,2.444767e+00,5.856000e-04,1.189920e-04,3.482400e-04,8.451200e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-11,2.219539e+00,6.450240e-04,1.303520e-04,3.859520e-04,9.315200e-05,1.020800e-05,
-1.000000,1024,OS2-f8-accu-12,2.108303e+00,6.790560e-04,1.403520e-04,4.007040e-04,1.001920e-04,1.228800e-05,
-1.000000,1024,BF16x9,2.039628e+01,7.019200e-05,,,,,
-1.000000,1024,CTRTRMM (GEMM),8.732164e+00,1.639520e-04,,,,,
