phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-3,1.734247e+01,1.651040e-04,3.377600e-05,8.537600e-05,2.006400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-4,1.384580e+01,2.068000e-04,3.915200e-05,1.136000e-04,2.716800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-5,1.150997e+01,2.487680e-04,4.398400e-05,1.418240e-04,3.451200e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-6,9.801028e+00,2.921440e-04,5.067200e-05,1.714240e-04,4.060800e-05,1.020800e-05,
-1.000000,1024,OS2-i8-fast-7,9.389138e+00,3.049600e-04,5.454400e-05,1.754560e-04,4.464000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-8,8.159256e+00,3.509280e-04,6.120000e-05,2.055840e-04,5.152000e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-9,7.872469e+00,3.637120e-04,6.459200e-05,2.099360e-04,5.496000e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-10,7.064184e+00,4.053280e-04,6.803200e-05,2.398880e-04,6.220800e-05,1.225600e-05,
-1.000000,1024,OS2-i8-fast-11,6.906602e+00,4.145760e-04,7.192000e-05,2.422240e-04,6.523200e-05,1.228800e-05,
-1.000000,1024,OS2-i8-fast-12,6.255050e+00,4.577600e-04,7.574400e-05,2.710880e-04,7.208000e-05,1.433600e-05,
-1.000000,1024,OS2-i8-accu-3,1.341406e+01,2.134560e-04,8.211200e-05,8.494400e-05,2.057600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-4,1.112986e+01,2.572640e-04,8.880000e-05,1.140320e-04,2.729600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-5,9.778001e+00,2.928320e-04,8.864000e-05,1.420960e-04,3.414400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-6,8.404892e+00,3.406720e-04,9.859200e-05,1.716000e-04,4.084800e-05,1.020800e-05,
-1.000000,1024,OS2-i8-accu-7,8.121119e+00,3.525760e-04,1.015520e-04,1.759200e-04,4.395200e-05,1.025600e-05,
-1.000000,1024,OS2-i8-accu-8,7.223872e+00,3.963680e-04,1.045440e-04,2.065440e-04,5.144000e-05,1.228800e-05,
-1.000000,1024,OS2-i8-accu-9,7.036131e+00,4.069440e-04,1.080960e-04,2.092320e-04,5.568000e-05,1.225600e-05,
