phi,n,function,TFLOPS,total_time[sec],scaling,low_prec_gemm,mod_hi2mid,undo_scaling,
-1.000000,1024,OS2-i8-fast-3,8.431027e+00,1.698080e-04,3.820800e-05,8.553600e-05,1.969600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-4,6.827292e+00,2.096960e-04,4.118400e-05,1.142880e-04,2.662400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-5,5.738007e+00,2.495040e-04,4.448000e-05,1.422240e-04,3.356800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-6,4.959455e+00,2.886720e-04,4.827200e-05,1.700960e-04,4.033600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-7,4.790838e+00,2.988320e-04,5.081600e-05,1.735520e-04,4.337600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-8,4.206002e+00,3.403840e-04,5.499200e-05,2.032960e-04,5.017600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-9,4.079628e+00,3.509280e-04,5.832000e-05,2.076800e-04,5.292800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-10,3.654570e+00,3.917440e-04,6.171200e-05,2.373120e-04,5.948800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-11,3.573565e+00,4.006240e-04,6.504000e-05,2.383040e-04,6.267200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-fast-12,3.246444e+00,4.409920e-04,6.769600e-05,2.683840e-04,6.916800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-3,6.433598e+00,2.225280e-04,9.054400e-05,8.556800e-05,1.921600e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-4,5.472356e+00,2.616160e-04,9.260800e-05,1.136960e-04,2.739200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-5,4.751659e+00,3.012960e-04,9.633600e-05,1.416800e-04,3.395200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-6,4.164696e+00,3.437600e-04,1.038240e-04,1.704640e-04,3.958400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-7,3.994754e+00,3.583840e-04,1.116640e-04,1.734880e-04,4.254400e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-8,3.562325e+00,4.018880e-04,1.139840e-04,2.049920e-04,5.028800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-9,3.480570e+00,4.113280e-04,1.194080e-04,2.068320e-04,5.235200e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-10,3.166371e+00,4.521440e-04,1.221120e-04,2.371040e-04,5.896000e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-11,3.104844e+00,4.611040e-04,1.257440e-04,2.386080e-04,6.148800e-05,1.024000e-05,
-1.000000,1024,OS2-i8-accu-12,2.843475e+00,5.034880e-04,1.299680e-04,2.694880e-04,6.822400e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-3,7.073398e+00,2.024000e-04,4.264000e-05,1.075200e-04,2.492800e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-4,5.627224e+00,2.544160e-04,4.672000e-05,1.452160e-04,3.438400e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-5,4.697527e+00,3.047680e-04,5.080000e-05,1.819200e-04,4.356800e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-6,4.013388e+00,3.567200e-04,5.531200e-05,2.201280e-04,5.152000e-05,1.024000e-05,
-1.000000,1024,OS2-f8-fast-7,3.469234e+00,4.126720e-04,6.264000e-05,2.580800e-04,6.116800e-05,1.024000e-05,
